State,Infant Price ($),Single Parent Median Income ($),% Single Parent Income,Married Couple Median Income ($),% Married Couple Income
Alabama*,8859,30558,29,113013,8
Alaska,12425,51823,24,137537,9
Arizona,16384,44093,37,121930,13
Arkansas,9727,32837,30,102488,9
California,23071,46632,49,144216,16
Colorado,,,,,
Connecticut,18616,44406,42,165719,11
Delaware,17252,47037,37,135595,13
District of Columbia,,,,,
Florida*,14230,40742,35,115509,12
Georgia,11066,39045,28,123896,9
Hawaii,25096,49195,51,136910,18
Idaho,10887,40145,27,109818,10
Illinois,19601,40554,48,140450,14
Indiana,17461,36654,48,117283,15
Iowa,13253,38937,34,125339,11
Kansas,12741,37873,34,120832,11
Kentucky,13075,31978,41,109336,12
Louisiana,11133,28680,39,117150,10
Maine,16144,41377,39,124923,13
Maryland,20124,52624,38,167190,12
Massachusetts,27067,47540,57,182562,15
Michigan,14064,36310,39,124095,11
Minnesota,20592,47210,44,149385,14
Mississippi,6492,28463,23,105093,6
Missouri,15080,37789,40,119896,13
Montana*,15476,39745,39,117670,13
Nebraska,15080,41526,36,125317,12
Nevada,15633,42836,36,114490,14
New Hampshire,16462,50766,32,157670,10
New Jersey,17977,46103,39,170768,11
New Mexico,,,,,
New York,20978,41337,51,145321,14
North Carolina,13916,36518,38,120673,12
North Dakota,12281,41392,30,131579,9
Ohio,13936,34618,40,127224,11
Oklahoma,11012,33338,33,103254,11
Oregon,21774,42074,52,131073,17
Pennsylvania*,15302,38325,40,135188,11
Rhode Island,18972,43965,43,143465,13
South Carolina,,,,,
South Dakota,8859,39019,23,120243,7
Tennessee,13926,35418,39,112441,12
Texas*,10894,38029,29,120895,9
Utah,14533,47302,31,125036,12
Vermont,21670,45782,47,137514,16
Virginia,17264,44383,39,150318,11
Washington,23136,46583,50,149728,15
West Virginia*,9339,28835,32,103423,9
Wisconsin,18604,41961,44,132076,14
Wyoming*,13120,37469,35,120257,11
