year,location,Average Lowest-Cost Bronze Premium,Average Lowest-Cost Silver Premium,Average Benchmark Premium,Average Lowest-Cost Gold Premium
2026,United States,456,611,625,615
2026,Alabama,433,632,645,706
2026,Alaska,669,1019,1032,912
2026,Arizona,430,519,532,602
2026,Arkansas,447,753,774,647
2026,California,440,522,570,572
2026,Colorado,422,535,557,515
2026,Connecticut,623,757,870,805
2026,Delaware,542,685,691,727
2026,District of Columbia,505,565,610,649
2026,Florida,505,674,683,640
2026,Georgia,485,604,615,638
2026,Hawaii,414,533,541,542
2026,Idaho,346,484,490,511
2026,Illinois,436,635,646,539
2026,Indiana,405,473,474,646
2026,Iowa,359,497,501,466
2026,Kansas,508,650,670,684
2026,Kentucky,481,577,590,667
2026,Louisiana,447,637,646,676
2026,Maine,525,696,709,752
2026,Maryland,283,403,414,404
2026,Massachusetts,393,476,494,575
2026,Michigan,384,513,523,561
2026,Minnesota,384,437,448,501
2026,Mississippi,589,661,662,845
2026,Missouri,465,604,605,579
2026,Montana,455,681,692,701
2026,Nebraska,545,710,710,729
2026,Nevada,396,495,497,626
2026,New Hampshire,318,394,401,434
2026,New Jersey,451,538,545,700
2026,New Mexico,473,565,623,509
2026,New York,610,788,817,1057
2026,North Carolina,489,633,638,662
2026,North Dakota,398,553,570,549
2026,Ohio,400,513,513,548
2026,Oklahoma,462,602,604,617
2026,Oregon,453,535,543,603
2026,Pennsylvania,364,555,572,478
2026,Rhode Island,367,488,506,502
2026,South Carolina,410,564,564,594
2026,South Dakota,484,642,655,665
2026,Tennessee,508,707,711,698
2026,Texas,426,651,661,570
2026,Utah,510,614,640,701
2026,Vermont,824,1289,1299,1135
2026,Virginia,351,455,455,441
2026,Washington,364,590,612,466
2026,West Virginia,775,1036,1073,961
2026,Wisconsin,443,602,611,640
2026,Wyoming,785,1089,1090,1000
2025,United States,381,486,497,507
2025,Alabama,386,523,535,607
2025,Alaska,659,1040,1045,929
2025,Arizona,339,382,410,471
2025,Arkansas,389,452,458,528
2025,California,400,469,512,526
2025,Colorado,363,455,463,440
2025,Connecticut,583,660,693,723
2025,Delaware,412,530,534,528
2025,District of Columbia,483,526,578,608
2025,Florida,394,513,515,520
2025,Georgia,402,489,493,509
2025,Hawaii,373,486,493,501
2025,Idaho,307,430,436,448
2025,Illinois,384,468,474,534
2025,Indiana,329,380,382,481
2025,Iowa,309,427,429,417
2025,Kansas,395,508,513,518
2025,Kentucky,367,435,442,468
2025,Louisiana,391,509,524,548
2025,Maine,464,545,546,625
2025,Maryland,265,362,365,355
2025,Massachusetts,346,419,447,519
2025,Michigan,311,394,404,415
2025,Minnesota,304,355,363,419
2025,Mississippi,443,479,485,554
2025,Missouri,377,484,489,471
2025,Montana,375,540,554,596
2025,Nebraska,465,595,600,590
2025,Nevada,345,413,414,512
2025,New Hampshire,272,320,325,354
2025,New Jersey,398,482,492,680
2025,New Mexico,454,500,515,407
2025,New York,605,766,790,1018
2025,North Carolina,387,502,507,524
2025,North Dakota,368,524,537,517
2025,Ohio,353,437,441,476
2025,Oklahoma,377,493,501,501
2025,Oregon,408,497,510,560
2025,Pennsylvania,306,441,461,403
2025,Rhode Island,299,404,425,416
2025,South Carolina,350,469,471,492
2025,South Dakota,470,616,619,645
2025,Tennessee,402,513,516,516
2025,Texas,356,482,489,432
2025,Utah,440,532,547,569
2025,Vermont,808,1275,1277,1139
2025,Virginia,293,368,372,371
2025,Washington,309,416,434,443
2025,West Virginia,672,908,919,855
2025,Wisconsin,377,487,495,540
2025,Wyoming,660,858,871,783
2024,United States,364,468,477,488
2024,Alabama,408,563,564,637
2024,Alaska,533,870,889,791
2024,Arizona,329,373,403,475
2024,Arkansas,374,424,424,509
2024,California,367,438,468,492
2024,Colorado,327,433,451,407
2024,Connecticut,567,648,661,627
2024,Delaware,384,528,533,526
