"id","state","abbr","medcoll","medcoll_com_col","medcoll_white","medcollpos_p50","medcollpos_p50_com_col","medcollpos_p50_white","nohealthinsurance","nohealthinsurance_com_col","nohealthinsurance_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"USA","USA",NA,0.0321801,0.0358633,0.0302034,1448,1482,1417,0.0793049,0.1167596,0.0512557,0.4286678,109160.2,96768.72,116314.8
"01","Alabama","AL",0.0586969,0.0750279,0.0538781,1350,1375,1325,0.084903,0.1239486,0.0624683,0.3666232,85529.55,67250.07,95238.37
"02","Alaska","AK",0.0584492,0.0600371,0.0579683,1536,1413,1609,0.1038765,0.1465137,0.0725258,0.4234012,114200.5,97566.05,122866.6
"04","Arizona","AZ",0.0447226,0.0581065,0.0370144,1457,1425,1490,0.0993637,0.1465607,0.0563914,0.4772722,104619.8,92474.4,112269.8
"05","Arkansas","AR",0.0629949,0.0703224,0.0615968,1416,1416,1416,0.0892086,0.1382998,0.0652502,0.3288684,81055.54,67803.15,86500.13
"06","California","CA",0,0,0,NA,NA,NA,0.0638615,0.079932,0.0315118,0.6673276,134491.3,121307.8,152323.7
"08","Colorado","CO",0,0,0,NA,NA,NA,0.0670385,0.1087118,0.044236,0.3552929,124578.5,103334.6,133070.9
"09","Connecticut","CT",0.0087895,0.0122067,0.0073789,1073,1134,1046,0.0574089,0.1018134,0.0293964,0.3864244,131006.7,100819.7,145660.6
"10","Delaware","DE",0.0567663,0.0958847,0.0353226,1810.5,1910.5,1714.5,0.0648956,0.1017489,0.0382426,0.4196794,109486.3,95148.89,117430.9
"11","District of Columbia","DC",0.0095359,0.0104562,0.0079819,1260,1273,1182.5,0.0270741,0.0383777,0.0080068,0.6285369,160751.6,115334.9,225618.5
"12","Florida","FL",0.0433397,0.0487709,0.0389253,1554,1573,1540,0.1069022,0.1374415,0.0766909,0.4971135,103634.3,91053.45,113037.1
"13","Georgia","GA",0.0738349,0.0754403,0.0724419,1465,1465,1460,0.1138529,0.1440721,0.0820763,0.5134209,103145.6,87873.76,116798.5
"15","Hawaii","HI",0.0113877,0.0114208,0.0085106,1368,1381.5,NA,0.0321682,0.0309377,0.0371496,0.7910898,124713.1,123623.7,127546.4
"16","Idaho","ID",0.0260299,0.0245902,0.0260401,1498,NA,1487,0.0885444,0.1495291,0.071742,0.2162195,98653.09,90864.32,100286.6
