"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stddelderogofstdtot","stddelderogofstdtot_com_col","stddelderogofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"USA","USA",NA,0.2270967,0.2903527,0.1930875,2528,2605,2469,0.0321801,0.0358633,0.0302034,0.1589477,0.1984931,0.1378158,0.0574001,0.0786662,0.0467027,0.05573,0.0752019,0.0463352,713,683,737,0.4286678,109160.2,96768.72,116314.8
"01","Alabama","AL",0.306461,0.4426339,0.2664186,2211,2201,2216.5,0.0586969,0.0750279,0.0538781,0.1980932,0.2673526,0.172516,0.0829004,0.13459,0.0681623,0.0700783,0.1057474,0.0616961,619,534.5,638,0.3666232,85529.55,67250.07,95238.37
"02","Alaska","AK",0.2032653,0.2777005,0.183283,2531,2111,2755,0.0584492,0.0600371,0.0579683,0.1613038,0.2243187,0.1459969,0.0366417,0.0513573,0.0331293,0.0401801,0.0604651,0.0358006,685,470,787,0.4234012,114200.5,97566.05,122866.6
"04","Arizona","AZ",0.246585,0.3391702,0.1944665,2876.5,2721,3027.5,0.0447226,0.0581065,0.0370144,0.1856608,0.2368097,0.1555556,0.0610029,0.0845538,0.0465112,0.060237,0.087129,0.0479583,825.5,717,955,0.4772722,104619.8,92474.4,112269.8
"05","Arkansas","AR",0.3025968,0.4164839,0.2808808,2351.5,2233,2382,0.0629949,0.0703224,0.0615968,0.1313665,0.1283644,0.1320266,0.0720532,0.1187545,0.0640524,0.0718811,0.1024617,0.0670788,630,527,641,0.3288684,81055.54,67803.15,86500.13
"06","California","CA",0.173017,0.1921969,0.12297,2957.5,2945,3020,0,0,0,0.1365858,0.1473259,0.1070529,0.0473761,0.053365,0.030727,0.0500949,0.0565125,0.035128,909,871,1102,0.6673276,134491.3,121307.8,152323.7
"08","Colorado","CO",0.1693561,0.2708724,0.1459799,2816,2502,2970,0,0,0,0.1375754,0.1870016,0.1266216,0.0427837,0.0661507,0.0369556,0.0471336,0.0807676,0.040636,860,686,937,0.3552929,124578.5,103334.6,133070.9
"09","Connecticut","CT",0.183406,0.298218,0.1359624,2346,2146,2570.5,0.0087895,0.0122067,0.0073789,0.1556359,0.2263601,0.1257511,0.0395848,0.0710534,0.0280709,0.0514157,0.0918363,0.0376297,703.5,600,849,0.3864244,131006.7,100819.7,145660.6
"10","Delaware","DE",0.2514535,0.3553768,0.1946459,2882.5,3003,2793.5,0.0567663,0.0958847,0.0353226,0.1799287,0.2230502,0.1515152,0.0650997,0.0926719,0.0497231,0.0617209,0.0930572,0.0463318,634.5,507,783,0.4196794,109486.3,95148.89,117430.9
"11","District of Columbia","DC",0.2172722,0.2933158,0.0870028,2482,2535,2140.5,0.0095359,0.0104562,0.0079819,0.1654213,0.2017512,0.0773286,0.0960927,0.1131276,0.0447898,0.0568889,0.0809864,0.02198,638,596,1143,0.6285369,160751.6,115334.9,225618.5
"12","Florida","FL",0.2517367,0.2923711,0.2187327,3074,3181.5,2962,0.0433397,0.0487709,0.0389253,0.1821174,0.197779,0.1674456,0.061716,0.0740386,0.0517276,0.0666215,0.0824193,0.0546818,809,774,845,0.4971135,103634.3,91053.45,113037.1
"13","Georgia","GA",0.3172766,0.3769862,0.2657987,2635,2754,2492,0.0738349,0.0754403,0.0724419,0.2113428,0.240484,0.1780378,0.0778084,0.0981952,0.0612094,0.0771489,0.0985073,0.06052,660,629,709,0.5134209,103145.6,87873.76,116798.5
"15","Hawaii","HI",0.1496273,0.1501322,0.1177305,2790,2811,1795,0.0113877,0.0114208,0.0085106,0.1376795,0.1365741,0.2222222,0.0365704,0.0367187,0.0288462,0.0360843,0.0360921,0.0366089,847,855,NA,0.7910898,124713.1,123623.7,127546.4
"16","Idaho","ID",0.1678263,0.2486339,0.1673382,2728,1653,2745,0.0260299,0.0245902,0.0260401,0.1308114,NA,0.1304181,0.0371447,0.028777,0.0371955,0.0377941,0.0322581,0.0378207,785,NA,790,0.2162195,98653.09,90864.32,100286.6
