"date","value"
"2000-03-01",521.21544
"2000-06-01",546.78459
"2000-09-01",565.91643
"2000-12-01",581.22108
"2001-03-01",590.38748
"2001-06-01",610.16391
"2001-09-01",634.38755
"2001-12-01",674.20428
"2002-03-01",682.28507
"2002-06-01",692.42391
"2002-09-01",703.20955
"2002-12-01",708.79408
"2003-03-01",710.08918
"2003-06-01",726.90236
"2003-09-01",750.35117
"2003-12-01",759.48504
"2004-03-01",760.29441
"2004-06-01",768.02139
"2004-09-01",790.24343
"2004-12-01",797.86349
"2005-03-01",803.80325
"2005-06-01",809.58086
"2005-09-01",825.21061
"2005-12-01",823.0973
"2006-03-01",781.94296
"2006-06-01",774.14938
"2006-09-01",792.0961
"2006-12-01",784.97512
"2007-03-01",780.93391
"2007-06-01",785.89392
"2007-09-01",808.94816
"2007-12-01",801.15951
"2008-03-01",797.72306
"2008-06-01",798.13775
"2008-09-01",801.67641
"2008-12-01",777.27561
"2009-03-01",755.68467
"2009-06-01",742.02088
"2009-09-01",736.77191
"2009-12-01",719.08399
"2010-03-01",717.93152
"2010-06-01",708.05208
"2010-09-01",698.39493
"2010-12-01",713.49627
"2011-03-01",730.08818
"2011-06-01",734.45496
"2011-09-01",743.75706
"2011-12-01",751.04092
"2012-03-01",759.33068
"2012-06-01",777.54791
"2012-09-01",798.39971
"2012-12-01",809.24036
"2013-03-01",821.43205
"2013-06-01",841.20359
"2013-09-01",866.53776
"2013-12-01",878.1885
"2014-03-01",891.65855
"2014-06-01",917.50977
"2014-09-01",942.62186
"2014-12-01",955.28954
"2015-03-01",962.36217
"2015-06-01",987.54965
"2015-09-01",1016.91928
"2015-12-01",990.0397
"2016-03-01",1000.21722
"2016-06-01",1022.16911
"2016-09-01",1051.18775
"2016-12-01",1062.3415
"2017-03-01",1068.02343
"2017-06-01",1081.5097
"2017-09-01",1093.95632
"2017-12-01",1101.99236
"2018-03-01",1105.01605
"2018-06-01",1115.60386
"2018-09-01",1131.41039
"2018-12-01",1139.60837
"2019-03-01",1144.16879
"2019-06-01",1159.95214
"2019-09-01",1175.43671
"2019-12-01",1184.14153
"2020-03-01",1179.35202
"2020-06-01",1192.84272
"2020-09-01",1213.84369
"2020-12-01",1219.86573
"2021-03-01",1236.19741
"2021-06-01",1348.54046
"2021-09-01",1374.25997
"2021-12-01",1388.12253
"2022-03-01",1405.99761
"2022-06-01",1440.6119
"2022-09-01",1472.30645
"2022-12-01",1494.91544
"2023-03-01",1511.82676
"2023-06-01",1530.5455
"2023-09-01",1547.70847
"2023-12-01",1550.72663
"2024-03-01",1550.27404
"2024-06-01",1557.39077
"2024-09-01",1562.25241
"2024-12-01",1564.31681
"2025-03-01",1555.16559
"2025-06-01",1560.78762
"2025-09-01",1560.73293
"2025-12-01",1562.1655
"2026-03-01",1559.77233
