"date","value"
"2000-01-01",0.49
"2000-02-01",0.528
"2000-03-01",0.517
"2000-04-01",0.51
"2000-05-01",0.509
"2000-06-01",0.506
"2000-07-01",0.512
"2000-08-01",0.49
"2000-09-01",0.488
"2000-10-01",0.496
"2000-11-01",0.479
"2000-12-01",0.487
"2001-01-01",0.5
"2001-02-01",0.496
"2001-03-01",0.51
"2001-04-01",0.492
"2001-05-01",0.509
"2001-06-01",0.506
"2001-07-01",0.523
"2001-08-01",0.519
"2001-09-01",0.508
"2001-10-01",0.503
"2001-11-01",0.509
"2001-12-01",0.505
"2002-01-01",0.509
"2002-02-01",0.504
"2002-03-01",0.519
"2002-04-01",0.504
"2002-05-01",0.515
"2002-06-01",0.512
"2002-07-01",0.517
"2002-08-01",0.499
"2002-09-01",0.498
"2002-10-01",0.504
"2002-11-01",0.505
"2002-12-01",0.504
"2003-01-01",0.526
"2003-02-01",0.508
"2003-03-01",0.513
"2003-04-01",0.517
"2003-05-01",0.505
"2003-06-01",0.521
"2003-07-01",0.514
"2003-08-01",0.514
"2003-09-01",0.494
"2003-10-01",0.49
"2003-11-01",0.498
"2003-12-01",0.504
"2004-01-01",0.512
"2004-02-01",0.504
"2004-03-01",0.5
"2004-04-01",0.505
"2004-05-01",0.491
"2004-06-01",0.498
"2004-07-01",0.51
"2004-08-01",0.507
"2004-09-01",0.488
"2004-10-01",0.485
"2004-11-01",0.469
"2004-12-01",0.474
"2005-01-01",0.485
"2005-02-01",0.502
"2005-03-01",0.507
"2005-04-01",0.503
"2005-05-01",0.497
"2005-06-01",0.493
"2005-07-01",0.494
"2005-08-01",0.487
"2005-09-01",0.485
"2005-10-01",0.491
"2005-11-01",0.48
"2005-12-01",0.482
"2006-01-01",0.49
"2006-02-01",0.508
"2006-03-01",0.508
"2006-04-01",0.508
"2006-05-01",0.514
"2006-06-01",0.511
"2006-07-01",0.508
"2006-08-01",0.492
"2006-09-01",0.479
"2006-10-01",0.489
"2006-11-01",0.498
"2006-12-01",0.499
"2007-01-01",0.505
"2007-02-01",0.507
"2007-03-01",0.51
"2007-04-01",0.517
"2007-05-01",0.503
"2007-06-01",0.512
"2007-07-01",0.509
"2007-08-01",0.506
"2007-09-01",0.505
"2007-10-01",0.508
"2007-11-01",0.515
"2007-12-01",0.525
"2008-01-01",0.521
"2008-02-01",0.54
"2008-03-01",0.597
"2008-04-01",0.627
"2008-05-01",0.63
"2008-06-01",0.633
"2008-07-01",0.627
"2008-08-01",0.634
"2008-09-01",0.631
"2008-10-01",0.629
"2008-11-01",0.626
"2008-12-01",0.617
"2009-01-01",0.629
"2009-02-01",0.641
"2009-03-01",0.634
"2009-04-01",0.629
"2009-05-01",0.622
"2009-06-01",0.617
"2009-07-01",0.616
"2009-08-01",0.611
"2009-09-01",0.605
"2009-10-01",0.598
"2009-11-01",0.561
"2009-12-01",0.571
"2010-01-01",0.586
"2010-02-01",0.587
"2010-03-01",0.575
"2010-04-01",0.58
"2010-05-01",0.571
"2010-06-01",0.577
"2010-07-01",0.583
"2010-08-01",0.576
"2010-09-01",0.573
"2010-10-01",0.58
"2010-11-01",0.581
"2010-12-01",0.587
"2011-01-01",0.596
"2011-02-01",0.625
"2011-03-01",0.621
"2011-04-01",0.621
"2011-05-01",0.617
"2011-06-01",0.614
"2011-07-01",0.611
"2011-08-01",0.606
"2011-09-01",0.607
"2011-10-01",0.607
"2011-11-01",0.598
"2011-12-01",0.599
"2012-01-01",0.604
"2012-02-01",0.603
"2012-03-01",0.607
"2012-04-01",0.603
"2012-05-01",0.599
"2012-06-01",0.605
"2012-07-01",0.604
"2012-08-01",0.595
"2012-09-01",0.597
"2012-10-01",0.602
"2012-11-01",0.6
"2012-12-01",0.606
"2013-01-01",0.609
