"date","value"
"2000-01-01",0.907
"2000-02-01",0.924
"2000-03-01",0.924
"2000-04-01",0.927
"2000-05-01",0.915
"2000-06-01",0.915
"2000-07-01",0.935
"2000-08-01",0.923
"2000-09-01",0.918
"2000-10-01",0.934
"2000-11-01",0.953
"2000-12-01",0.987
"2001-01-01",0.982
"2001-02-01",0.994
"2001-03-01",1.02
"2001-04-01",1.008
"2001-05-01",0.995
"2001-06-01",0.989
"2001-07-01",0.987
"2001-08-01",0.991
"2001-09-01",0.996
"2001-10-01",1.01
"2001-11-01",1.012
"2001-12-01",1.005
"2002-01-01",1.001
"2002-02-01",1.008
"2002-03-01",1.012
"2002-04-01",1.005
"2002-05-01",1.012
"2002-06-01",1.011
"2002-07-01",1.015
"2002-08-01",1.012
"2002-09-01",1.016
"2002-10-01",1.015
"2002-11-01",1.054
"2002-12-01",1.026
"2003-01-01",1.042
"2003-02-01",1.048
"2003-03-01",1.042
"2003-04-01",1.047
"2003-05-01",1.001
"2003-06-01",0.961
"2003-07-01",1.002
"2003-08-01",0.996
"2003-09-01",0.994
"2003-10-01",0.969
"2003-11-01",0.953
"2003-12-01",0.954
"2004-01-01",0.946
"2004-02-01",0.943
"2004-03-01",0.947
"2004-04-01",0.974
"2004-05-01",0.96
"2004-06-01",0.979
"2004-07-01",0.985
"2004-08-01",0.996
"2004-09-01",0.985
"2004-10-01",0.972
"2004-11-01",0.976
"2004-12-01",0.97
"2005-01-01",0.997
"2005-02-01",0.982
"2005-03-01",1.002
"2005-04-01",1.004
"2005-05-01",1.086
"2005-06-01",1.09
"2005-07-01",1.067
"2005-08-01",1.06
"2005-09-01",1.052
"2005-10-01",1.043
"2005-11-01",1.055
"2005-12-01",1.046
"2006-01-01",1.046
"2006-02-01",1.029
"2006-03-01",1.04
"2006-04-01",1.072
"2006-05-01",1.086
"2006-06-01",1.074
"2006-07-01",1.071
"2006-08-01",1.088
"2006-09-01",1.083
"2006-10-01",1.097
"2006-11-01",1.143
"2006-12-01",1.137
"2007-01-01",1.153
"2007-02-01",1.168
"2007-03-01",1.161
"2007-04-01",1.201
"2007-05-01",1.192
"2007-06-01",1.193
"2007-07-01",1.209
