"date","value"
"2000-01-01",153.9
"2000-02-01",153
"2000-03-01",153
"2000-04-01",154
"2000-05-01",155.4
"2000-06-01",155.7
"2000-07-01",155.3
"2000-08-01",155.2
"2000-09-01",156.2
"2000-10-01",157.9
"2000-11-01",159.3
"2000-12-01",160.2
"2001-01-01",160.4
"2001-02-01",160.4
"2001-03-01",159.9
"2001-04-01",159.7
"2001-05-01",159.1
"2001-06-01",158.9
"2001-07-01",158.3
"2001-08-01",158
"2001-09-01",157.3
"2001-10-01",157.8
"2001-11-01",157.4
"2001-12-01",157.2
"2002-01-01",155.6
"2002-02-01",153.9
"2002-03-01",152.1
"2002-04-01",151.8
"2002-05-01",151.8
"2002-06-01",152.2
"2002-07-01",152.7
"2002-08-01",153.4
"2002-09-01",152.2
"2002-10-01",150.7
"2002-11-01",148.8
"2002-12-01",148.5
"2003-01-01",148.3
"2003-02-01",148.4
"2003-03-01",148.5
"2003-04-01",148.4
"2003-05-01",147.9
"2003-06-01",147.4
"2003-07-01",145.7
"2003-08-01",143.3
"2003-09-01",139
"2003-10-01",135.1
"2003-11-01",132
"2003-12-01",131
"2004-01-01",131.8
"2004-02-01",131.8
"2004-03-01",131.8
"2004-04-01",131.6
"2004-05-01",131.8
"2004-06-01",129.9
"2004-07-01",130.9
"2004-08-01",132
"2004-09-01",135.5
"2004-10-01",136.7
"2004-11-01",137.7
"2004-12-01",138.4
"2005-01-01",138.6
"2005-02-01",138.4
"2005-03-01",138.3
"2005-04-01",138.4
"2005-05-01",138.8
"2005-06-01",139.3
"2005-07-01",139.9
"2005-08-01",140.1
"2005-09-01",140.3
"2005-10-01",140.2
"2005-11-01",140.3
"2005-12-01",140.2
"2006-01-01",140.3
"2006-02-01",140.4
"2006-03-01",140.8
"2006-04-01",141
"2006-05-01",141.1
"2006-06-01",141
"2006-07-01",140.7
"2006-08-01",140.4
"2006-09-01",139.9
"2006-10-01",139
"2006-11-01",138.3
"2006-12-01",137.2
"2007-01-01",136.169
"2007-02-01",135.533
"2007-03-01",135.201
"2007-04-01",134.995
"2007-05-01",134.653
"2007-06-01",134.57
"2007-07-01",134.748
"2007-08-01",135.255
"2007-09-01",136.022
"2007-10-01",136.707
"2007-11-01",137.559
"2007-12-01",137.855
"2008-01-01",138.938
"2008-02-01",138.818
"2008-03-01",138.541
"2008-04-01",137.659
"2008-05-01",136.393
"2008-06-01",135.02
"2008-07-01",133.709
"2008-08-01",132.535
"2008-09-01",131.176
"2008-10-01",129.407
"2008-11-01",128.048
"2008-12-01",127.323
"2009-01-01",126.668
"2009-02-01",124.405
"2009-03-01",122.21
"2009-04-01",121.887
"2009-05-01",122.533
"2009-06-01",123.236
"2009-07-01",122.844
"2009-08-01",125.011
"2009-09-01",127.631
"2009-10-01",132.475
"2009-11-01",135.73
"2009-12-01",139.376
"2010-01-01",142.829
"2010-02-01",143.173
"2010-03-01",142.377
"2010-04-01",141.68
"2010-05-01",140.952
"2010-06-01",141.951
"2010-07-01",142.512
"2010-08-01",143.42
"2010-09-01",144.032
"2010-10-01",144.313
"2010-11-01",144.751
"2010-12-01",145.669
"2011-01-01",146.478
"2011-02-01",146.182
"2011-03-01",145.646
"2011-04-01",145.542
"2011-05-01",146.476
"2011-06-01",148.518
"2011-07-01",149.971
"2011-08-01",151.312
"2011-09-01",151.677
"2011-10-01",151.986
"2011-11-01",152.187
"2011-12-01",152.083
"2012-01-01",151.106
"2012-02-01",149.893
"2012-03-01",149.265
"2012-04-01",150.053
"2012-05-01",151.587
"2012-06-01",152.263
"2012-07-01",151.97
"2012-08-01",150.871
"2012-09-01",149.647
"2012-10-01",148.986
"2012-11-01",148.932
"2012-12-01",149.243
"2013-01-01",149.741
"2013-02-01",149.789
"2013-03-01",148.912
