date,code,value
2006-01-01,AK,106956
2007-01-01,AK,114432
2008-01-01,AK,118363
2009-01-01,AK,117532
2010-01-01,AK,121340
2011-01-01,AK,118639
2012-01-01,AK,124838
2013-01-01,AK,131426
2014-01-01,AK,130064
2015-01-01,AK,132844
2016-01-01,AK,137059
2017-01-01,AK,135304
2018-01-01,AK,138860
2019-01-01,AK,144736
2021-01-01,AK,149630
2022-01-01,AK,160217
2023-01-01,AK,166034
2024-01-01,AK,173347
2006-01-01,AL,78513
2007-01-01,AL,81788
2008-01-01,AL,85771
2009-01-01,AL,82304
2010-01-01,AL,83484
2011-01-01,AL,85153
2012-01-01,AL,86395
2013-01-01,AL,88467
2014-01-01,AL,89389
2015-01-01,AL,92122
2016-01-01,AL,95265
2017-01-01,AL,99062
2018-01-01,AL,101051
2019-01-01,AL,106225
2021-01-01,AL,111735
2022-01-01,AL,121159
2023-01-01,AL,123395
2024-01-01,AL,132641
2006-01-01,AR,71645
2007-01-01,AR,75496
2008-01-01,AR,77353
2009-01-01,AR,74958
2010-01-01,AR,77050
2011-01-01,AR,79072
2012-01-01,AR,80402
2013-01-01,AR,81389
2014-01-01,AR,83613
2015-01-01,AR,85123
2016-01-01,AR,89810
2017-01-01,AR,91821
2018-01-01,AR,95453
2019-01-01,AR,98014
2021-01-01,AR,104903
2022-01-01,AR,110155
2023-01-01,AR,116085
2024-01-01,AR,123186
2006-01-01,AZ,91266
2007-01-01,AZ,94618
2008-01-01,AZ,97345
2009-01-01,AZ,94117
2010-01-01,AZ,91770
2011-01-01,AZ,92710
2012-01-01,AZ,95149
2013-01-01,AZ,96632
2014-01-01,AZ,99608
2015-01-01,AZ,101285
2016-01-01,AZ,105841
2017-01-01,AZ,110272
2018-01-01,AZ,115276
2019-01-01,AZ,120982
2021-01-01,AZ,132268
2022-01-01,AZ,142367
2023-01-01,AZ,150019
2024-01-01,AZ,156723
2006-01-01,CA,111213
2007-01-01,CA,117783
2008-01-01,CA,121045
2009-01-01,CA,117843
2010-01-01,CA,116181
2011-01-01,CA,118790
2012-01-01,CA,120760
2013-01-01,CA,124024
2014-01-01,CA,128834
2015-01-01,CA,133227
2016-01-01,CA,140784
2017-01-01,CA,147523
2018-01-01,CA,154402
2019-01-01,CA,162657
2021-01-01,CA,173547
2022-01-01,CA,188163
2023-01-01,CA,194477
2024-01-01,CA,203870
2006-01-01,CO,100660
2007-01-01,CO,103726
2008-01-01,CO,108902
2009-01-01,CO,105512
2010-01-01,CO,105569
2011-01-01,CO,108876
2012-01-01,CO,110590
2013-01-01,CO,114177
2014-01-01,CO,118648
2015-01-01,CO,122335
2016-01-01,CO,125901
2017-01-01,CO,131864
2018-01-01,CO,138050
2019-01-01,CO,147217
2021-01-01,CO,158649
2022-01-01,CO,171924
2023-01-01,CO,178394
2024-01-01,CO,187914
2006-01-01,CT,119130
2007-01-01,CT,124675
2008-01-01,CT,130767
2009-01-01,CT,129340
2010-01-01,CT,126934
2011-01-01,CT,131715
2012-01-01,CT,132529
2013-01-01,CT,136182
2014-01-01,CT,141456
2015-01-01,CT,143225
2016-01-01,CT,146556
2017-01-01,CT,150150
2018-01-01,CT,155975
2019-01-01,CT,161063
2021-01-01,CT,168759
2022-01-01,CT,179490
2023-01-01,CT,185072
2024-01-01,CT,195798
2006-01-01,DC,119155
2007-01-01,DC,127721
2008-01-01,DC,133047
2009-01-01,DC,135925
2010-01-01,DC,137075
2011-01-01,DC,140432
2012-01-01,DC,149903
2013-01-01,DC,150781
2014-01-01,DC,157128
2015-01-01,DC,164915
2016-01-01,DC,170657
2017-01-01,DC,180061
2018-01-01,DC,189135
2019-01-01,DC,202353
2021-01-01,DC,209929
2022-01-01,DC,219341
2023-01-01,DC,237280
2024-01-01,DC,238418
2006-01-01,DE,98645
2007-01-01,DE,104520
2008-01-01,DE,106746
2009-01-01,DE,107031
2010-01-01,DE,106393
2011-01-01,DE,109958
2012-01-01,DE,109150
2013-01-01,DE,112575
2014-01-01,DE,115348
2015-01-01,DE,114774
2016-01-01,DE,116597
2017-01-01,DE,124125
2018-01-01,DE,121908
2019-01-01,DE,134594
2021-01-01,DE,141655
2022-01-01,DE,150664
2023-01-01,DE,155421
2024-01-01,DE,162553
2006-01-01,FL,87996
2007-01-01,FL,92249
2008-01-01,FL,93045
2009-01-01,FL,88335
2010-01-01,FL,88113
2011-01-01,FL,89686
2012-01-01,FL,91192
2013-01-01,FL,92832
2014-01-01,FL,96104
2015-01-01,FL,98913
2016-01-01,FL,101629
2017-01-01,FL,105800
2018-01-01,FL,111268
2019-01-01,FL,117017
2021-01-01,FL,125042
2022-01-01,FL,137360
2023-01-01,FL,144290
2024-01-01,FL,152815
2006-01-01,GA,91103
2007-01-01,GA,95286
2008-01-01,GA,98747
2009-01-01,GA,94323
2010-01-01,GA,92756
2011-01-01,GA,93667
2012-01-01,GA,96280
2013-01-01,GA,97633
2014-01-01,GA,100116
2015-01-01,GA,103638
2016-01-01,GA,107114
2017-01-01,GA,112349
2018-01-01,GA,117795
2019-01-01,GA,122832
2021-01-01,GA,132733
2022-01-01,GA,143339
2023-01-01,GA,148068
2024-01-01,GA,156990
2006-01-01,HI,112735
2007-01-01,HI,114974
2008-01-01,HI,120470
2009-01-01,HI,115157
2010-01-01,HI,117557
2011-01-01,HI,115923
2012-01-01,HI,119945
2013-01-01,HI,126514
2014-01-01,HI,126143
2015-01-01,HI,133197
2016-01-01,HI,140573
2017-01-01,HI,144399
2018-01-01,HI,149347
2019-01-01,HI,153431
2021-01-01,HI,162417
2022-01-01,HI,176588
2023-01-01,HI,183132
2024-01-01,HI,191329
2006-01-01,IA,80782
2007-01-01,IA,85147
2008-01-01,IA,88344
2009-01-01,IA,88878
2010-01-01,IA,88461
2011-01-01,IA,91236
2012-01-01,IA,94220
2013-01-01,IA,97501
2014-01-01,IA,100240
2015-01-01,IA,100591
2016-01-01,IA,105124
2017-01-01,IA,108142
2018-01-01,IA,110323
2019-01-01,IA,113238
2021-01-01,IA,122401
2022-01-01,IA,131282
2023-01-01,IA,134085
2024-01-01,IA,138132
2006-01-01,ID,78046
2007-01-01,ID,84333
2008-01-01,ID,84110
2009-01-01,ID,82232
2010-01-01,ID,81024
2011-01-01,ID,82728
2012-01-01,ID,84143
2013-01-01,ID,86249
2014-01-01,ID,91062
2015-01-01,ID,93109
2016-01-01,ID,98147
2017-01-01,ID,99663
2018-01-01,ID,103736
2019-01-01,ID,111822
2021-01-01,ID,122729
2022-01-01,ID,130994
