date,code,value
2006-01-01,AK,43.9
2007-01-01,AK,42.3
2008-01-01,AK,42.7
2009-01-01,AK,40.9
2010-01-01,AK,47.5
2011-01-01,AK,44.3
2012-01-01,AK,47.4
2013-01-01,AK,43.2
2014-01-01,AK,51.3
2015-01-01,AK,47.7
2016-01-01,AK,41.9
2017-01-01,AK,45.8
2018-01-01,AK,43.2
2019-01-01,AK,44.9
2021-01-01,AK,49.7
2022-01-01,AK,43.1
2023-01-01,AK,45.1
2024-01-01,AK,41.5
2006-01-01,AL,48.1
2007-01-01,AL,48.1
2008-01-01,AL,48.1
2009-01-01,AL,51.6
2010-01-01,AL,54.0
2011-01-01,AL,53.8
2012-01-01,AL,49.8
2013-01-01,AL,50.0
2014-01-01,AL,51.7
2015-01-01,AL,49.7
2016-01-01,AL,49.1
2017-01-01,AL,47.4
2018-01-01,AL,47.9
2019-01-01,AL,47.1
2021-01-01,AL,50.0
2022-01-01,AL,49.5
2023-01-01,AL,49.5
2024-01-01,AL,48.2
2006-01-01,AR,48.9
2007-01-01,AR,47.5
2008-01-01,AR,48.2
2009-01-01,AR,48.5
2010-01-01,AR,49.7
2011-01-01,AR,52.6
2012-01-01,AR,48.9
2013-01-01,AR,48.3
2014-01-01,AR,47.5
2015-01-01,AR,47.6
2016-01-01,AR,44.5
2017-01-01,AR,44.5
2018-01-01,AR,45.8
2019-01-01,AR,43.7
2021-01-01,AR,45.5
2022-01-01,AR,45.8
2023-01-01,AR,46.5
2024-01-01,AR,45.5
2006-01-01,AZ,48.6
2007-01-01,AZ,50.1
2008-01-01,AZ,50.2
2009-01-01,AZ,51.8
2010-01-01,AZ,53.2
2011-01-01,AZ,51.9
2012-01-01,AZ,51.4
2013-01-01,AZ,49.6
2014-01-01,AZ,49.6
2015-01-01,AZ,48.8
2016-01-01,AZ,47.8
2017-01-01,AZ,48.3
2018-01-01,AZ,47.1
2019-01-01,AZ,46.5
2021-01-01,AZ,51.4
2022-01-01,AZ,52.8
2023-01-01,AZ,54.0
2024-01-01,AZ,52.4
2006-01-01,CA,54.6
2007-01-01,CA,53.7
2008-01-01,CA,54.7
2009-01-01,CA,55.4
2010-01-01,CA,57.2
2011-01-01,CA,57.7
2012-01-01,CA,57.6
2013-01-01,CA,57.1
2014-01-01,CA,56.8
2015-01-01,CA,55.8
2016-01-01,CA,55.4
2017-01-01,CA,55.2
2018-01-01,CA,54.6
2019-01-01,CA,53.2
2021-01-01,CA,55.8
2022-01-01,CA,56.0
2023-01-01,CA,56.1
2024-01-01,CA,55.8
2006-01-01,CO,50.4
2007-01-01,CO,49.2
2008-01-01,CO,50.1
2009-01-01,CO,52.5
2010-01-01,CO,52.2
2011-01-01,CO,51.6
2012-01-01,CO,51.0
2013-01-01,CO,51.9
2014-01-01,CO,50.9
2015-01-01,CO,50.5
2016-01-01,CO,52.3
2017-01-01,CO,51.9
2018-01-01,CO,51.3
2019-01-01,CO,49.9
2021-01-01,CO,53.3
2022-01-01,CO,53.2
2023-01-01,CO,53.2
2024-01-01,CO,52.5
2006-01-01,CT,50.0
2007-01-01,CT,50.4
2008-01-01,CT,51.2
2009-01-01,CT,52.6
2010-01-01,CT,53.7
2011-01-01,CT,55.2
2012-01-01,CT,53.0
2013-01-01,CT,52.9
2014-01-01,CT,53.6
2015-01-01,CT,52.5
2016-01-01,CT,51.3
2017-01-01,CT,51.4
2018-01-01,CT,52.6
2019-01-01,CT,49.1
2021-01-01,CT,52.3
2022-01-01,CT,53.4
2023-01-01,CT,52.9
2024-01-01,CT,54.1
2006-01-01,DC,47.8
2007-01-01,DC,48.4
2008-01-01,DC,47.5
2009-01-01,DC,49.1
2010-01-01,DC,50.7
2011-01-01,DC,49.3
2012-01-01,DC,48.1
2013-01-01,DC,49.5
2014-01-01,DC,48.6
2015-01-01,DC,48.4
2016-01-01,DC,48.4
2017-01-01,DC,47.9
2018-01-01,DC,46.5
2019-01-01,DC,42.7
2021-01-01,DC,48.0
2022-01-01,DC,47.4
2023-01-01,DC,44.7
2024-01-01,DC,47.7
2006-01-01,DE,49.0
2007-01-01,DE,51.2
2008-01-01,DE,51.4
2009-01-01,DE,52.8
2010-01-01,DE,55.2
2011-01-01,DE,52.7
2012-01-01,DE,48.6
2013-01-01,DE,51.1
2014-01-01,DE,49.6
2015-01-01,DE,48.5
2016-01-01,DE,49.9
2017-01-01,DE,48.7
2018-01-01,DE,52.6
2019-01-01,DE,49.4
2021-01-01,DE,50.2
2022-01-01,DE,48.3
2023-01-01,DE,51.6
2024-01-01,DE,50.3
2006-01-01,FL,56.1
2007-01-01,FL,56.4
2008-01-01,FL,57.5
2009-01-01,FL,60.3
2010-01-01,FL,60.4
2011-01-01,FL,60.9
2012-01-01,FL,58.6
2013-01-01,FL,57.8
2014-01-01,FL,57.9
2015-01-01,FL,57.0
2016-01-01,FL,56.2
2017-01-01,FL,56.4
2018-01-01,FL,56.5
2019-01-01,FL,55.9
2021-01-01,FL,58.9
2022-01-01,FL,60.3
2023-01-01,FL,61.7
2024-01-01,FL,62.1
2006-01-01,GA,49.9
2007-01-01,GA,49.0
2008-01-01,GA,49.4
2009-01-01,GA,52.4
2010-01-01,GA,54.3
2011-01-01,GA,54.9
2012-01-01,GA,53.1
2013-01-01,GA,52.7
2014-01-01,GA,52.1
2015-01-01,GA,49.9
2016-01-01,GA,48.7
