"date","value"
"2000-01-01",152.5
"2000-02-01",153.4
"2000-03-01",154.2
"2000-04-01",154.9
"2000-05-01",155.4
"2000-06-01",155.9
"2000-07-01",156.6
"2000-08-01",156.7
"2000-09-01",157.4
"2000-10-01",158.4
"2000-11-01",159.4
"2000-12-01",160
"2001-01-01",160.5
"2001-02-01",161
"2001-03-01",161.7
"2001-04-01",162.3
"2001-05-01",163.3
"2001-06-01",163.9
"2001-07-01",164.4
"2001-08-01",165.1
"2001-09-01",165.1
"2001-10-01",166.7
"2001-11-01",167.3
"2001-12-01",168
"2002-01-01",168.7
"2002-02-01",169.5
"2002-03-01",170.1
"2002-04-01",170.4
"2002-05-01",170.8
"2002-06-01",172.1
"2002-07-01",172.9
"2002-08-01",173.6
"2002-09-01",174.6
"2002-10-01",175.2
"2002-11-01",175.8
"2002-12-01",176.3
"2003-01-01",177.1
"2003-02-01",177.6
"2003-03-01",178.1
"2003-04-01",179.1
"2003-05-01",179.8
"2003-06-01",180.5
"2003-07-01",180.6
"2003-08-01",181.4
"2003-09-01",181.7
"2003-10-01",182
"2003-11-01",182.6
"2003-12-01",183.4
"2004-01-01",183.9
"2004-02-01",184.5
"2004-03-01",185.3
"2004-04-01",185.8
"2004-05-01",186.4
"2004-06-01",187.6
"2004-07-01",188.2
"2004-08-01",188.6
"2004-09-01",187.6
"2004-10-01",188.6
"2004-11-01",189.3
"2004-12-01",189.7
"2005-01-01",190.3
"2005-02-01",191.2
"2005-03-01",192
"2005-04-01",192.9
"2005-05-01",193.7
"2005-06-01",194.5
"2005-07-01",196.2
"2005-08-01",196.8
"2005-09-01",197.8
"2005-10-01",198.9
"2005-11-01",199.7
"2005-12-01",200.2
"2006-01-01",202.5
"2006-02-01",202.3
"2006-03-01",202.9
"2006-04-01",203.6
"2006-05-01",204.3
"2006-06-01",205.1
"2006-07-01",205.7
"2006-08-01",206.8
"2006-09-01",208.4
"2006-10-01",209.3
"2006-11-01",210
"2006-12-01",210.9
"2007-01-01",211.236
"2007-02-01",211.816
"2007-03-01",212.498
"2007-04-01",213.319
"2007-05-01",214.081
"2007-06-01",214.016
"2007-07-01",214.854
"2007-08-01",215.059
"2007-09-01",217.006
"2007-10-01",217.414
"2007-11-01",218.236
"2007-12-01",219.031
"2008-01-01",220.57
"2008-02-01",220.838
"2008-03-01",221.459
"2008-04-01",221.989
"2008-05-01",222.751
"2008-06-01",223.582
"2008-07-01",224.132
"2008-08-01",226.005
"2008-09-01",227.162
"2008-10-01",228.284
"2008-11-01",229.024
"2008-12-01",229.919
"2009-01-01",230.255
"2009-02-01",230.763
"2009-03-01",231.438
"2009-04-01",231.797
"2009-05-01",232.404
"2009-06-01",232.878
"2009-07-01",233.367
"2009-08-01",233.346
"2009-09-01",233.784
"2009-10-01",233.996
"2009-11-01",234.88
"2009-12-01",235.305
"2010-01-01",235.724
"2010-02-01",237.45
"2010-03-01",238.373
"2010-04-01",239.463
"2010-05-01",239.767
"2010-06-01",240.793
"2010-07-01",241.06
"2010-08-01",241.83
"2010-09-01",241.939
"2010-10-01",241.966
"2010-11-01",242.733
"2010-12-01",244.194
"2011-01-01",244.456
"2011-02-01",244.862
"2011-03-01",245.213
"2011-04-01",245.729
"2011-05-01",246.273
"2011-06-01",246.791
"2011-07-01",247.211
"2011-08-01",248.026
"2011-09-01",247.408
"2011-10-01",249.646
"2011-11-01",249.306
"2011-12-01",249.872
"2012-01-01",250.323
"2012-02-01",250.736
"2012-03-01",251.069
"2012-04-01",251.526
"2012-05-01",252.131
"2012-06-01",252.435
"2012-07-01",253.389
"2012-08-01",253.612
"2012-09-01",254.6
"2012-10-01",255.282
"2012-11-01",255.796
"2012-12-01",256.701
"2013-01-01",257.401
"2013-02-01",257.761
"2013-03-01",258.084
"2013-04-01",258.427
"2013-05-01",258.896
"2013-06-01",258.965
"2013-07-01",259.544
"2013-08-01",259.682
"2013-09-01",259.827
"2013-10-01",260.566
"2013-11-01",261.355
"2013-12-01",262.361
"2014-01-01",261.287
"2014-02-01",261.651
"2014-03-01",263.092
"2014-04-01",263.348
"2014-05-01",263.946
"2014-06-01",264.587
"2014-07-01",264.852
"2014-08-01",265.789
"2014-09-01",266.705
"2014-10-01",267.064
"2014-11-01",267.818
"2014-12-01",268.341
"2015-01-01",269.467
"2015-02-01",269.681
"2015-03-01",272.037
"2015-04-01",274.329
"2015-05-01",274.809
"2015-06-01",275.743
"2015-07-01",276.595
"2015-08-01",277.051
"2015-09-01",277.991
"2015-10-01",278.413
"2015-11-01",279.15
"2015-12-01",279.337
"2016-01-01",279.684
"2016-02-01",280.174
"2016-03-01",280.616
"2016-04-01",281.112
"2016-05-01",281.453
"2016-06-01",282.071
"2016-07-01",283.214
"2016-08-01",284.407
"2016-09-01",284.77
"2016-10-01",285.985
"2016-11-01",286.386
"2016-12-01",287.411
"2017-01-01",288.659
"2017-02-01",288.966
"2017-03-01",289.445
"2017-04-01",289.814
"2017-05-01",289.86
"2017-06-01",290.22
"2017-07-01",290.091
"2017-08-01",290.67
"2017-09-01",291.021
"2017-10-01",291.495
"2017-11-01",292.011
"2017-12-01",292.316
"2018-01-01",292.437
"2018-02-01",292.904
"2018-03-01",293.339
"2018-04-01",293.917
"2018-05-01",294.366
"2018-06-01",294.981
"2018-07-01",294.466
"2018-08-01",296.655
"2018-09-01",297.067
"2018-10-01",295.806
"2018-11-01",296.855
"2018-12-01",297.642
"2019-01-01",298.553
"2019-02-01",299.171
"2019-03-01",300.133
"2019-04-01",300.755
"2019-05-01",302.44
"2019-06-01",303.298
"2019-07-01",304.313
"2019-08-01",304.848
"2019-09-01",305.501
"2019-10-01",305.882
"2019-11-01",306.675
"2019-12-01",307.51
"2020-01-01",308.335
"2020-02-01",310.206
"2020-03-01",310.546
"2020-04-01",310.647
"2020-05-01",310.605
"2020-06-01",311.779
"2020-07-01",312.33
"2020-08-01",312.538
"2020-09-01",313.713
"2020-10-01",313.928
"2020-11-01",313.885
"2020-12-01",314.138
