"date","value"
"2000-01-01",126.9
"2000-02-01",127.6
"2000-03-01",127.4
"2000-04-01",127.6
"2000-05-01",127.2
"2000-06-01",127.9
"2000-07-01",128.8
"2000-08-01",128.8
"2000-09-01",129.3
"2000-10-01",129.4
"2000-11-01",130.2
"2000-12-01",130.5
"2001-01-01",133.9
"2001-02-01",133.3
"2001-03-01",133.9
"2001-04-01",134.5
"2001-05-01",136.1
"2001-06-01",140.6
"2001-07-01",141.3
"2001-08-01",140.7
"2001-09-01",140.1
"2001-10-01",139.9
"2001-11-01",139.4
"2001-12-01",138.6
"2002-01-01",137.8
"2002-02-01",137
"2002-03-01",137.3
"2002-04-01",136.2
"2002-05-01",136.1
"2002-06-01",135.5
"2002-07-01",135.4
"2002-08-01",135.6
"2002-09-01",135.8
"2002-10-01",136
"2002-11-01",136.1
"2002-12-01",136.6
"2003-01-01",136.4
"2003-02-01",136.8
"2003-03-01",138.2
"2003-04-01",139.8
"2003-05-01",140.6
"2003-06-01",139.6
"2003-07-01",139.6
"2003-08-01",140.2
"2003-09-01",141.2
"2003-10-01",140.8
"2003-11-01",140.3
"2003-12-01",140.5
"2004-01-01",140.5
"2004-02-01",141.1
"2004-03-01",140.4
"2004-04-01",141
"2004-05-01",141.3
"2004-06-01",142.1
"2004-07-01",142.7
"2004-08-01",143.4
"2004-09-01",143.4
"2004-10-01",142.1
"2004-11-01",143.5
"2004-12-01",143.5
"2005-01-01",144.9
"2005-02-01",145.3
"2005-03-01",146.1
"2005-04-01",146.7
"2005-05-01",148.6
"2005-06-01",150.2
"2005-07-01",150.7
"2005-08-01",152
"2005-09-01",152.9
"2005-10-01",154.2
"2005-11-01",159.7
"2005-12-01",158.6
"2006-01-01",166.3
"2006-02-01",167.3
"2006-03-01",167.8
"2006-04-01",167.9
"2006-05-01",167.6
"2006-06-01",169.9
"2006-07-01",170.3
"2006-08-01",170.5
"2006-09-01",171.1
"2006-10-01",170.6
"2006-11-01",170
"2006-12-01",170.4
"2007-01-01",172.885
"2007-02-01",173.218
"2007-03-01",173.827
"2007-04-01",174.075
"2007-05-01",174.317
"2007-06-01",176.073
"2007-07-01",175.816
"2007-08-01",176.017
"2007-09-01",176.98
"2007-10-01",178.648
"2007-11-01",178.845
"2007-12-01",179.029
"2008-01-01",178.944
"2008-02-01",179.047
"2008-03-01",180.178
"2008-04-01",182.577
"2008-05-01",184.512
"2008-06-01",186.139
"2008-07-01",189.917
"2008-08-01",192.476
"2008-09-01",191.3
"2008-10-01",192.676
"2008-11-01",193.117
"2008-12-01",193.965
"2009-01-01",194.538
"2009-02-01",195.16
"2009-03-01",194.917
"2009-04-01",193.972
"2009-05-01",192.86
"2009-06-01",192.218
"2009-07-01",190.553
"2009-08-01",190.533
"2009-09-01",190.915
"2009-10-01",191.728
"2009-11-01",192.834
"2009-12-01",192.778
"2010-01-01",191.083
"2010-02-01",190.035
"2010-03-01",193.547
"2010-04-01",194.839
"2010-05-01",193.61
"2010-06-01",192.905
"2010-07-01",193.589
"2010-08-01",194.073
"2010-09-01",193.348
"2010-10-01",192.971
"2010-11-01",193.354
"2010-12-01",194.078
"2011-01-01",193.374
"2011-02-01",193.756
"2011-03-01",195.272
"2011-04-01",195.768
"2011-05-01",196.595
"2011-06-01",195.901
"2011-07-01",197.761
"2011-08-01",197.959
"2011-09-01",198.932
"2011-10-01",198.892
"2011-11-01",198.6
"2011-12-01",198.213
"2012-01-01",197.833
"2012-02-01",197.289
"2012-03-01",196.514
