"date","value"
"2000-01-01",166.1
"2000-02-01",166.7
"2000-03-01",167.1
"2000-04-01",167.2
"2000-05-01",167.8
"2000-06-01",168
"2000-07-01",168.8
"2000-08-01",169.3
"2000-09-01",169.4
"2000-10-01",169.6
"2000-11-01",169.7
"2000-12-01",170.5
"2001-01-01",170.9
"2001-02-01",171.7
"2001-03-01",172.2
"2001-04-01",172.6
"2001-05-01",172.9
"2001-06-01",173.5
"2001-07-01",174.1
"2001-08-01",174.5
"2001-09-01",174.7
"2001-10-01",175.3
"2001-11-01",175.4
"2001-12-01",175.2
"2002-01-01",175.8
"2002-02-01",176.2
"2002-03-01",176.6
"2002-04-01",176.9
"2002-05-01",176.4
"2002-06-01",176.5
"2002-07-01",176.7
"2002-08-01",176.7
"2002-09-01",177
"2002-10-01",177
"2002-11-01",177.5
"2002-12-01",177.7
"2003-01-01",177.7
"2003-02-01",178.7
"2003-03-01",179
"2003-04-01",179.1
"2003-05-01",179.4
"2003-06-01",180.3
"2003-07-01",180.4
"2003-08-01",181.1
"2003-09-01",181.5
"2003-10-01",182.2
"2003-11-01",183.1
"2003-12-01",184
"2004-01-01",183.9
"2004-02-01",184.3
"2004-03-01",184.7
"2004-04-01",185.1
"2004-05-01",186.5
"2004-06-01",186.9
"2004-07-01",187.3
"2004-08-01",187.5
"2004-09-01",187.4
"2004-10-01",188.3
"2004-11-01",188.9
"2004-12-01",188.9
"2005-01-01",189.1
"2005-02-01",189.2
"2005-03-01",189.6
"2005-04-01",190.8
"2005-05-01",191
"2005-06-01",191
"2005-07-01",191.4
"2005-08-01",191.5
"2005-09-01",191.9
"2005-10-01",192.4
"2005-11-01",193
"2005-12-01",193.3
"2006-01-01",194.1
"2006-02-01",194.2
"2006-03-01",194.4
"2006-04-01",194.3
"2006-05-01",194.7
"2006-06-01",195.3
"2006-07-01",195.7
"2006-08-01",196.2
"2006-09-01",196.8
"2006-10-01",197.4
"2006-11-01",197.4
"2006-12-01",197.5
"2007-01-01",198.813
"2007-02-01",200.126
"2007-03-01",200.853
"2007-04-01",201.392
"2007-05-01",202.157
"2007-06-01",202.977
"2007-07-01",203.64
"2007-08-01",204.418
"2007-09-01",205.347
"2007-10-01",205.988
"2007-11-01",206.789
"2007-12-01",207.141
"2008-01-01",208.392
"2008-02-01",209.183
"2008-03-01",209.595
"2008-04-01",211.368
"2008-05-01",212.204
"2008-06-01",213.452
"2008-07-01",215.449
"2008-08-01",216.53
"2008-09-01",217.749
"2008-10-01",218.632
"2008-11-01",219.079
"2008-12-01",219.151
"2009-01-01",219.323
"2009-02-01",219.058
"2009-03-01",218.682
"2009-04-01",218.372
"2009-05-01",218.053
"2009-06-01",218.092
"2009-07-01",217.725
"2009-08-01",217.738
"2009-09-01",217.664
"2009-10-01",217.881
"2009-11-01",218.055
"2009-12-01",218.341
"2010-01-01",218.855
"2010-02-01",218.898
"2010-03-01",219.321
"2010-04-01",219.531
"2010-05-01",219.651
"2010-06-01",219.627
"2010-07-01",219.643
"2010-08-01",219.879
"2010-09-01",220.598
"2010-10-01",220.911
"2010-11-01",221.315
"2010-12-01",221.556
"2011-01-01",222.735
"2011-02-01",223.734
"2011-03-01",225.337
"2011-04-01",226.18
"2011-05-01",227.045
"2011-06-01",227.603
"2011-07-01",228.473
"2011-08-01",229.577
"2011-09-01",230.561
"2011-10-01",230.776
"2011-11-01",230.976
"2011-12-01",231.392
"2012-01-01",232.131
"2012-02-01",232.103
"2012-03-01",232.502
"2012-04-01",232.934
"2012-05-01",233.127
"2012-06-01",233.624
"2012-07-01",233.752
"2012-08-01",234.108
"2012-09-01",234.286
"2012-10-01",234.694
"2012-11-01",235.1
"2012-12-01",235.521
"2013-01-01",235.86
"2013-02-01",235.903
"2013-03-01",236.13
"2013-04-01",236.574
"2013-05-01",236.387
"2013-06-01",236.912
"2013-07-01",237.133
"2013-08-01",237.407
"2013-09-01",237.464
"2013-10-01",237.693
"2013-11-01",237.895
"2013-12-01",238.133
"2014-01-01",238.417
"2014-02-01",239.247
"2014-03-01",240.24
"2014-04-01",240.995
"2014-05-01",242.107
"2014-06-01",242.345
"2014-07-01",242.883
"2014-08-01",243.505
"2014-09-01",244.148
"2014-10-01",244.5
"2014-11-01",245.106
"2014-12-01",245.84
"2015-01-01",245.764
"2015-02-01",246.056
"2015-03-01",245.685
"2015-04-01",245.615
"2015-05-01",245.886
"2015-06-01",246.511
"2015-07-01",246.733
"2015-08-01",247.295
"2015-09-01",247.984
"2015-10-01",248.288
"2015-11-01",248.075
"2015-12-01",247.761
"2016-01-01",247.967
"2016-02-01",248.244
"2016-03-01",247.699
"2016-04-01",247.906
"2016-05-01",247.575
"2016-06-01",247.42
"2016-07-01",247.406
"2016-08-01",247.479
"2016-09-01",247.528
"2016-10-01",247.596
"2016-11-01",247.525
"2016-12-01",247.53
"2017-01-01",247.9
"2017-02-01",248.513
"2017-03-01",249.02
"2017-04-01",249.381
"2017-05-01",249.711
"2017-06-01",249.519
"2017-07-01",249.937
"2017-08-01",250.21
"2017-09-01",250.587
"2017-10-01",250.816
"2017-11-01",250.996
"2017-12-01",251.49
"2018-01-01",252.116
"2018-02-01",252.038
"2018-03-01",252.154
"2018-04-01",252.661
"2018-05-01",252.634
"2018-06-01",252.968
"2018-07-01",253.365
"2018-08-01",253.677
"2018-09-01",254.103
"2018-10-01",254.012
"2018-11-01",254.732
"2018-12-01",255.681
"2019-01-01",256.302
"2019-02-01",256.998
"2019-03-01",257.374
