"date","value"
"2000-01-01",1.483
"2000-02-01",1.516
"2000-03-01",1.532
"2000-04-01",1.584
"2000-05-01",1.57
"2000-06-01",1.556
"2000-07-01",1.574
"2000-08-01",1.611
"2000-09-01",1.579
"2000-10-01",1.582
"2000-11-01",1.621
"2000-12-01",1.625
"2001-01-01",1.693
"2001-02-01",1.732
"2001-03-01",1.74
"2001-04-01",1.763
"2001-05-01",1.735
"2001-06-01",1.703
"2001-07-01",1.68
"2001-08-01",1.634
"2001-09-01",1.717
"2001-10-01",1.713
"2001-11-01",1.747
"2001-12-01",1.713
"2002-01-01",1.734
"2002-02-01",1.7
"2002-03-01",1.74
"2002-04-01",1.784
"2002-05-01",1.737
"2002-06-01",1.719
"2002-07-01",1.659
"2002-08-01",1.669
"2002-09-01",1.676
"2002-10-01",1.721
"2002-11-01",1.721
"2002-12-01",1.693
"2003-01-01",1.722
"2003-02-01",1.778
"2003-03-01",1.858
"2003-04-01",1.855
"2003-05-01",1.856
"2003-06-01",1.932
"2003-07-01",1.878
"2003-08-01",2.006
"2003-09-01",2.022
"2003-10-01",2.01
"2003-11-01",2.256
"2003-12-01",2.232
"2004-01-01",2.26
"2004-02-01",2.25
"2004-03-01",2.196
"2004-04-01",2.089
"2004-05-01",2.125
"2004-06-01",2.078
"2004-07-01",2.095
"2004-08-01",2.13
"2004-09-01",2.121
"2004-10-01",2.21
"2004-11-01",2.216
"2004-12-01",2.14
"2005-01-01",2.191
"2005-02-01",2.229
"2005-03-01",2.218
"2005-04-01",2.309
"2005-05-01",2.363
"2005-06-01",2.338
"2005-07-01",2.299
"2005-08-01",2.422
"2005-09-01",2.377
"2005-10-01",2.206
"2005-11-01",2.302
"2005-12-01",2.303
"2006-01-01",2.277
"2006-02-01",2.188
"2006-03-01",2.251
"2006-04-01",2.228
"2006-05-01",2.24
"2006-06-01",2.237
"2006-07-01",2.147
"2006-08-01",2.213
"2006-09-01",2.202
"2006-10-01",2.206
"2006-11-01",2.206
"2006-12-01",2.259
"2007-01-01",2.185
"2007-02-01",2.304
"2007-03-01",2.292
"2007-04-01",2.254
"2007-05-01",2.307
"2007-06-01",2.333
"2007-07-01",2.366
"2007-08-01",2.395
"2007-09-01",2.372
