"date","value"
"2011-01-01",103.658
"2011-02-01",104.451
"2011-03-01",104.966
"2011-04-01",105.505
"2011-05-01",105.581
"2011-06-01",105.415
"2011-07-01",105.54
"2011-08-01",105.67
"2011-09-01",105.839
"2011-10-01",106.04
"2011-11-01",106.272
"2011-12-01",106.523
"2012-01-01",107.182
"2012-02-01",108.056
"2012-03-01",108.524
"2012-04-01",108.475
"2012-05-01",108.447
"2012-06-01",108.533
"2012-07-01",109.13
"2012-08-01",109.482
"2012-09-01",109.383
"2012-10-01",109.37
"2012-11-01",108.826
"2012-12-01",108.276
"2013-01-01",108.74
"2013-02-01",108.86
"2013-03-01",109.133
"2013-04-01",109.153
"2013-05-01",108.419
"2013-06-01",108.68
"2013-07-01",109.009
"2013-08-01",109.471
"2013-09-01",109.622
"2013-10-01",109.917
"2013-11-01",109.812
"2013-12-01",108.742
"2014-01-01",109.955
"2014-02-01",110.525
"2014-03-01",110.359
"2014-04-01",110.821
"2014-05-01",111.295
"2014-06-01",112.026
"2014-07-01",112.383
"2014-08-01",112.187
"2014-09-01",112.849
"2014-10-01",113.011
"2014-11-01",113.697
"2014-12-01",114.832
"2015-01-01",114.572
"2015-02-01",115.067
"2015-03-01",115.339
"2015-04-01",115.751
"2015-05-01",116.065
"2015-06-01",115.89
"2015-07-01",115.964
"2015-08-01",115.899
"2015-09-01",116.115
"2015-10-01",116.264
"2015-11-01",116.651
"2015-12-01",116.657
"2016-01-01",117.013
"2016-02-01",117.76
"2016-03-01",118.207
"2016-04-01",119.039
"2016-05-01",118.462
"2016-06-01",119.326
"2016-07-01",119.96
"2016-08-01",121.202
"2016-09-01",122.465
"2016-10-01",122.448
"2016-11-01",121.847
"2016-12-01",122.11
"2017-01-01",122.483
"2017-02-01",123.102
"2017-03-01",123.227
"2017-04-01",122.144
"2017-05-01",122.28
"2017-06-01",123.154
"2017-07-01",124.57
"2017-08-01",124.838
"2017-09-01",123.726
"2017-10-01",123.453
"2017-11-01",123.872
"2017-12-01",124.483
"2018-01-01",124.721
"2018-02-01",125.079
"2018-03-01",125.107
"2018-04-01",124.672
"2018-05-01",125.672
"2018-06-01",126.141
"2018-07-01",125.075
"2018-08-01",125.183
"2018-09-01",124.587
"2018-10-01",124.269
"2018-11-01",124.587
"2018-12-01",123.765
"2019-01-01",124.271
"2019-02-01",123.678
"2019-03-01",124.292
"2019-04-01",124.777
"2019-05-01",124.643
"2019-06-01",124.074
"2019-07-01",124.437
"2019-08-01",125.196
"2019-09-01",124.202
"2019-10-01",125.508
"2019-11-01",125.305
"2019-12-01",126.875
"2020-01-01",126.512
"2020-02-01",125.97
"2020-03-01",125.914
"2020-04-01",125.751
"2020-05-01",125.8
"2020-06-01",125.789
"2020-07-01",125.809
"2020-08-01",126.233
"2020-09-01",125.534
"2020-10-01",124.703
"2020-11-01",124.469
"2020-12-01",124.176
"2021-01-01",123.862
"2021-02-01",122.935
"2021-03-01",123.029
"2021-04-01",123.804
"2021-05-01",123.705
"2021-06-01",123.225
"2021-07-01",123.433
"2021-08-01",123.164
"2021-09-01",123.507
"2021-10-01",124.232
"2021-11-01",124.422
"2021-12-01",124.437
"2022-01-01",125.504
"2022-02-01",126.013
"2022-03-01",126.307
"2022-04-01",126.356
"2022-05-01",126.516
"2022-06-01",126.994
"2022-07-01",127.727
"2022-08-01",128.03
"2022-09-01",127.817
"2022-10-01",127.855
"2022-11-01",127.958
"2022-12-01",127.898
"2023-01-01",129.459
"2023-02-01",129.638
"2023-03-01",130.344
"2023-04-01",130.894
"2023-05-01",131.558
"2023-06-01",131.819
"2023-07-01",132.587
"2023-08-01",133.402
"2023-09-01",132.921
"2023-10-01",133.725
"2023-11-01",134.331
"2023-12-01",134.022
"2024-01-01",133.302
"2024-02-01",133.41
"2024-03-01",133.577
"2024-04-01",134.266
"2024-05-01",136.054
"2024-06-01",136.229
"2024-07-01",136.474
"2024-08-01",136.201
"2024-09-01",135.177
"2024-10-01",134.892
"2024-11-01",134.759
"2024-12-01",134.862
"2025-01-01",136.764
"2025-02-01",137.01
"2025-03-01",135.224
"2025-04-01",135.791
"2025-05-01",136.528
"2025-06-01",136.598
"2025-07-01",136.488
"2025-08-01",135.98
"2025-09-01",135.993
"2025-11-01",136.152
"2025-12-01",136.874
"2026-01-01",136.673
"2026-02-01",136.436
"2026-03-01",135.004
