date,code,value
2008-01-01,AK,20.8
2009-01-01,AK,20.5
2010-01-01,AK,18.1
2011-01-01,AK,20.0
2012-01-01,AK,20.3
2013-01-01,AK,18.6
2014-01-01,AK,17.5
2015-01-01,AK,14.5
2016-01-01,AK,14.5
2017-01-01,AK,13.9
2018-01-01,AK,12.0
2019-01-01,AK,11.5
2021-01-01,AK,10.8
2022-01-01,AK,10.7
2023-01-01,AK,10.5
2024-01-01,AK,11.1
2008-01-01,AL,14.0
2009-01-01,AL,13.9
2010-01-01,AL,14.8
2011-01-01,AL,14.1
2012-01-01,AL,13.3
2013-01-01,AL,13.7
2014-01-01,AL,12.0
2015-01-01,AL,10.2
2016-01-01,AL,9.2
2017-01-01,AL,9.5
2018-01-01,AL,10.2
2019-01-01,AL,9.7
2021-01-01,AL,10.0
2022-01-01,AL,8.6
2023-01-01,AL,8.4
2024-01-01,AL,8.2
2008-01-01,AR,17.9
2009-01-01,AR,16.7
2010-01-01,AR,17.5
2011-01-01,AR,17.0
2012-01-01,AR,16.4
2013-01-01,AR,16.2
2014-01-01,AR,11.8
2015-01-01,AR,9.4
2016-01-01,AR,8.0
2017-01-01,AR,8.0
2018-01-01,AR,8.3
2019-01-01,AR,9.1
2021-01-01,AR,9.2
2022-01-01,AR,8.5
2023-01-01,AR,9.2
2024-01-01,AR,9.3
2008-01-01,AZ,18.7
2009-01-01,AZ,17.5
2010-01-01,AZ,17.0
2011-01-01,AZ,17.2
2012-01-01,AZ,17.5
2013-01-01,AZ,17.4
2014-01-01,AZ,13.7
2015-01-01,AZ,11.1
2016-01-01,AZ,10.0
2017-01-01,AZ,10.0
2018-01-01,AZ,10.6
2019-01-01,AZ,11.1
2021-01-01,AZ,10.6
2022-01-01,AZ,10.3
2023-01-01,AZ,9.8
2024-01-01,AZ,10.2
2008-01-01,CA,17.8
2009-01-01,CA,18.1
2010-01-01,CA,18.6
2011-01-01,CA,18.2
2012-01-01,CA,17.9
2013-01-01,CA,17.2
2014-01-01,CA,12.5
2015-01-01,CA,8.5
2016-01-01,CA,7.4
2017-01-01,CA,7.2
2018-01-01,CA,7.2
2019-01-01,CA,7.8
2021-01-01,CA,7.0
2022-01-01,CA,6.5
2023-01-01,CA,6.4
2024-01-01,CA,5.9
2008-01-01,CO,17.0
2009-01-01,CO,15.8
2010-01-01,CO,15.8
2011-01-01,CO,15.2
2012-01-01,CO,14.5
2013-01-01,CO,13.9
2014-01-01,CO,10.6
2015-01-01,CO,8.1
2016-01-01,CO,7.7
2017-01-01,CO,7.5
2018-01-01,CO,7.7
2019-01-01,CO,7.8
2021-01-01,CO,8.0
2022-01-01,CO,7.0
2023-01-01,CO,6.7
2024-01-01,CO,7.8
2008-01-01,CT,8.9
2009-01-01,CT,8.9
2010-01-01,CT,9.1
2011-01-01,CT,8.6
2012-01-01,CT,9.3
2013-01-01,CT,9.4
2014-01-01,CT,7.0
2015-01-01,CT,6.1
2016-01-01,CT,4.9
2017-01-01,CT,5.6
2018-01-01,CT,5.3
2019-01-01,CT,5.9
2021-01-01,CT,5.1
2022-01-01,CT,5.2
2023-01-01,CT,5.6
2024-01-01,CT,5.7
2008-01-01,DC,8.1
2009-01-01,DC,7.1
2010-01-01,DC,7.8
2011-01-01,DC,7.6
2012-01-01,DC,5.6
2013-01-01,DC,6.3
2014-01-01,DC,5.5
2015-01-01,DC,3.7
2016-01-01,DC,4.0
2017-01-01,DC,3.6
2018-01-01,DC,3.2
2019-01-01,DC,3.6
2021-01-01,DC,3.7
2022-01-01,DC,2.9
2023-01-01,DC,2.7
2024-01-01,DC,4.7
2008-01-01,DE,10.8
2009-01-01,DE,10.4
2010-01-01,DE,10.0
2011-01-01,DE,8.9
2012-01-01,DE,8.5
2013-01-01,DE,10.1
2014-01-01,DE,7.4
2015-01-01,DE,5.6
