date,code,value
2003-12-01,AK,5.2
2004-12-01,AK,5.7
2005-12-01,AK,5.2
2006-12-01,AK,6.6
2007-12-01,AK,6.4
2008-12-01,AK,5.6
2009-12-01,AK,7.0
2010-12-01,AK,7.6
2011-12-01,AK,5.7
2012-12-01,AK,5.2
2013-12-01,AK,5.0
2014-12-01,AK,4.0
2015-12-01,AK,5.4
2016-12-01,AK,5.0
2017-12-01,AK,5.8
2018-12-01,AK,6.3
2019-12-01,AK,6.6
2020-12-01,AK,7.8
2021-12-01,AK,7.5
2022-12-01,AK,6.5
2023-12-01,AK,8.1
2024-12-01,AK,9.2
2025-12-01,AK,9.8
2003-12-01,AL,11.9
2004-12-01,AL,11.1
2005-12-01,AL,10.7
2006-12-01,AL,11.9
2007-12-01,AL,11.1
2008-12-01,AL,10.1
2009-12-01,AL,11.6
2010-12-01,AL,11.9
2011-12-01,AL,10.2
2012-12-01,AL,9.6
2013-12-01,AL,9.1
2014-12-01,AL,7.7
2015-12-01,AL,7.5
2016-12-01,AL,7.2
2017-12-01,AL,7.7
2018-12-01,AL,7.7
2019-12-01,AL,8.4
2020-12-01,AL,9.1
2021-12-01,AL,8.5
2022-12-01,AL,8.2
2023-12-01,AL,9.9
2024-12-01,AL,11.2
2025-12-01,AL,12.2
2003-12-01,AR,11.2
2004-12-01,AR,10.8
2005-12-01,AR,10.1
2006-12-01,AR,11.4
2007-12-01,AR,10.8
2008-12-01,AR,10.2
2009-12-01,AR,11.8
2010-12-01,AR,11.5
2011-12-01,AR,9.6
2012-12-01,AR,9.1
2013-12-01,AR,8.6
2014-12-01,AR,7.0
2015-12-01,AR,7.6
2016-12-01,AR,7.8
2017-12-01,AR,8.7
2018-12-01,AR,9.1
2019-12-01,AR,9.7
2020-12-01,AR,10.7
2021-12-01,AR,10.2
2022-12-01,AR,9.5
2023-12-01,AR,11.3
2024-12-01,AR,12.5
2025-12-01,AR,13.8
2003-12-01,AZ,9.0
2004-12-01,AZ,9.2
2005-12-01,AZ,8.3
2006-12-01,AZ,9.1
2007-12-01,AZ,9.0
2008-12-01,AZ,10.9
2009-12-01,AZ,16.4
2010-12-01,AZ,17.3
2011-12-01,AZ,14.4
2012-12-01,AZ,13.3
2013-12-01,AZ,12.0
2014-12-01,AZ,8.9
2015-12-01,AZ,9.3
2016-12-01,AZ,8.6
2017-12-01,AZ,9.5
2018-12-01,AZ,9.9
2019-12-01,AZ,10.4
2020-12-01,AZ,10.9
2021-12-01,AZ,9.4
2022-12-01,AZ,8.0
2023-12-01,AZ,10.1
2024-12-01,AZ,12.1
2025-12-01,AZ,13.7
2003-12-01,CA,8.8
2004-12-01,CA,8.6
2005-12-01,CA,7.7
2006-12-01,CA,9.0
2007-12-01,CA,9.3
2008-12-01,CA,11.6
2009-12-01,CA,17.2
2010-12-01,CA,17.7
2011-12-01,CA,14.9
2012-12-01,CA,13.3
2013-12-01,CA,11.1
2014-12-01,CA,8.1
2015-12-01,CA,8.5
2016-12-01,CA,8.2
2017-12-01,CA,8.4
2018-12-01,CA,8.2
2019-12-01,CA,8.7
2020-12-01,CA,10.4
2021-12-01,CA,9.1
2022-12-01,CA,7.9
2023-12-01,CA,10.2
2024-12-01,CA,12.0
2025-12-01,CA,13.2
2003-12-01,CO,7.3
2004-12-01,CO,7.6
2005-12-01,CO,6.8
2006-12-01,CO,7.8
2007-12-01,CO,8.0
2008-12-01,CO,8.1
2009-12-01,CO,10.7
2010-12-01,CO,11.1
2011-12-01,CO,9.4
2012-12-01,CO,8.5
2013-12-01,CO,7.8
2014-12-01,CO,6.1
2015-12-01,CO,6.2
2016-12-01,CO,6.0
2017-12-01,CO,6.3
2018-12-01,CO,6.2
2019-12-01,CO,6.5
2020-12-01,CO,7.5
2021-12-01,CO,6.6
2022-12-01,CO,6.0
2023-12-01,CO,8.3
2024-12-01,CO,9.8
2025-12-01,CO,11.1
2003-12-01,CT,7.8
2004-12-01,CT,7.2
2005-12-01,CT,6.5
2006-12-01,CT,7.7
2007-12-01,CT,7.6
2008-12-01,CT,8.3
2009-12-01,CT,11.2
2010-12-01,CT,11.2
2011-12-01,CT,9.2
2012-12-01,CT,8.8
2013-12-01,CT,8.2
2014-12-01,CT,6.7
2015-12-01,CT,6.7
2016-12-01,CT,6.4
2017-12-01,CT,6.8
2018-12-01,CT,6.7
2019-12-01,CT,7.1
2020-12-01,CT,8.3
2021-12-01,CT,7.1
2022-12-01,CT,6.7
2023-12-01,CT,8.8
2024-12-01,CT,9.9
2025-12-01,CT,10.5
2003-12-01,DC,9.7
2004-12-01,DC,9.5
2005-12-01,DC,8.4
2006-12-01,DC,9.2
