date,code,value
2003-12-01,AK,35980
2004-12-01,AK,40530
2005-12-01,AK,43290
2006-12-01,AK,46450
2007-12-01,AK,51490
2008-12-01,AK,54110
2009-12-01,AK,53140
2010-12-01,AK,52730
2011-12-01,AK,48440
2012-12-01,AK,54740
2013-12-01,AK,54000
2014-12-01,AK,54330
2015-12-01,AK,56050
2016-12-01,AK,57040
2017-12-01,AK,57850
2018-12-01,AK,58550
2019-12-01,AK,59630
2020-12-01,AK,60400
2021-12-01,AK,63920
2022-12-01,AK,67670
2023-12-01,AK,68780
2024-12-01,AK,68940
2025-12-01,AK,69460
2003-12-01,AL,23950
2004-12-01,AL,26390
2005-12-01,AL,26600
2006-12-01,AL,29530
2007-12-01,AL,33240
2008-12-01,AL,35540
2009-12-01,AL,34180
2010-12-01,AL,33590
2011-12-01,AL,34390
2012-12-01,AL,34370
2013-12-01,AL,33380
2014-12-01,AL,33760
2015-12-01,AL,34210
2016-12-01,AL,34780
2017-12-01,AL,36060
2018-12-01,AL,36780
2019-12-01,AL,38000
2020-12-01,AL,39140
2021-12-01,AL,41220
2022-12-01,AL,44440
2023-12-01,AL,46110
2024-12-01,AL,47140
2025-12-01,AL,48910
2003-12-01,AR,19900
2004-12-01,AR,21510
2005-12-01,AR,23250
2006-12-01,AR,24550
2007-12-01,AR,27480
2008-12-01,AR,28940
2009-12-01,AR,27990
2010-12-01,AR,27470
2011-12-01,AR,28910
2012-12-01,AR,29480
2013-12-01,AR,29030
2014-12-01,AR,29430
2015-12-01,AR,30020
2016-12-01,AR,30820
2017-12-01,AR,32220
2018-12-01,AR,32790
2019-12-01,AR,33950
2020-12-01,AR,35180
2021-12-01,AR,37000
2022-12-01,AR,39150
2023-12-01,AR,40580
2024-12-01,AR,41910
2025-12-01,AR,43090
2003-12-01,AZ,37060
2004-12-01,AZ,41950
2005-12-01,AZ,46190
2006-12-01,AZ,55550
2007-12-01,AZ,63750
2008-12-01,AZ,65870
2009-12-01,AZ,60200
2010-12-01,AZ,54320
2011-12-01,AZ,52210
2012-12-01,AZ,48890
2013-12-01,AZ,46950
2014-12-01,AZ,47230
2015-12-01,AZ,47630
2016-12-01,AZ,48590
2017-12-01,AZ,51300
2018-12-01,AZ,53060
2019-12-01,AZ,54290
2020-12-01,AZ,56250
2021-12-01,AZ,60090
2022-12-01,AZ,65600
2023-12-01,AZ,67270
2024-12-01,AZ,67820
2025-12-01,AZ,70850
2003-12-01,CA,48820
2004-12-01,CA,57710
2005-12-01,CA,65970
2006-12-01,CA,77070
2007-12-01,CA,85940
2008-12-01,CA,86940
2009-12-01,CA,81410
2010-12-01,CA,74960
2011-12-01,CA,72320
2012-12-01,CA,68970
2013-12-01,CA,65440
2014-12-01,CA,66140
2015-12-01,CA,65740
2016-12-01,CA,66970
2017-12-01,CA,70100
2018-12-01,CA,71860
2019-12-01,CA,73400
2020-12-01,CA,73350
2021-12-01,CA,78320
2022-12-01,CA,84730
2023-12-01,CA,85050
2024-12-01,CA,86000
2025-12-01,CA,87850
2003-12-01,CO,49130
2004-12-01,CO,55230
2005-12-01,CO,57890
2006-12-01,CO,62090
2007-12-01,CO,66140
2008-12-01,CO,68830
2009-12-01,CO,65490
2010-12-01,CO,61640
2011-12-01,CO,62390
2012-12-01,CO,60830
2013-12-01,CO,59870
2014-12-01,CO,60900
2015-12-01,CO,62200
2016-12-01,CO,64090
2017-12-01,CO,68450
2018-12-01,CO,71340
2019-12-01,CO,73890
2020-12-01,CO,76340
2021-12-01,CO,82100
2022-12-01,CO,89170
2023-12-01,CO,90760
2024-12-01,CO,90540
2025-12-01,CO,92690
2003-12-01,CT,40850
2004-12-01,CT,47170
2005-12-01,CT,51280
2006-12-01,CT,56010
2007-12-01,CT,60200
2008-12-01,CT,63090
2009-12-01,CT,61760
2010-12-01,CT,60570
2011-12-01,CT,61540
2012-12-01,CT,60690
2013-12-01,CT,58940
2014-12-01,CT,58170
2015-12-01,CT,57300
2016-12-01,CT,58100
2017-12-01,CT,58860
2018-12-01,CT,59330
2019-12-01,CT,59840
2020-12-01,CT,59720
2021-12-01,CT,61520
2022-12-01,CT,64670
2023-12-01,CT,64950
2024-12-01,CT,66590
2025-12-01,CT,67530
2003-12-01,DC,41250
2004-12-01,DC,50010
2005-12-01,DC,57040
2006-12-01,DC,65280
2007-12-01,DC,74060
2008-12-01,DC,76420
2009-12-01,DC,76020
2010-12-01,DC,75070
2011-12-01,DC,79070
2012-12-01,DC,78710
2013-12-01,DC,78440
2014-12-01,DC,79530
2015-12-01,DC,79700
2016-12-01,DC,81200
2017-12-01,DC,84380
2018-12-01,DC,86730
2019-12-01,DC,88450
2020-12-01,DC,90220
2021-12-01,DC,98940
2022-12-01,DC,105800
2023-12-01,DC,104190
2024-12-01,DC,103570
2025-12-01,DC,102400
2003-12-01,DE,34350
2004-12-01,DE,38420
2005-12-01,DE,40330
2006-12-01,DE,46550
2007-12-01,DE,50930
2008-12-01,DE,54020
2009-12-01,DE,52500
2010-12-01,DE,51690
2011-12-01,DE,52240
2012-12-01,DE,52200
2013-12-01,DE,49820
2014-12-01,DE,50430
2015-12-01,DE,50870
2016-12-01,DE,51110
2017-12-01,DE,53390
2018-12-01,DE,54200
2019-12-01,DE,55290
2020-12-01,DE,56430
2021-12-01,DE,58280
2022-12-01,DE,61490
2023-12-01,DE,62870
2024-12-01,DE,64010
2025-12-01,DE,66170
2003-12-01,FL,30210
2004-12-01,FL,35200
2005-12-01,FL,39730
2006-12-01,FL,48020
2007-12-01,FL,54630
2008-12-01,FL,56510
2009-12-01,FL,52510
2010-12-01,FL,47960
2011-12-01,FL,46980
2012-12-01,FL,44840
2013-12-01,FL,41170
2014-12-01,FL,40780
2015-12-01,FL,40600
2016-12-01,FL,41710
2017-12-01,FL,43400
2018-12-01,FL,45300
2019-12-01,FL,47380
2020-12-01,FL,49100
2021-12-01,FL,52240
2022-12-01,FL,56600
2023-12-01,FL,58390
2024-12-01,FL,59800
2025-12-01,FL,61890
2003-12-01,GA,34450
2004-12-01,GA,38980
2005-12-01,GA,41940
2006-12-01,GA,44710
2007-12-01,GA,49160
2008-12-01,GA,51030
2009-12-01,GA,47960
2010-12-01,GA,45650
2011-12-01,GA,45900
2012-12-01,GA,44960
2013-12-01,GA,42850
2014-12-01,GA,43140
2015-12-01,GA,43430
2016-12-01,GA,44670
2017-12-01,GA,46730
2018-12-01,GA,48370
2019-12-01,GA,49720
2020-12-01,GA,51140
2021-12-01,GA,53900
2022-12-01,GA,57570
2023-12-01,GA,59370
2024-12-01,GA,60440
2025-12-01,GA,62070
2003-12-01,HI,40140
2004-12-01,HI,47030
2005-12-01,HI,51810
2006-12-01,HI,58210
2007-12-01,HI,65040
2008-12-01,HI,68610
2009-12-01,HI,68320
2010-12-01,HI,66130
2011-12-01,HI,66540
2012-12-01,HI,65930
2013-12-01,HI,64670
2014-12-01,HI,65590
2015-12-01,HI,67010
2016-12-01,HI,68500
2017-12-01,HI,71170
2018-12-01,HI,72590
2019-12-01,HI,74230
2020-12-01,HI,74550
2021-12-01,HI,77410
2022-12-01,HI,82650
2023-12-01,HI,82860
2024-12-01,HI,81710
2025-12-01,HI,83480
2003-12-01,IA,22950
2004-12-01,IA,26560
2005-12-01,IA,28040
2006-12-01,IA,30550
2007-12-01,IA,32940
2008-12-01,IA,34610
2009-12-01,IA,34270
2010-12-01,IA,33660
2011-12-01,IA,36240
2012-12-01,IA,37350
2013-12-01,IA,35870
2014-12-01,IA,36430
2015-12-01,IA,37180
2016-12-01,IA,38010
2017-12-01,IA,38920
2018-12-01,IA,40110
2019-12-01,IA,40740
2020-12-01,IA,41400
2021-12-01,IA,43120
2022-12-01,IA,45720
2023-12-01,IA,46130
2024-12-01,IA,46900
2025-12-01,IA,47410
2003-12-01,ID,29300
2004-12-01,ID,33420
2005-12-01,ID,35480
2006-12-01,ID,39540
2007-12-01,ID,45290
2008-12-01,ID,47870
2009-12-01,ID,45980
2010-12-01,ID,43350
2011-12-01,ID,43910
2012-12-01,ID,43150
2013-12-01,ID,41800
2014-12-01,ID,42310
2015-12-01,ID,43190
2016-12-01,ID,44130
2017-12-01,ID,46270
2018-12-01,ID,48260
2019-12-01,ID,50470
2020-12-01,ID,53030
2021-12-01,ID,58090
2022-12-01,ID,64140
2023-12-01,ID,65480
2024-12-01,ID,66780
2025-12-01,ID,69450
2003-12-01,IL,33270
2004-12-01,IL,37890
2005-12-01,IL,41170
2006-12-01,IL,45610
2007-12-01,IL,49460
2008-12-01,IL,51750
2009-12-01,IL,49200
2010-12-01,IL,46640
2011-12-01,IL,47690
2012-12-01,IL,46670
2013-12-01,IL,44500
2014-12-01,IL,44350
2015-12-01,IL,44220
2016-12-01,IL,44800
2017-12-01,IL,45670
2018-12-01,IL,46810
2019-12-01,IL,47510
2020-12-01,IL,47610
2021-12-01,IL,49480
2022-12-01,IL,52580
2023-12-01,IL,52780
2024-12-01,IL,53390
2025-12-01,IL,54050
2003-12-01,IN,27180
2004-12-01,IN,29750
2005-12-01,IN,30820
2006-12-01,IN,33000
2007-12-01,IN,35520
2008-12-01,IN,36570
2009-12-01,IN,34970
2010-12-01,IN,34010
2011-12-01,IN,35240
2012-12-01,IN,35220
2013-12-01,IN,34360
2014-12-01,IN,34610
2015-12-01,IN,35330
2016-12-01,IN,35850
2017-12-01,IN,37210
2018-12-01,IN,37750
2019-12-01,IN,39570
2020-12-01,IN,40770
2021-12-01,IN,42470
2022-12-01,IN,45860
2023-12-01,IN,46870
2024-12-01,IN,48020
2025-12-01,IN,49330
2003-12-01,KS,25020
2004-12-01,KS,27120
2005-12-01,KS,28950
2006-12-01,KS,30920
2007-12-01,KS,33490
2008-12-01,KS,35100
2009-12-01,KS,34460
2010-12-01,KS,33310
2011-12-01,KS,35060
2012-12-01,KS,35440
2013-12-01,KS,34810
2014-12-01,KS,35080
2015-12-01,KS,35820
2016-12-01,KS,36260
2017-12-01,KS,37320
2018-12-01,KS,38120
2019-12-01,KS,38720
2020-12-01,KS,39480
2021-12-01,KS,41380
2022-12-01,KS,43440
2023-12-01,KS,44280
2024-12-01,KS,45290
2025-12-01,KS,46720
2003-12-01,KY,22000
2004-12-01,KY,24320
2005-12-01,KY,25920
2006-12-01,KY,27700
2007-12-01,KY,30560
2008-12-01,KY,31940
2009-12-01,KY,31080
2010-12-01,KY,30560
2011-12-01,KY,31520
2012-12-01,KY,31790
2013-12-01,KY,30880
2014-12-01,KY,31360
2015-12-01,KY,31940
2016-12-01,KY,32390
2017-12-01,KY,33660
2018-12-01,KY,34010
2019-12-01,KY,34910
2020-12-01,KY,36270
2021-12-01,KY,37890
2022-12-01,KY,40290
2023-12-01,KY,41170
2024-12-01,KY,42190
2025-12-01,KY,43160
2003-12-01,LA,21650
2004-12-01,LA,24190
2005-12-01,LA,20390
2006-12-01,LA,25870
2007-12-01,LA,29570
2008-12-01,LA,31580
2009-12-01,LA,31370
2010-12-01,LA,30980
2011-12-01,LA,32240
2012-12-01,LA,32760
2013-12-01,LA,32560
2014-12-01,LA,33490
2015-12-01,LA,34560
2016-12-01,LA,35220
2017-12-01,LA,36720
2018-12-01,LA,38160
2019-12-01,LA,39740
2020-12-01,LA,40820
2021-12-01,LA,43190
2022-12-01,LA,45830
2023-12-01,LA,46660
2024-12-01,LA,47380
2025-12-01,LA,48250
2003-12-01,MA,41430
2004-12-01,MA,48000
2005-12-01,MA,52820
2006-12-01,MA,57060
2007-12-01,MA,60610
2008-12-01,MA,62180
2009-12-01,MA,60100
2010-12-01,MA,58430
2011-12-01,MA,59730
2012-12-01,MA,59400
2013-12-01,MA,58940
2014-12-01,MA,58940
2015-12-01,MA,59820
2016-12-01,MA,60770
2017-12-01,MA,63070
2018-12-01,MA,64680
2019-12-01,MA,65500
2020-12-01,MA,67010
2021-12-01,MA,69930
2022-12-01,MA,74260
2023-12-01,MA,74780
2024-12-01,MA,76400
2025-12-01,MA,77400
2003-12-01,MD,42700
2004-12-01,MD,49400
2005-12-01,MD,54670
2006-12-01,MD,63170
2007-12-01,MD,70030
2008-12-01,MD,73490
2009-12-01,MD,71170
2010-12-01,MD,68410
2011-12-01,MD,69640
2012-12-01,MD,69060
2013-12-01,MD,66970
2014-12-01,MD,67480
2015-12-01,MD,67020
2016-12-01,MD,67530
2017-12-01,MD,70010
2018-12-01,MD,71120
2019-12-01,MD,72310
2020-12-01,MD,72670
2021-12-01,MD,75460
2022-12-01,MD,80130
2023-12-01,MD,80660
2024-12-01,MD,79760
2025-12-01,MD,81390
2003-12-01,ME,26860
2004-12-01,ME,30690
2005-12-01,ME,33740
2006-12-01,ME,36850
2007-12-01,ME,38980
2008-12-01,ME,40840
2009-12-01,ME,39990
2010-12-01,ME,39090
2011-12-01,ME,40730
2012-12-01,ME,40580
2013-12-01,ME,39600
2014-12-01,ME,39790
2015-12-01,ME,40010
2016-12-01,ME,41310
2017-12-01,ME,42080
2018-12-01,ME,42230
2019-12-01,ME,43740
2020-12-01,ME,44840
2021-12-01,ME,46780
2022-12-01,ME,49740
2023-12-01,ME,51010
2024-12-01,ME,52260
2025-12-01,ME,53360
2003-12-01,MI,32540
2004-12-01,MI,36000
2005-12-01,MI,37690
2006-12-01,MI,39460
2007-12-01,MI,40930
2008-12-01,MI,41420
2009-12-01,MI,38660
2010-12-01,MI,36200
2011-12-01,MI,36940
2012-12-01,MI,35970
2013-12-01,MI,34570
2014-12-01,MI,34700
2015-12-01,MI,35280
2016-12-01,MI,36320
2017-12-01,MI,37640
2018-12-01,MI,37590
2019-12-01,MI,40160
2020-12-01,MI,41110
2021-12-01,MI,43030
2022-12-01,MI,45620
2023-12-01,MI,46500
2024-12-01,MI,46980
2025-12-01,MI,48050
2003-12-01,MN,38950
2004-12-01,MN,44220
2005-12-01,MN,48160
2006-12-01,MN,52030
2007-12-01,MN,55200
2008-12-01,MN,55930
2009-12-01,MN,53660
2010-12-01,MN,50840
2011-12-01,MN,52110
2012-12-01,MN,51310
2013-12-01,MN,50470
2014-12-01,MN,50660
2015-12-01,MN,51110
2016-12-01,MN,51850
2017-12-01,MN,53260
2018-12-01,MN,54190
2019-12-01,MN,55380
2020-12-01,MN,56390
2021-12-01,MN,59160
2022-12-01,MN,62240
2023-12-01,MN,62680
2024-12-01,MN,63050
2025-12-01,MN,63860
2003-12-01,MO,26100
2004-12-01,MO,28660
2005-12-01,MO,30670
2006-12-01,MO,32830
2007-12-01,MO,35950
2008-12-01,MO,37640
2009-12-01,MO,36400
2010-12-01,MO,34820
2011-12-01,MO,36450
2012-12-01,MO,36410
2013-12-01,MO,35550
2014-12-01,MO,35890
2015-12-01,MO,36510
2016-12-01,MO,37170
2017-12-01,MO,38420
2018-12-01,MO,39060
2019-12-01,MO,40380
2020-12-01,MO,41470
2021-12-01,MO,43310
2022-12-01,MO,45910
2023-12-01,MO,47000
2024-12-01,MO,47890
2025-12-01,MO,49420
2003-12-01,MS,18260
2004-12-01,MS,19980
2005-12-01,MS,18480
2006-12-01,MS,22010
2007-12-01,MS,25000
2008-12-01,MS,26890
2009-12-01,MS,26370
2010-12-01,MS,25660
2011-12-01,MS,27050
2012-12-01,MS,27680
2013-12-01,MS,27070
2014-12-01,MS,27710
2015-12-01,MS,28650
2016-12-01,MS,29430
2017-12-01,MS,30920
2018-12-01,MS,32100
2019-12-01,MS,33140
2020-12-01,MS,34060
2021-12-01,MS,35800
2022-12-01,MS,38130
2023-12-01,MS,39510
2024-12-01,MS,40310
2025-12-01,MS,41450
2003-12-01,MT,24410
2004-12-01,MT,28530
2005-12-01,MT,30370
2006-12-01,MT,33440
2007-12-01,MT,37640
2008-12-01,MT,40030
2009-12-01,MT,39380
2010-12-01,MT,38090
2011-12-01,MT,39510
2012-12-01,MT,39880
2013-12-01,MT,39460
2014-12-01,MT,40820
2015-12-01,MT,40360
2016-12-01,MT,42240
2017-12-01,MT,44200
2018-12-01,MT,44960
2019-12-01,MT,46660
2020-12-01,MT,48380
2021-12-01,MT,51790
2022-12-01,MT,55440
2023-12-01,MT,57070
2024-12-01,MT,56980
2025-12-01,MT,58390
2003-12-01,NC,30200
2004-12-01,NC,33200
2005-12-01,NC,35360
2006-12-01,NC,38150
2007-12-01,NC,42320
2008-12-01,NC,44720
2009-12-01,NC,43650
2010-12-01,NC,42530
2011-12-01,NC,43340
2012-12-01,NC,42950
2013-12-01,NC,41540
2014-12-01,NC,41720
2015-12-01,NC,41880
2016-12-01,NC,42840
2017-12-01,NC,44780
2018-12-01,NC,45840
2019-12-01,NC,47260
2020-12-01,NC,48480
2021-12-01,NC,51130
2022-12-01,NC,55370
2023-12-01,NC,57650
2024-12-01,NC,58900
2025-12-01,NC,61070
2003-12-01,ND,20010
2004-12-01,ND,22610
2005-12-01,ND,24300
2006-12-01,ND,26130
2007-12-01,ND,28880
2008-12-01,ND,30210
2009-12-01,ND,30280
2010-12-01,ND,30380
2011-12-01,ND,32610
2012-12-01,ND,34980
2013-12-01,ND,36320
2014-12-01,ND,38040
2015-12-01,ND,39510
2016-12-01,ND,40660
2017-12-01,ND,42230
2018-12-01,ND,44140
2019-12-01,ND,45550
2020-12-01,ND,45710
2021-12-01,ND,48250
2022-12-01,ND,51360
2023-12-01,ND,51190
2024-12-01,ND,52380
2025-12-01,ND,53300
2003-12-01,NE,24160
2004-12-01,NE,28160
2005-12-01,NE,30030
2006-12-01,NE,31880
2007-12-01,NE,33430
2008-12-01,NE,34610
2009-12-01,NE,34300
2010-12-01,NE,32010
2011-12-01,NE,35840
2012-12-01,NE,36360
2013-12-01,NE,35170
2014-12-01,NE,35620
2015-12-01,NE,36820
2016-12-01,NE,37720
2017-12-01,NE,39400
2018-12-01,NE,40310
2019-12-01,NE,41610
2020-12-01,NE,42350
2021-12-01,NE,44750
2022-12-01,NE,47580
2023-12-01,NE,47980
2024-12-01,NE,48810
2025-12-01,NE,49530
2003-12-01,NH,36240
2004-12-01,NH,42530
2005-12-01,NH,46780
2006-12-01,NH,51200
2007-12-01,NH,54260
2008-12-01,NH,56160
2009-12-01,NH,54280
2010-12-01,NH,52150
2011-12-01,NH,53330
2012-12-01,NH,52970
2013-12-01,NH,51880
2014-12-01,NH,51690
2015-12-01,NH,52270
2016-12-01,NH,53510
2017-12-01,NH,54570
2018-12-01,NH,55650
2019-12-01,NH,56640
2020-12-01,NH,57780
2021-12-01,NH,60020
2022-12-01,NH,63230
2023-12-01,NH,64640
2024-12-01,NH,65540
2025-12-01,NH,66480
2003-12-01,NJ,38940
2004-12-01,NJ,44590
2005-12-01,NJ,49420
2006-12-01,NJ,54770
2007-12-01,NJ,60550
2008-12-01,NJ,63620
2009-12-01,NJ,62190
2010-12-01,NJ,60790
2011-12-01,NJ,61700
2012-12-01,NJ,60600
2013-12-01,NJ,57880
2014-12-01,NJ,57600
2015-12-01,NJ,55800
2016-12-01,NJ,56420
2017-12-01,NJ,57830
2018-12-01,NJ,58590
2019-12-01,NJ,59100
2020-12-01,NJ,59470
2021-12-01,NJ,62350
2022-12-01,NJ,66800
2023-12-01,NJ,67700
2024-12-01,NJ,68440
2025-12-01,NJ,69550
2003-12-01,NM,27380
2004-12-01,NM,29630
2005-12-01,NM,32550
2006-12-01,NM,34970
2007-12-01,NM,39380
2008-12-01,NM,41910
2009-12-01,NM,40200
2010-12-01,NM,39060
2011-12-01,NM,39530
2012-12-01,NM,39470
2013-12-01,NM,37670
2014-12-01,NM,37920
2015-12-01,NM,37990
2016-12-01,NM,38250
2017-12-01,NM,38680
2018-12-01,NM,39650
2019-12-01,NM,41000
2020-12-01,NM,41800
2021-12-01,NM,42930
2022-12-01,NM,46710
2023-12-01,NM,47140
2024-12-01,NM,47920
2025-12-01,NM,49260
2003-12-01,NV,39710
2004-12-01,NV,46050
2005-12-01,NV,54040
2006-12-01,NV,64480
2007-12-01,NV,73730
2008-12-01,NV,73720
2009-12-01,NV,65340
2010-12-01,NV,57640
2011-12-01,NV,53370
2012-12-01,NV,50090
2013-12-01,NV,45270
2014-12-01,NV,45180
2015-12-01,NV,46260
2016-12-01,NV,47670
2017-12-01,NV,50320
2018-12-01,NV,52770
2019-12-01,NV,54830
2020-12-01,NV,57130
2021-12-01,NV,61150
2022-12-01,NV,66020
2023-12-01,NV,68040
2024-12-01,NV,68550
2025-12-01,NV,71260
2003-12-01,NY,30430
2004-12-01,NY,35260
2005-12-01,NY,38780
2006-12-01,NY,43380
2007-12-01,NY,48030
2008-12-01,NY,49530
2009-12-01,NY,48710
2010-12-01,NY,47720
2011-12-01,NY,48990
2012-12-01,NY,48900
2013-12-01,NY,47360
2014-12-01,NY,47220
2015-12-01,NY,46930
2016-12-01,NY,47760
2017-12-01,NY,49030
2018-12-01,NY,49680
2019-12-01,NY,51280
2020-12-01,NY,51030
2021-12-01,NY,53620
2022-12-01,NY,56590
2023-12-01,NY,57730
2024-12-01,NY,58970
2025-12-01,NY,59420
2003-12-01,OH,28850
2004-12-01,OH,31600
2005-12-01,OH,33080
2006-12-01,OH,34930
2007-12-01,OH,36430
2008-12-01,OH,37940
2009-12-01,OH,36620
2010-12-01,OH,35290
2011-12-01,OH,36280
2012-12-01,OH,35970
2013-12-01,OH,34760
2014-12-01,OH,35160
2015-12-01,OH,35740
2016-12-01,OH,36100
2017-12-01,OH,37160
2018-12-01,OH,37990
2019-12-01,OH,39450
2020-12-01,OH,39960
2021-12-01,OH,41740
2022-12-01,OH,44210
2023-12-01,OH,44870
2024-12-01,OH,45780
2025-12-01,OH,46780
2003-12-01,OK,20220
2004-12-01,OK,23040
2005-12-01,OK,23470
2006-12-01,OK,25230
2007-12-01,OK,27870
2008-12-01,OK,29560
2009-12-01,OK,29060
2010-12-01,OK,28940
2011-12-01,OK,30400
2012-12-01,OK,31210
2013-12-01,OK,30350
2014-12-01,OK,31090
2015-12-01,OK,31930
2016-12-01,OK,32520
2017-12-01,OK,33890
2018-12-01,OK,34370
2019-12-01,OK,35110
2020-12-01,OK,35130
2021-12-01,OK,37620
2022-12-01,OK,39830
2023-12-01,OK,40990
2024-12-01,OK,41880
2025-12-01,OK,43170
2003-12-01,OR,34390
2004-12-01,OR,38420
2005-12-01,OR,40950
2006-12-01,OR,46000
2007-12-01,OR,51390
2008-12-01,OR,54210
2009-12-01,OR,52370
2010-12-01,OR,49850
2011-12-01,OR,50580
2012-12-01,OR,49530
2013-12-01,OR,48740
2014-12-01,OR,49010
2015-12-01,OR,49550
2016-12-01,OR,50690
2017-12-01,OR,53020
2018-12-01,OR,55090
2019-12-01,OR,56620
2020-12-01,OR,58310
2021-12-01,OR,61760
2022-12-01,OR,66950
2023-12-01,OR,66430
2024-12-01,OR,67520
2025-12-01,OR,69640
2003-12-01,PA,25450
2004-12-01,PA,28510
2005-12-01,PA,30550
2006-12-01,PA,33130
2007-12-01,PA,36490
2008-12-01,PA,38560
2009-12-01,PA,38110
2010-12-01,PA,37470
2011-12-01,PA,39030
2012-12-01,PA,39370
2013-12-01,PA,38540
2014-12-01,PA,39110
2015-12-01,PA,39340
2016-12-01,PA,40320
