date,code,value
2003-12-01,AK,680
2004-12-01,AK,1730
2005-12-01,AK,1910
2006-12-01,AK,2250
2007-12-01,AK,2340
2008-12-01,AK,2530
2009-12-01,AK,2850
2010-12-01,AK,3140
2011-12-01,AK,3390
2012-12-01,AK,3680
2013-12-01,AK,3630
2014-12-01,AK,3640
2015-12-01,AK,3610
2016-12-01,AK,3660
2017-12-01,AK,3740
2018-12-01,AK,4030
2019-12-01,AK,3970
2020-12-01,AK,4030
2021-12-01,AK,3990
2022-12-01,AK,3910
2023-12-01,AK,4250
2024-12-01,AK,4180
2025-12-01,AK,3860
2003-12-01,AL,880
2004-12-01,AL,1090
2005-12-01,AL,1240
2006-12-01,AL,1490
2007-12-01,AL,1770
2008-12-01,AL,2160
2009-12-01,AL,2470
2010-12-01,AL,2790
2011-12-01,AL,2990
2012-12-01,AL,3370
2013-12-01,AL,3620
2014-12-01,AL,3980
2015-12-01,AL,4180
2016-12-01,AL,4390
2017-12-01,AL,4610
2018-12-01,AL,4920
2019-12-01,AL,5120
2020-12-01,AL,5280
2021-12-01,AL,5450
2022-12-01,AL,5480
2023-12-01,AL,5490
2024-12-01,AL,5560
2025-12-01,AL,5470
2003-12-01,AR,710
2004-12-01,AR,1010
2005-12-01,AR,1160
2006-12-01,AR,1460
2007-12-01,AR,1690
2008-12-01,AR,1990
2009-12-01,AR,2260
2010-12-01,AR,2620
2011-12-01,AR,2840
2012-12-01,AR,3190
2013-12-01,AR,3440
2014-12-01,AR,3720
2015-12-01,AR,3830
2016-12-01,AR,4100
2017-12-01,AR,4170
2018-12-01,AR,4330
2019-12-01,AR,4540
2020-12-01,AR,4650
2021-12-01,AR,4850
2022-12-01,AR,4920
2023-12-01,AR,4940
2024-12-01,AR,5060
2025-12-01,AR,4890
2003-12-01,AZ,1080
2004-12-01,AZ,1520
2005-12-01,AZ,1670
2006-12-01,AZ,1930
2007-12-01,AZ,2170
2008-12-01,AZ,2500
2009-12-01,AZ,2890
2010-12-01,AZ,3220
2011-12-01,AZ,3420
2012-12-01,AZ,3890
2013-12-01,AZ,4030
2014-12-01,AZ,4310
2015-12-01,AZ,4470
2016-12-01,AZ,4690
2017-12-01,AZ,4890
2018-12-01,AZ,5170
2019-12-01,AZ,5260
2020-12-01,AZ,5410
2021-12-01,AZ,5480
2022-12-01,AZ,5420
2023-12-01,AZ,5290
2024-12-01,AZ,5100
2025-12-01,AZ,4960
2003-12-01,CA,970
2004-12-01,CA,1340
2005-12-01,CA,1480
2006-12-01,CA,1780
2007-12-01,CA,2000
