"date","value"
"2006-03-01",33.373
"2006-04-01",33.423
"2006-05-01",33.257
"2006-06-01",33.323
"2006-07-01",33.257
"2006-08-01",33.159
"2006-09-01",33.454
"2006-10-01",33.636
"2006-11-01",33.734
"2006-12-01",33.699
"2007-01-01",33.659
"2007-02-01",33.676
"2007-03-01",33.567
"2007-04-01",33.579
"2007-05-01",33.521
"2007-06-01",33.62
"2007-07-01",33.545
"2007-08-01",33.63
"2007-09-01",33.552
"2007-10-01",33.481
"2007-11-01",33.315
"2007-12-01",33.281
"2008-01-01",33.214
"2008-02-01",33.259
"2008-03-01",33.28
"2008-04-01",33.235
"2008-05-01",33.178
"2008-06-01",32.911
"2008-07-01",32.799
"2008-08-01",33
"2008-09-01",33.017
"2008-10-01",33.35
"2008-11-01",34.107
"2008-12-01",34.531
"2009-01-01",34.46
"2009-02-01",34.366
"2009-03-01",34.51
"2009-04-01",34.553
"2009-05-01",34.534
"2009-06-01",34.28
"2009-07-01",34.352
"2009-08-01",34.315
"2009-09-01",34.31
"2009-10-01",34.269
"2009-11-01",34.201
"2009-12-01",34.229
"2010-01-01",34.253
"2010-02-01",34.377
"2010-03-01",34.366
"2010-04-01",34.404
"2010-05-01",34.452
"2010-06-01",34.497
"2010-07-01",34.525
"2010-08-01",34.52
"2010-09-01",34.54
"2010-10-01",34.512
"2010-11-01",34.424
"2010-12-01",34.332
"2011-01-01",34.386
"2011-02-01",34.276
"2011-03-01",34.1
"2011-04-01",34
"2011-05-01",33.981
"2011-06-01",34.025
"2011-07-01",34.099
"2011-08-01",33.918
"2011-09-01",33.918
"2011-10-01",33.997
"2011-11-01",33.949
"2011-12-01",33.985
"2012-01-01",33.951
"2012-02-01",33.908
"2012-03-01",33.953
"2012-04-01",33.941
"2012-05-01",34.04
"2012-06-01",34.141
"2012-07-01",34.175
"2012-08-01",33.963
"2012-09-01",33.931
"2012-10-01",33.826
"2012-11-01",33.983
"2012-12-01",34.117
"2013-01-01",34.078
"2013-02-01",33.951
"2013-03-01",34.075
"2013-04-01",34.247
"2013-05-01",34.262
"2013-06-01",34.28
"2013-07-01",34.242
"2013-08-01",34.218
"2013-09-01",34.262
"2013-10-01",34.286
"2013-11-01",34.322
"2013-12-01",34.26
"2014-01-01",34.234
"2014-02-01",34.351
"2014-03-01",34.253
"2014-04-01",34.232
"2014-05-01",34.251
"2014-06-01",34.29
"2014-07-01",34.279
"2014-08-01",34.369
"2014-09-01",34.394
"2014-10-01",34.443
"2014-11-01",34.606
"2014-12-01",34.671
"2015-01-01",35.049
"2015-02-01",35.031
"2015-03-01",35.022
"2015-04-01",35.042
"2015-05-01",35.039
"2015-06-01",34.942
"2015-07-01",34.943
"2015-08-01",35.068
"2015-09-01",35.161
"2015-10-01",35.253
"2015-11-01",35.28
"2015-12-01",35.318
"2016-01-01",35.503
"2016-02-01",35.564
"2016-03-01",35.55
"2016-04-01",35.526
"2016-05-01",35.512
"2016-06-01",35.469
"2016-07-01",35.584
"2016-08-01",35.546
"2016-09-01",35.535
"2016-10-01",35.631
"2016-11-01",35.589
"2016-12-01",35.541
"2017-01-01",35.493
"2017-02-01",35.532
"2017-03-01",35.603
"2017-04-01",35.655
"2017-05-01",35.723
"2017-06-01",35.768
"2017-07-01",35.879
"2017-08-01",35.768
"2017-09-01",35.749
"2017-10-01",35.734
"2017-11-01",35.693
"2017-12-01",35.739
"2018-01-01",35.708
"2018-02-01",35.639
"2018-03-01",35.778
"2018-04-01",35.765
"2018-05-01",35.777
"2018-06-01",35.811
"2018-07-01",35.876
"2018-08-01",35.958
"2018-09-01",36.029
"2018-10-01",36.01
"2018-11-01",36.128
"2018-12-01",36.261
