"date","value"
"2000-01-01",614.84655
"2000-02-01",617.33256
"2000-03-01",622.51097
"2000-04-01",625.73594
"2000-05-01",631.85715
"2000-06-01",639.15855
"2000-07-01",646.92701
"2000-08-01",656.02189
"2000-09-01",661.99681
"2000-10-01",667.94815
"2000-11-01",673.99474
"2000-12-01",682.64637
"2001-01-01",686.7615
"2001-02-01",697.98251
"2001-03-01",702.56077
"2001-04-01",707.44702
"2001-05-01",709.59051
"2001-06-01",712.00255
"2001-07-01",707.89002
"2001-08-01",706.69134
"2001-09-01",707.26263
"2001-10-01",705.40852
"2001-11-01",712.65874
"2001-12-01",714.84073
"2002-01-01",714.7815
"2002-02-01",714.8221
"2002-03-01",719.95604
"2002-04-01",725.2277
"2002-05-01",728.3641
"2002-06-01",732.81338
"2002-07-01",736.26446
"2002-08-01",740.48945
"2002-09-01",743.32636
"2002-10-01",747.93958
"2002-11-01",749.90622
"2002-12-01",750.94745
"2003-01-01",754.7894
"2003-02-01",758.60134
"2003-03-01",759.65521
"2003-04-01",760.75243
"2003-05-01",763.70474
"2003-06-01",763.81488
"2003-07-01",764.38866
"2003-08-01",766.3244
"2003-09-01",766.04192
"2003-10-01",765.53519
"2003-11-01",765.00792
"2003-12-01",768.25831
"2004-01-01",770.6725
"2004-02-01",772.36227
"2004-03-01",778.09248
"2004-04-01",775.55479
"2004-05-01",778.08865
"2004-06-01",779.73122
"2004-07-01",786.08714
"2004-08-01",787.01166
"2004-09-01",793.63581
"2004-10-01",796.69649
"2004-11-01",797.18497
"2004-12-01",799.55218
"2005-01-01",804.63576
"2005-02-01",804.10729
"2005-03-01",804.63997
"2005-04-01",810.55839
"2005-05-01",809.21155
"2005-06-01",814.18165
"2005-07-01",814.90846
"2005-08-01",817.84241
"2005-09-01",819.65175
"2005-10-01",821.08267
"2005-11-01",825.87808
"2005-12-01",829.51836
"2006-01-01",879.57712
"2006-02-01",885.28973
"2006-03-01",888.24358
"2006-04-01",893.52692
"2006-05-01",899.47133
"2006-06-01",897.48331
"2006-07-01",898.67663
"2006-08-01",903.92428
"2006-09-01",907.81435
"2006-10-01",911.61451
"2006-11-01",917.34618
"2006-12-01",923.87678
"2007-01-01",927.62946
"2007-02-01",933.3558
"2007-03-01",938.46358
"2007-04-01",941.38651
"2007-05-01",950.62604
"2007-06-01",953.92509
"2007-07-01",958.32231
"2007-08-01",968.22562
"2007-09-01",975.49977
"2007-10-01",982.85285
"2007-11-01",994.56528
"2007-12-01",1001.6253
"2008-01-01",1008.03446
"2008-02-01",1014.94446
"2008-03-01",1016.772
"2008-04-01",1018.53196
"2008-05-01",1019.63696
"2008-06-01",1019.32207
"2008-07-01",1018.3639
"2008-08-01",1017.43052
"2008-09-01",1012.56094
"2008-10-01",1016.46134
"2008-11-01",1010.48206
"2008-12-01",1003.99704
"2009-01-01",1007.21524
"2009-02-01",998.87618
"2009-03-01",984.51263
"2009-04-01",980.66614
"2009-05-01",966.76034
"2009-06-01",963.14709
"2009-07-01",960.21734
"2009-08-01",952.04504
"2009-09-01",947.92326
"2009-10-01",940.39211
"2009-11-01",924.82091
"2009-12-01",916.07663
"2010-01-01",909.53116
"2010-02-01",902.33023
"2010-03-01",897.87961
"2010-04-01",896.60291
"2010-05-01",882.59544
"2010-06-01",877.04312
"2010-07-01",873.22328
"2010-08-01",866.78493
"2010-09-01",862.09068
"2010-10-01",855.38039
"2010-11-01",851.02371
"2010-12-01",839.10267
"2011-01-01",835.41827
"2011-02-01",833.74499
"2011-03-01",835.66793
"2011-04-01",834.22614
"2011-05-01",832.51072
"2011-06-01",836.24843
"2011-07-01",836.45922
"2011-08-01",836.2136
"2011-09-01",838.29307
"2011-10-01",838.23509
"2011-11-01",842.06965
"2011-12-01",840.16423
"2012-01-01",840.48451
"2012-02-01",842.73181
"2012-03-01",842.77494
"2012-04-01",838.27676
"2012-05-01",839.97512
"2012-06-01",838.81852
"2012-07-01",837.49026
"2012-08-01",841.40915
"2012-09-01",841.56754
"2012-10-01",843.40968
"2012-11-01",845.82777
"2012-12-01",839.98084
"2013-01-01",844.79466
"2013-02-01",850.40645
"2013-03-01",849.56363
"2013-04-01",847.85623
"2013-05-01",851.75163
"2013-06-01",850.68848
