"date","value"
"2000-01-01",260.83
"2000-04-01",267.85
"2000-07-01",276.84
"2000-10-01",285.39
"2001-01-01",296.43
"2001-04-01",305.48
"2001-07-01",311.91
"2001-10-01",316.29
"2002-01-01",324.73
"2002-04-01",335.75
"2002-07-01",348.39
"2002-10-01",358.58
"2003-01-01",366.86
"2003-04-01",373.73
"2003-07-01",386.4
"2003-10-01",411.08
"2004-01-01",424.35
"2004-04-01",450.93
"2004-07-01",496.74
"2004-10-01",515.85
"2005-01-01",538.42
"2005-04-01",569.98
"2005-07-01",598.43
"2005-10-01",625.19
"2006-01-01",638.19
"2006-04-01",644.03
"2006-07-01",646.13
"2006-10-01",642.43
"2007-01-01",633.62
"2007-04-01",622.97
"2007-07-01",599.75
"2007-10-01",575.17
"2008-01-01",542.95
"2008-04-01",498.07
"2008-07-01",460.24
"2008-10-01",444.36
"2009-01-01",440.36
"2009-04-01",420.25
"2009-07-01",410.96
"2009-10-01",412.24
"2010-01-01",409.2
"2010-04-01",407.96
"2010-07-01",410.21
"2010-10-01",405.69
"2011-01-01",391.17
"2011-04-01",384.87
"2011-07-01",386.47
"2011-10-01",385.29
"2012-01-01",380.98
"2012-04-01",381.62
"2012-07-01",390.55
"2012-10-01",398.84
"2013-01-01",407.23
"2013-04-01",425.93
"2013-07-01",446.89
"2013-10-01",461.68
"2014-01-01",471.3
"2014-04-01",484.07
"2014-07-01",494.2
"2014-10-01",499.8
"2015-01-01",505.04
"2015-04-01",516.35
"2015-07-01",529.52
"2015-10-01",536.84
"2016-01-01",543.85
"2016-04-01",553.5
"2016-07-01",565.62
"2016-10-01",572.43
"2017-01-01",578.37
"2017-04-01",590.38
"2017-07-01",602.16
"2017-10-01",610.75
"2018-01-01",621.2
"2018-04-01",633.06
"2018-07-01",641.05
"2018-10-01",640.96
"2019-01-01",645.16
"2019-04-01",651.72
"2019-07-01",658.63
"2019-10-01",662.9
"2020-01-01",669.17
"2020-04-01",676.85
"2020-07-01",684.77
"2020-10-01",698.94
"2021-01-01",718.53
"2021-04-01",761.15
"2021-07-01",800.83
"2021-10-01",833.23
"2022-01-01",866.88
"2022-04-01",919.55
"2022-07-01",913.36
"2022-10-01",887.5
"2023-01-01",884.69
"2023-04-01",906.24
"2023-07-01",916.71
"2023-10-01",917.04
"2024-01-01",932.24
"2024-04-01",947.01
"2024-07-01",955.87
"2024-10-01",958.47
"2025-01-01",959.78
"2025-04-01",968.26
"2025-07-01",967.57
"2025-10-01",971.2
"2026-01-01",976.79
