"date","value"
"2007-01-01",25.03
"2007-02-01",24.76
"2007-03-01",24.84
"2007-04-01",24.93
"2007-05-01",24.69
"2007-06-01",24.66
"2007-07-01",24.8
"2007-08-01",24.48
"2007-09-01",24.72
"2007-10-01",24.45
"2007-11-01",24.54
"2007-12-01",24.48
"2008-01-01",24.23
"2008-02-01",24.2
"2008-03-01",24.52
"2008-04-01",24.63
"2008-05-01",24.58
"2008-06-01",24.67
"2008-07-01",24.69
"2008-08-01",24.66
"2008-09-01",24.83
"2008-10-01",24.9
"2008-11-01",25.25
"2008-12-01",25.57
"2009-01-01",25.43
"2009-02-01",25.42
"2009-03-01",25.61
"2009-04-01",25.45
"2009-05-01",25.21
"2009-06-01",25.3
"2009-07-01",25.22
"2009-08-01",25.48
"2009-09-01",25.54
"2009-10-01",25.69
"2009-11-01",25.77
"2009-12-01",25.7
"2010-01-01",26.41
"2010-02-01",26.26
"2010-03-01",26.23
"2010-04-01",26.4
"2010-05-01",26.39
"2010-06-01",26.2
"2010-07-01",26.29
"2010-08-01",26.34
"2010-09-01",26.3
"2010-10-01",26.37
"2010-11-01",26.54
"2010-12-01",26.69
"2011-01-01",26.87
"2011-02-01",27.08
"2011-03-01",27.15
"2011-04-01",27
"2011-05-01",27.17
"2011-06-01",26.67
"2011-07-01",26.89
"2011-08-01",26.64
"2011-09-01",26.8
"2011-10-01",27.02
"2011-11-01",26.89
"2011-12-01",26.84
"2012-01-01",27.26
"2012-02-01",27
"2012-03-01",26.92
"2012-04-01",27.12
"2012-05-01",26.85
"2012-06-01",26.79
"2012-07-01",26.83
"2012-08-01",26.52
"2012-09-01",26.92
"2012-10-01",26.76
"2012-11-01",26.84
"2012-12-01",27.17
"2013-01-01",27.01
"2013-02-01",26.97
"2013-03-01",26.84
"2013-04-01",26.91
"2013-05-01",26.87
"2013-06-01",27.12
"2013-07-01",26.93
"2013-08-01",26.87
"2013-09-01",27.28
"2013-10-01",27.04
"2013-11-01",27.09
"2013-12-01",27.37
"2014-01-01",27.34
"2014-02-01",27.52
"2014-03-01",27.46
"2014-04-01",27.25
"2014-05-01",27.17
"2014-06-01",27.38
"2014-07-01",27.44
"2014-08-01",27.29
"2014-09-01",27.5
"2014-10-01",27.65
"2014-11-01",28.07
"2014-12-01",27.9
"2015-01-01",28.14
"2015-02-01",28.24
"2015-03-01",28.12
"2015-04-01",28.01
"2015-05-01",28.06
"2015-06-01",27.96
"2015-07-01",28
"2015-08-01",28.16
"2015-09-01",27.97
"2015-10-01",28.21
"2015-11-01",28.5
"2015-12-01",28.37
"2016-01-01",28.61
"2016-02-01",28.67
"2016-03-01",28.57
"2016-04-01",28.74
"2016-05-01",29.08
"2016-06-01",28.7
"2016-07-01",28.83
"2016-08-01",28.96
"2016-09-01",29.22
"2016-10-01",29.6
"2016-11-01",29.33
"2016-12-01",29.51
"2017-01-01",29.94
"2017-02-01",29.8
"2017-03-01",29.62
"2017-04-01",30.07
"2017-05-01",29.82
"2017-06-01",29.71
"2017-07-01",30.21
"2017-08-01",29.93
"2017-09-01",30.27
"2017-10-01",30.69
"2017-11-01",30.33
"2017-12-01",30.48
"2018-01-01",30.63
"2018-02-01",30.66
"2018-03-01",30.65
"2018-04-01",30.91
"2018-05-01",30.71
"2018-06-01",30.64
"2018-07-01",31.06
"2018-08-01",30.8
"2018-09-01",31.33
"2018-10-01",31.28
"2018-11-01",31.36
"2018-12-01",31.99
"2019-01-01",32.08
"2019-02-01",32.15
"2019-03-01",32.11
"2019-04-01",32.27
"2019-05-01",32.13
"2019-06-01",32.43
"2019-07-01",32.38
"2019-08-01",32.4
"2019-09-01",32.9
"2019-10-01",32.72
"2019-11-01",32.87
"2019-12-01",33.22
"2020-01-01",33.2
"2020-02-01",33.59
"2020-03-01",33.54
"2020-04-01",34.79
"2020-05-01",34.61
"2020-06-01",34.2
"2020-07-01",34.43
"2020-08-01",34.84
"2020-09-01",34.58
"2020-10-01",34.74
"2020-11-01",35.18
"2020-12-01",35.5
"2021-01-01",35.63
"2021-02-01",35.73
"2021-03-01",35.65
"2021-04-01",35.7
"2021-05-01",36.15
"2021-06-01",35.69
"2021-07-01",35.98
"2021-08-01",36.36
"2021-09-01",36.15
"2021-10-01",36.42
"2021-11-01",36.82
"2021-12-01",37.02
"2022-01-01",37.51
"2022-02-01",36.85
"2022-03-01",36.81
"2022-04-01",37.1
"2022-05-01",37.53
"2022-06-01",37.32
"2022-07-01",37.86
"2022-08-01",37.55
"2022-09-01",37.68
"2022-10-01",38.1
"2022-11-01",37.65
"2022-12-01",37.66
"2023-01-01",38.32
"2023-02-01",37.9
"2023-03-01",37.91
"2023-04-01",38.29
"2023-05-01",38.06
"2023-06-01",37.68
"2023-07-01",38.4
"2023-08-01",37.85
"2023-09-01",38.11
"2023-10-01",38.53
"2023-11-01",38.24
"2023-12-01",38.43
"2024-01-01",38.58
"2024-02-01",38.67
"2024-03-01",38.69
"2024-04-01",38.92
"2024-05-01",39.13
"2024-06-01",39.56
"2024-07-01",39.57
"2024-08-01",39.67
"2024-09-01",40.27
"2024-10-01",40.14
"2024-11-01",40.31
"2024-12-01",40.77
"2025-01-01",40.76
"2025-02-01",40.99
"2025-03-01",40.98
"2025-04-01",40.69
"2025-05-01",40.69
"2025-06-01",41.17
"2025-07-01",41.14
"2025-08-01",41.25
"2025-09-01",41.78
"2025-10-01",41.92
"2025-11-01",42.22
"2025-12-01",42.22
"2026-01-01",42.47
"2026-02-01",42.62
"2026-03-01",42.61
"2026-04-01",42.38
"2026-05-01",42.35
