"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2003-12-01",23950,35980,37060,19900,48820,49130,40850,34350,41250,30210,34450,40140,29300,33270,27180,22950,25020,22000,21650,26860,42700,41430,32540,38950,18260,26100,24410,24160,39710,36240,38940,27380,30430,30200,20010,28850,20220,34390,25450,32740,27860,27260,26660,25310,35620,28580,39550,41480,17180,27140,25500
"2004-12-01",26390,40530,41950,21510,57710,55230,47170,38420,50010,35200,38980,47030,33420,37890,29750,26560,27120,24320,24190,30690,49400,48000,36000,44220,19980,28660,28530,28160,46050,42530,44590,29630,35260,33200,22610,31600,23040,38420,28510,38080,30030,30550,28950,27590,38840,31310,45950,45890,18890,29420,28870
"2005-12-01",26600,43290,46190,23250,65970,57890,51280,40330,57040,39730,41940,51810,35480,41170,30820,28040,28950,25920,20390,33740,54670,52820,37690,48160,18480,30670,30370,30030,54040,46780,49420,32550,38780,35360,24300,33080,23470,40950,30550,43100,32030,32200,30720,29080,41640,33110,51270,49340,19770,32990,31710
"2006-12-01",29530,46450,55550,24550,77070,62090,56010,46550,65280,48020,44710,58210,39540,45610,33000,30550,30920,27700,25870,36850,63170,57060,39460,52030,22010,32830,33440,31880,64480,51200,54770,34970,43380,38150,26130,34930,25230,46000,33130,47120,34200,34850,32600,30900,46230,36050,58360,54720,21470,35510,34630
"2007-12-01",33240,51490,63750,27480,85940,66140,60200,50930,74060,54630,49160,65040,45290,49460,35520,32940,33490,30560,29570,38980,70030,60610,40930,55200,25000,35950,37640,33430,73730,54260,60550,39380,48030,42320,28880,36430,27870,51390,36490,50480,38060,36810,36230,34540,53070,39310,64520,62130,23470,38130,39740
"2008-12-01",35540,54110,65870,28940,86940,68830,63090,54020,76420,56510,51030,68610,47870,51750,36570,34610,35100,31940,31580,40840,73490,62180,41420,55930,26890,37640,40030,34610,73720,56160,63620,41910,49530,44720,30210,37940,29560,54210,38560,51930,40260,36980,37990,36720,56700,41520,66970,65860,24750,39330,42580
"2009-12-01",34180,53140,60200,27990,81410,65490,61760,52500,76020,52510,47960,68320,45980,49200,34970,34270,34460,31080,31370,39990,71170,60100,38660,53660,26370,36400,39380,34300,65340,54280,62190,40200,48710,43650,30280,36620,29060,52370,38110,49930,39020,36860,36900,36070,54230,40910,64830,64030,23920,38420,42320
"2010-12-01",33590,52730,54320,27470,74960,61640,60570,51690,75070,47960,45650,66130,43350,46640,34010,33660,33310,30560,30980,39090,68410,58430,36200,50840,25660,34820,38090,32010,57640,52150,60790,39060,47720,42530,30380,35290,28940,49850,37470,48380,38000,35900,35600,35040,51760,40370,62250,61200,24160,36890,41180
"2011-12-01",34390,48440,52210,28910,72320,62390,61540,52240,79070,46980,45900,66540,43910,47690,35240,36240,35060,31520,32240,40730,69640,59730,36940,52110,27050,36450,39510,35840,53370,53330,61700,39530,48990,43340,32610,36280,30400,50580,39030,49430,39310,38180,36480,35960,52380,43360,63160,61270,25740,38070,41670
"2012-12-01",34370,54740,48890,29480,68970,60830,60690,52200,78710,44840,44960,65930,43150,46670,35220,37350,35440,31790,32760,40580,69060,59400,35970,51310,27680,36410,39880,36360,50090,52970,60600,39470,48900,42950,34980,35970,31210,49530,39370,48330,39290,38820,36420,36410,51180,43260,62620,60320,26490,37180,41940
"2013-12-01",33380,54000,46950,29030,65440,59870,58940,49820,78440,41170,42850,64670,41800,44500,34360,35870,34810,30880,32560,39600,66970,58940,34570,50470,27070,35550,39460,35170,45270,51880,57880,37670,47360,41540,36320,34760,30350,48740,38540,46770,38060,36970,35600,35550,50330,43000,61470,58050,26040,36930,41220
"2014-12-01",33760,54330,47230,29430,66140,60900,58170,50430,79530,40780,43140,65590,42310,44350,34610,36430,35080,31360,33490,39790,67480,58940,34700,50660,27710,35890,40820,35620,45180,51690,57600,37920,47220,41720,38040,35160,31090,49010,39110,45710,38530,37330,36350,36770,51120,43330,62230,58250,26770,37100,42150
"2015-12-01",34210,56050,47630,30020,65740,62200,57300,50870,79700,40600,43430,67010,43190,44220,35330,37180,35820,31940,34560,40010,67020,59820,35280,51110,28650,36510,40360,36820,46260,52270,55800,37990,46930,41880,39510,35740,31930,49550,39340,46950,38870,38470,37020,38400,52150,43520,62520,58370,27520,37680,44510
"2016-12-01",34780,57040,48590,30820,66970,64090,58100,51110,81200,41710,44670,68500,44130,44800,35850,38010,36260,32390,35220,41310,67530,60770,36320,51850,29430,37170,42240,37720,47670,53510,56420,38250,47760,42840,40660,36100,32520,50690,40320,47390,40420,39470,37670,39740,53410,44260,62970,59620,28040,38250,44380
"2017-12-01",36060,57850,51300,32220,70100,68450,58860,53390,84380,43400,46730,71170,46270,45670,37210,38920,37320,33660,36720,42080,70010,63070,37640,53260,30920,38420,44200,39400,50320,54570,57830,38680,49030,44780,42230,37160,33890,53020,41450,48850,42220,41130,39880,41650,56920,45120,65050,62560,28790,39120,46180
"2018-12-01",36780,58550,53060,32790,71860,71340,59330,54200,86730,45300,48370,72590,48260,46810,37750,40110,38120,34010,38160,42230,71120,64680,37590,54190,32100,39060,44960,40310,52770,55650,58590,39650,49680,45840,44140,37990,34370,55090,42440,49940,43880,41880,40370,43660,59320,45270,65480,65390,29430,40060,46410
"2019-12-01",38000,59630,54290,33950,73400,73890,59840,55290,88450,47380,49720,74230,50470,47510,39570,40740,38720,34910,39740,43740,72310,65500,40160,55380,33140,40380,46660,41610,54830,56640,59100,41000,51280,47260,45550,39450,35110,56620,43440,51170,45420,43050,42500,45290,62090,46490,66140,67440,30580,41760,47670
