"date","value"
"2000-01-01",200.77
"2000-04-01",204.43
"2000-07-01",208.73
"2000-10-01",213.09
"2001-01-01",219.24
"2001-04-01",224.75
"2001-07-01",229.89
"2001-10-01",235.45
"2002-01-01",240.12
"2002-04-01",247.46
"2002-07-01",254.42
"2002-10-01",260.2
"2003-01-01",265.76
"2003-04-01",272.16
"2003-07-01",278.68
"2003-10-01",291.66
"2004-01-01",300.5
"2004-04-01",314.61
"2004-07-01",334.37
"2004-10-01",349.67
"2005-01-01",368.37
"2005-04-01",395.96
"2005-07-01",423.53
"2005-10-01",445.84
"2006-01-01",463.4
"2006-04-01",473.21
"2006-07-01",476.69
"2006-10-01",479.98
"2007-01-01",477.13
"2007-04-01",470.88
"2007-07-01",454.02
"2007-10-01",442.56
"2008-01-01",424.77
"2008-04-01",395.4
"2008-07-01",363.3
"2008-10-01",344.98
"2009-01-01",350.47
"2009-04-01",332.6
"2009-07-01",313.49
"2009-10-01",305.52
"2010-01-01",299.8
"2010-04-01",291.41
"2010-07-01",294.85
"2010-10-01",289.53
"2011-01-01",275.76
"2011-04-01",267.3
"2011-07-01",270.1
"2011-10-01",272.53
"2012-01-01",267.16
"2012-04-01",265.27
"2012-07-01",271.48
"2012-10-01",275.36
"2013-01-01",279.02
"2013-04-01",288.35
"2013-07-01",295.66
"2013-10-01",303.2
"2014-01-01",307.41
"2014-04-01",315.76
"2014-07-01",322.45
"2014-10-01",328.45
"2015-01-01",335.85
"2015-04-01",343.93
"2015-07-01",352.53
"2015-10-01",359.36
"2016-01-01",366.13
"2016-04-01",375.42
"2016-07-01",385.71
"2016-10-01",392.08
"2017-01-01",399.19
"2017-04-01",408.98
"2017-07-01",416.2
"2017-10-01",424.27
"2018-01-01",432.75
"2018-04-01",441.12
"2018-07-01",448.52
"2018-10-01",452
"2019-01-01",458.95
"2019-04-01",464.95
"2019-07-01",472.59
"2019-10-01",478.68
"2020-01-01",485.97
"2020-04-01",492.19
"2020-07-01",500.76
"2020-10-01",514.19
"2021-01-01",530.89
"2021-04-01",565.64
"2021-07-01",607.37
"2021-10-01",641.54
"2022-01-01",677.74
"2022-04-01",732.26
"2022-07-01",760.69
"2022-10-01",756.88
"2023-01-01",760.23
"2023-04-01",775.63
"2023-07-01",792.6
"2023-10-01",791.01
"2024-01-01",801.64
"2024-04-01",808.43
"2024-07-01",813.01
"2024-10-01",821.41
"2025-01-01",812.1
"2025-04-01",817.08
"2025-07-01",815.2
"2025-10-01",822.02
"2026-01-01",827.88
