"date","value"
"2007-01-01",20.21
"2007-02-01",20.21
"2007-03-01",20.17
"2007-04-01",20.05
"2007-05-01",20.35
"2007-06-01",20.54
"2007-07-01",20.82
"2007-08-01",20.81
"2007-09-01",20.94
"2007-10-01",20.64
"2007-11-01",20.74
"2007-12-01",21.45
"2008-01-01",20.64
"2008-02-01",20.72
"2008-03-01",21.53
"2008-04-01",20.94
"2008-05-01",20.99
"2008-06-01",20.84
"2008-07-01",20.75
"2008-08-01",20.94
"2008-09-01",20.94
"2008-10-01",21.07
"2008-11-01",21.27
"2008-12-01",21.42
"2009-01-01",21.52
"2009-02-01",21.68
"2009-03-01",21.6
"2009-04-01",21.37
"2009-05-01",21.6
"2009-06-01",21.38
"2009-07-01",21.64
"2009-08-01",21.8
"2009-09-01",21.62
"2009-10-01",21.66
"2009-11-01",21.8
"2009-12-01",21.65
"2010-01-01",21.39
"2010-02-01",21.56
"2010-03-01",21.48
"2010-04-01",21.5
"2010-05-01",21.28
"2010-06-01",21.2
"2010-07-01",21.31
"2010-08-01",21.27
"2010-09-01",21.51
"2010-10-01",21.68
"2010-11-01",21.55
"2010-12-01",21.59
"2011-01-01",21.66
"2011-02-01",21.62
"2011-03-01",21.43
"2011-04-01",21.46
"2011-05-01",21.5
"2011-06-01",21.36
"2011-07-01",21.34
"2011-08-01",21.26
"2011-09-01",21.46
"2011-10-01",21.59
"2011-11-01",21.42
"2011-12-01",21.41
"2012-01-01",21.67
"2012-02-01",21.46
"2012-03-01",21.4
"2012-04-01",21.81
"2012-05-01",21.44
"2012-06-01",21.55
"2012-07-01",21.57
"2012-08-01",21.41
"2012-09-01",21.79
"2012-10-01",21.77
"2012-11-01",21.65
"2012-12-01",21.93
"2013-01-01",21.89
"2013-02-01",21.81
"2013-03-01",21.75
"2013-04-01",21.92
"2013-05-01",21.89
"2013-06-01",22.06
"2013-07-01",21.93
"2013-08-01",21.85
"2013-09-01",22.11
"2013-10-01",22.01
"2013-11-01",22.01
"2013-12-01",22.21
"2014-01-01",22.14
"2014-02-01",22.18
"2014-03-01",22.09
"2014-04-01",22.26
"2014-05-01",22.12
"2014-06-01",22.22
"2014-07-01",22.22
"2014-08-01",22.27
"2014-09-01",22.22
"2014-10-01",22.17
"2014-11-01",22.28
"2014-12-01",22.13
"2015-01-01",22.32
"2015-02-01",22.53
"2015-03-01",22.45
"2015-04-01",22.42
"2015-05-01",22.51
"2015-06-01",22.41
"2015-07-01",22.55
"2015-08-01",22.8
"2015-09-01",22.8
"2015-10-01",22.81
"2015-11-01",22.98
"2015-12-01",22.88
"2016-01-01",22.73
"2016-02-01",22.88
"2016-03-01",23.12
"2016-04-01",23.06
"2016-05-01",23.33
"2016-06-01",23.23
"2016-07-01",23.11
"2016-08-01",23.36
"2016-09-01",23.48
"2016-10-01",23.93
"2016-11-01",23.69
"2016-12-01",23.74
"2017-01-01",23.9
"2017-02-01",23.84
"2017-03-01",23.78
"2017-04-01",24.12
"2017-05-01",23.93
"2017-06-01",23.67
"2017-07-01",24.05
"2017-08-01",23.96
"2017-09-01",24.8
"2017-10-01",24.11
"2017-11-01",24.06
"2017-12-01",24.29
"2018-01-01",24.38
"2018-02-01",24.42
"2018-03-01",24.4
"2018-04-01",24.79
"2018-05-01",24.8
"2018-06-01",24.72
"2018-07-01",24.87
"2018-08-01",24.72
"2018-09-01",25.2
"2018-10-01",25.11
"2018-11-01",25.01
"2018-12-01",25.32
"2019-01-01",25.42
"2019-02-01",25.48
"2019-03-01",25.37
"2019-04-01",25.53
"2019-05-01",25.45
"2019-06-01",25.58
"2019-07-01",25.57
"2019-08-01",25.81
"2019-09-01",25.96
"2019-10-01",25.77
"2019-11-01",25.83
"2019-12-01",26.12
"2020-01-01",25.99
"2020-02-01",26.39
"2020-03-01",26.24
"2020-04-01",27.07
"2020-05-01",27.27
"2020-06-01",26.84
"2020-07-01",27.05
"2020-08-01",27.61
"2020-09-01",27.21
"2020-10-01",27.21
"2020-11-01",27.3
"2020-12-01",27.06
"2021-01-01",27.31
"2021-02-01",27.34
"2021-03-01",27.26
"2021-04-01",27.57
"2021-05-01",28.14
"2021-06-01",27.76
"2021-07-01",27.98
"2021-08-01",28.54
"2021-09-01",28.7
"2021-10-01",28.91
"2021-11-01",28.7
"2021-12-01",28.79
"2022-01-01",29.03
"2022-02-01",28.92
"2022-03-01",29.04
"2022-04-01",28.94
"2022-05-01",29.19
"2022-06-01",29.14
"2022-07-01",29.42
"2022-08-01",29.7
"2022-09-01",29.8
"2022-10-01",30.07
"2022-11-01",30.47
"2022-12-01",30.24
"2023-01-01",30.15
"2023-02-01",30.51
"2023-03-01",30.9
"2023-04-01",31.14
"2023-05-01",30.75
"2023-06-01",30.79
"2023-07-01",31.4
"2023-08-01",31.48
"2023-09-01",31.71
"2023-10-01",32.11
"2023-11-01",31.78
"2023-12-01",31.92
"2024-01-01",32.08
"2024-02-01",32.16
"2024-03-01",32.07
"2024-04-01",31.95
"2024-05-01",31.94
"2024-06-01",32.08
"2024-07-01",31.66
"2024-08-01",32.33
"2024-09-01",32.96
"2024-10-01",33.49
"2024-11-01",33.11
"2024-12-01",34.1
"2025-01-01",33.72
"2025-02-01",34.34
"2025-03-01",34.32
"2025-04-01",33.75
"2025-05-01",34.07
"2025-06-01",34.33
"2025-07-01",34.16
"2025-08-01",34.54
"2025-09-01",34.81
"2025-10-01",34.87
"2025-11-01",35.45
"2025-12-01",35.09
"2026-01-01",35.54
"2026-02-01",35.89
"2026-03-01",36.08
"2026-04-01",35.73
"2026-05-01",35.79
