"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2000-01-01",207.46,170.97,198.94,177.14,260.83,259.43,261.16,261.47,234.93,200.77,229.9,230.05,212.05,241.47,206.41,187.65,178.49,217.19,160.36,272.54,237.73,401.26,252.74,224.82,180.63,207.64,199.4,198.54,192.28,252.4,278.76,199.19,334.25,233.39,158.97,215.89,144.21,247.69,235.31,276.8,231,196.41,212.9,159.01,236.41,250.56,229.07,269.42,149.02,227.76,151.08
"2000-04-01",209.22,173.02,201.17,178.84,267.85,265.87,268.27,266.07,243.69,204.43,233.67,230.03,211.96,245.6,208.16,190.16,179.97,219.09,160.97,280.1,240.34,414.3,256.3,231.4,181.97,210.19,201.08,201.32,194.71,261.03,285.47,199.83,344.28,236.32,160.44,218.48,145.85,249.31,238.75,285.6,233.87,200.07,214.14,161.66,236.45,253.88,233.8,272.11,150.21,228.97,152.8
"2000-07-01",210.89,174.38,203.84,179.93,276.84,272.79,274.06,271.09,251.35,208.73,237.42,232.96,213.88,249.71,210.97,192.62,182.44,220.97,162.88,286.29,244.74,429.42,260.85,237.18,184.63,213.58,204.01,203.19,196.58,270.76,293.81,201.1,354.3,239.33,162.11,221.17,148.29,251.65,241.31,294.61,236.61,203.48,216.24,164.1,238.91,259.58,237.94,275.79,151.47,232.29,154.32
"2000-10-01",213.59,174.91,206.94,182.29,285.39,278.92,277.78,274.55,255.79,213.09,241.28,238.49,216.04,252.53,212.95,194.1,184.3,223.74,164.27,292.25,248.64,439.83,264.58,241.74,186.04,216.18,206.75,204.74,199.39,278.19,298.25,202.16,359.69,241.91,163.47,224.02,149.29,254.47,244.13,300.1,239.95,203.65,218.18,165.98,242.19,264.16,241.96,279.32,152.52,235.16,157.67
"2001-01-01",219.81,177.66,211.58,186.8,296.43,286.73,284.68,280.45,266.78,219.24,248.08,246.23,221.6,255.84,217.42,198.2,187.9,228.11,168.55,300.53,254.32,451.58,268.74,248.17,190.82,219.84,210.85,207.36,203.87,284.49,305.07,207.06,367.82,247.21,167.48,228.27,152.71,261.34,250.51,306.08,246.15,208.08,223.65,170.7,247.75,268.83,248.06,286.09,157.2,238.7,158.81
"2001-04-01",220.78,181.38,214.82,187.95,305.48,292.53,290.75,285.41,279.04,224.75,251.07,250.04,224.06,260.27,219.18,200.35,190.22,230.16,170.24,306.15,259.29,465.32,272.23,254.84,191.94,223.15,213.39,209.63,206.46,294.22,313.72,208.62,376.03,249.38,168.83,230.62,154.26,263.79,254.49,316.61,248.97,211.11,224.8,172.93,248.2,273.98,253.82,289.97,158.64,241.91,161.77
"2001-07-01",222.33,183.84,217.94,189.91,311.91,297.97,297.93,291.04,290.6,229.89,254.33,254.16,225.32,265.1,220.68,201.68,192.35,232.08,171.84,315.45,266.14,480.85,275.83,262.54,193.86,226.42,215.45,211.43,210.3,304.48,322.76,209.89,386.31,251.4,170.06,232.79,155.82,266.16,257.83,328.77,250.76,212.83,226.2,174.23,248.48,280.55,259.47,292.93,159.29,245.12,164.26
"2001-10-01",224.81,184.38,220.04,191.85,316.29,300.34,303.13,294.95,299.27,235.45,257.62,258.09,227.99,267.56,222.71,204.19,194.03,233.9,173.45,320.32,270.46,490.65,278.1,266.05,195.47,228.66,216.91,213.16,212.95,309.96,329.18,211.39,393.12,253.68,171.54,234.7,157.58,268.45,261.15,335.72,253.75,213.89,228.89,176.18,250.98,284.02,263.07,294.87,160.92,246.93,166.2
"2002-01-01",225.23,187.26,223.03,192.51,324.73,303.85,309.53,300.09,308.91,240.12,259.79,262.06,228.46,272.17,224.33,205.98,196.59,235.76,174.39,327.46,277.18,504.9,281.53,271.6,196.09,232.36,221.66,214.79,216.05,318.44,338.69,212.55,402.72,255.22,173.36,236.67,158.42,271.82,265.15,348.59,255.17,216.86,229.87,176.69,250.56,289.86,268.21,298.49,161.85,251,169.45
"2002-04-01",226.31,192.41,226.01,193.35,335.75,307.19,318.42,307.81,319.98,247.46,261.79,267.85,229.45,277.02,225.02,206.99,198.5,237.36,175.79,337.53,286.29,523.49,284.65,278.87,195.48,235.41,223.64,216.2,219.55,329.64,351.33,215.51,415.43,256.35,175.03,238.3,160,273.8,269.84,365.82,256.65,219.76,230.35,178.19,250.09,296.62,275.74,302.08,163.73,254.47,171.82
