"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2000-01-01",60570,90360,68020,50780,80050,82480,85780,86110,70480,66440,71640,88130,64310,78760,69870,70090,70200,62010,52520,63720,93240,79940,77820,92760,58640,77110,56040,71380,78240,87070,86180,60000,69660,65510,61550,73460,55450,72660,72110,72150,64240,62370,58300,66010,81300,67700,80640,72710,50290,77090,67760
"2001-01-01",58790,95920,71410,55750,79030,82600,89200,82940,68840,60900,71190,79320,63940,77200,67520,68520,69250,64270,55720,61220,89510,87370,75320,88090,50430,69120,53720,72920,75920,85830,86570,55390,70420,63810,59850,69870,59540,69010,72730,76450,63100,66330,59830,68320,79160,68210,84010,71050,49620,75820,66410
"2002-01-01",62100,87160,65620,53490,78340,79760,88170,82000,64520,62800,70910,78120,62290,70540,67790,67790,70390,60710,56160,60860,93160,82340,70540,90210,51000,70650,57530,70680,74250,91360,90120,58560,69310,60310,59780,70490,60210,69040,70190,70050,62450,62550,61160,66310,79040,71010,81970,74620,48490,75810,65670
"2003-01-01",60270,83860,66600,51770,79760,80790,88920,79300,72870,63050,68660,83860,68550,73050,68640,66950,71560,59760,54210,60040,84630,82440,72840,85460,52950,70800,55180,71140,73100,89900,90670,56790,69220,60310,65380,70410,58080,67360,69460,72330,62250,63940,60710,63530,79720,69990,88630,76860,53000,74850,68850
"2004-01-01",57810,86900,69200,55210,77690,80310,86960,75830,68580,63980,64680,88770,70010,72720,66810,68480,64810,56200,57500,65230,90120,82100,66690,88550,54850,66500,53590,69110,74500,89670,87240,62440,70470,63510,61900,67950,62520,64700,69610,75650,61070,64880,60090,65340,80290,74700,80710,78790,52670,72180,71650
"2005-01-01",56980,85730,69400,56230,79380,77380,87180,78590,69010,65940,70440,91400,67760,74240,65090,71320,64460,56290,57110,67370,92820,85920,70450,83160,50430,65930,57230,73510,73950,87410,97200,59740,72360,64510,64720,67800,57740,67730,71020,75900,61710,66190,60440,63540,84080,77770,79630,77680,55900,68490,68590
"2006-01-01",56570,84100,69550,55240,82460,83020,93020,78160,72260,68080,73550,90140,68890,72550,67680,71740,67900,58860,54390,68030,94900,82470,72510,83790,51770,66450,61270,71760,77930,92370,101400,59670,71880,59320,61180,68420,57890,70190,72260,80100,59050,67710,60660,64550,81430,77480,85140,81570,57270,77050,70120
"2007-01-01",61350,91550,68620,59290,81000,88860,93220,79340,73800,66550,70690,93050,71480,76310,68970,71080,70480,57340,60040,69610,95380,84970,71750,84380,54180,66860,63450,71470,78560,98210,87940,64460,71130,63240,68600,71360,62810,73010,70400,78790,64260,67460,59870,66930,77800,68870,85980,84410,61170,74520,70840
"2008-01-01",62350,89710,65770,55500,79930,85440,90680,71080,77930,62890,64810,86250,66480,74660,65220,70300,67120,57690,55460,66210,89320,84560,69800,77000,51090,64540,60140,71120,76750,92770,91550,59020,70740,60180,69580,65800,64640,72520,72060,74640,59100,72340,55660,65180,87670,71090,86900,79390,53260,71780,74770
"2009-01-01",56280,86710,64380,51430,79010,78730,91280,73350,74800,64230,61000,78330,65840,74420,62360,71390,62940,60050,63950,66860,90350,83570,64740,78950,49380,68650,56920,69810,72400,90270,91180,61290,70680,58990,70480,64580,64580,69110,67810,72680,57850,64500,57030,66830,82330,73640,85160,85010,56990,72120,73860
