"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2006-01-01",78513,106956,91266,71645,111213,100660,119130,98645,119155,87996,91103,112735,78046,99770,83004,80782,85188,77072,80285,80411,118851,113933,89617,97929,71727,81771,75084,83247,94525,104146,123260,80526,102997,82457,76428,84821,75665,86482,89476,97205,79810,77536,78686,90493,90458,87069,108765,98373,70058,86718,86266
"2007-01-01",81788,114432,94618,75496,117783,103726,124675,104520,127721,92249,95286,114974,84333,102846,86382,85147,90316,80263,85218,84297,126682,119815,92042,101563,75156,85505,80264,86014,100705,111959,128772,83001,108976,86786,81433,88359,81267,90698,93095,104432,84654,78757,81617,95922,96881,91840,114516,103389,73643,90873,95644
"2008-01-01",85771,118363,97345,77353,121045,108902,130767,106746,133047,93045,98747,120470,84110,107502,89360,88344,93396,82097,89302,86489,129691,125023,93136,104178,77964,89096,83007,89496,101409,115913,133953,87299,113557,90007,87201,90755,83541,94579,97549,106206,86854,82201,84994,99949,101096,93289,119867,106785,74872,93949,98778
"2009-01-01",82304,117532,94117,74958,117843,105512,129340,107031,135925,88335,94323,115157,82232,104593,85623,88878,90654,80291,88195,84704,130768,124552,88893,101155,75668,87118,80291,87109,98816,110464,131541,86190,113133,87251,89677,87841,82223,91870,95635,105131,84677,81704,81706,97646,98546,94660,117664,106114,74836,91571,95546
"2010-01-01",83484,121340,91770,77050,116181,105569,126934,106393,137075,88113,92756,117557,81024,104028,85630,88461,91538,80961,88352,86755,131581,122976,88213,102401,76445,87017,83139,89841,95831,112590,132559,86228,112392,85303,89853,87701,81848,90491,96292,102569,83009,85939,82218,97810,97863,92083,120885,104103,76261,91198,98503
"2011-01-01",85153,118639,92710,79072,118790,108876,131715,109958,140432,89686,93667,115923,82728,105798,88015,91236,93850,82935,89740,89142,134148,127190,91381,105664,76773,88977,83246,93813,94497,115785,134543,88128,114422,89167,96577,90129,85480,90789,98431,107076,85360,88759,84674,100886,99250,97198,123195,108005,80147,93254,101081
"2012-01-01",86395,124838,95149,80402,120760,110590,132529,109150,149903,91192,96280,119945,84143,108408,90117,94220,96316,85232,91414,89261,136531,130982,92486,108885,77027,89400,87274,94973,94093,117204,137694,90349,117271,89874,101939,91975,87133,95619,100583,110059,86819,90160,85694,102455,102023,98687,124582,110556,80576,95583,101552
"2013-01-01",88467,131426,96632,81389,124024,114177,136182,112575,150781,92832,97633,126514,86249,111706,91299,97501,98844,87332,94852,90584,139367,133816,95406,112171,78956,91638,90539,97486,98080,118363,140862,90592,121029,91701,104967,95504,89927,98031,103512,111785,89038,90251,88850,106358,106202,100476,126890,114022,82623,97371,105187
"2014-01-01",89389,130064,99608,83613,128834,118648,141456,115348,157128,96104,100116,126143,91062,114379,93173,100240,100940,88375,96737,95930,141919,139719,98086,116972,82246,94306,91086,100208,96970,124718,144892,92354,122493,93418,111294,97460,92916,100396,105618,113211,90641,94663,90216,109301,107722,101150,129969,117507,81963,100224,106325
"2015-01-01",92122,132844,101285,85123,133227,122335,143225,114774,164915,98913,103638,133197,93109,119095,96606,100591,104259,90989,98418,97143,146186,142065,100856,119079,83789,98699,94309,104834,100779,129523,147300,94020,127059,97313,116620,100760,94833,105773,109054,115841,92500,96886,94193,112387,112351,106333,131763,123017,84933,102392,111584
"2016-01-01",95265,137059,105841,89810,140784,125901,146556,116597,170657,101629,107114,140573,98147,121565,100125,105124,105479,94787,97909,102053,150178,149866,104732,123674,87858,101019,97798,107587,104701,131217,154189,95222,132453,100454,111574,102653,97208,111678,112653,118799,98345,99533,96523,115799,118188,109831,136562,128652,89264,106363,110526
"2017-01-01",99062,135304,110272,91821,147523,131864,150150,124125,180061,105800,112349,144399,99663,126119,103543,108142,108201,98544,100397,105177,154389,156270,107864,128211,89795,104248,102619,109936,110027,139385,160114,97488,137968,105929,115992,105856,98549,115121,116684,125235,100911,105125,101145,119599,120976,109605,142134,134998,89358,110328,110619
"2018-01-01",101051,138860,115276,95453,154402,138050,155975,121908,189135,111268,117795,149347,103736,130780,105178,110323,111928,101038,103709,108613,160049,161154,111460,132288,91115,106984,102785,111601,113505,141322,164995,98221,143378,108774,119087,110202,101847,122230,119992,126770,103052,102167,103960,122832,126089,114731,146197,142474,91723,112356,115330
"2019-01-01",106225,144736,120982,98014,162657,147217,161063,134594,202353,117017,122832,153431,111822,137248,110606,113238,117303,103349,107505,111898,164179,171613,115802,138273,94744,111802,108877,117570,119790,145865,171760,105652,151926,113302,121975,113789,107252,129218,124987,133423,112365,111512,109765,128878,132560,120270,153003,151396,97399,117929,120196
"2021-01-01",111735,149630,132268,104903,173547,158649,168759,141655,209929,125042,132733,162417,122729,143240,118335,122401,124068,110823,112013,124295,174375,183246,124157,147668,101852,120777,123081,126865,129591,159366,181484,114931,156816,124593,126235,121711,110888,137903,136011,144220,117546,118175,117909,135258,144937,134294,162700,166010,104899,126255,121506
"2022-01-01",121159,160217,142367,110155,188163,171924,179490,150664,219341,137360,143339,176588,130994,152522,126326,131282,132605,118984,117602,132871,186877,193797,132267,155947,107274,126024,125965,133916,137269,175445,193832,121370,169373,133873,136498,129943,119165,146807,144156,157159,126341,128619,127921,146822,160139,145261,174384,178856,109340,133747,130091
"2023-01-01",123395,166034,150019,116085,194477,178394,185072,155421,237280,144290,148068,183132,139748,158265,132018,134085,134863,121641,122581,136483,192595,204728,135855,160398,111926,132469,132885,139738,145825,178673,202071,125783,175120,140304,143107,134463,121993,154420,146763,163680,131886,132593,133687,151411,165245,151571,179813,184724,112522,139442,132246
"2024-01-01",132641,173347,156723,123186,203870,187914,195798,162553,238418,152815,156990,191329,144630,166524,137197,138132,145444,128753,129469,149013,203754,211835,141650,166625,120032,139067,142504,144136,154972,185431,207697,135881,183128,147599,144640,141437,128877,161201,154496,169468,142452,140442,140387,160370,172511,154530,186315,195549,120082,143991,144915
