"date","value"
"2000-01-01",215.89
"2000-04-01",218.48
"2000-07-01",221.17
"2000-10-01",224.02
"2001-01-01",228.27
"2001-04-01",230.62
"2001-07-01",232.79
"2001-10-01",234.7
"2002-01-01",236.67
"2002-04-01",238.3
"2002-07-01",240.67
"2002-10-01",242.21
"2003-01-01",243.99
"2003-04-01",245.73
"2003-07-01",247.74
"2003-10-01",251.14
"2004-01-01",252.67
"2004-04-01",254.17
"2004-07-01",257.1
"2004-10-01",259.76
"2005-01-01",262.13
"2005-04-01",264.16
"2005-07-01",266.68
"2005-10-01",266.99
"2006-01-01",266.97
"2006-04-01",265.86
"2006-07-01",265.26
"2006-10-01",266.34
"2007-01-01",266.36
"2007-04-01",264.78
"2007-07-01",261.85
"2007-10-01",261.71
"2008-01-01",262.91
"2008-04-01",258.88
"2008-07-01",252.45
"2008-10-01",252.96
"2009-01-01",257.6
"2009-04-01",251.78
"2009-07-01",246.75
"2009-10-01",246.32
"2010-01-01",243.58
"2010-04-01",241.72
"2010-07-01",244.97
"2010-10-01",243.95
"2011-01-01",236.44
"2011-04-01",232.9
"2011-07-01",235.79
"2011-10-01",236.49
"2012-01-01",233.65
"2012-04-01",232.45
"2012-07-01",234.69
"2012-10-01",234.16
"2013-01-01",233.09
"2013-04-01",233.74
"2013-07-01",234.8
"2013-10-01",234.53
"2014-01-01",234.83
"2014-04-01",239.97
"2014-07-01",242.71
"2014-10-01",243.69
"2015-01-01",245.07
"2015-04-01",249
"2015-07-01",251.62
"2015-10-01",252.28
"2016-01-01",253.31
"2016-04-01",257.79
"2016-07-01",262.97
"2016-10-01",262.65
"2017-01-01",263.7
"2017-04-01",271.25
"2017-07-01",274.74
"2017-10-01",275.57
"2018-01-01",279.34
"2018-04-01",285.14
"2018-07-01",289.49
"2018-10-01",290.02
"2019-01-01",293.34
"2019-04-01",299.64
"2019-07-01",304.11
"2019-10-01",306.92
"2020-01-01",311.29
"2020-04-01",314.43
"2020-07-01",321.83
"2020-10-01",329.44
"2021-01-01",335.66
"2021-04-01",352.67
"2021-07-01",370.59
"2021-10-01",379.16
"2022-01-01",390.73
"2022-04-01",415.82
"2022-07-01",421.6
"2022-10-01",416.67
"2023-01-01",423.02
"2023-04-01",442.04
"2023-07-01",449.7
"2023-10-01",451.46
"2024-01-01",456.94
"2024-04-01",475.17
"2024-07-01",480.35
"2024-10-01",484.2
"2025-01-01",490.27
"2025-04-01",501.41
"2025-07-01",505.91
"2025-10-01",508.83
"2026-01-01",513.93
