"date","value"
"2007-01-01",20.08
"2007-02-01",20.51
"2007-03-01",20.24
"2007-04-01",20.39
"2007-05-01",19.96
"2007-06-01",19.99
"2007-07-01",20.06
"2007-08-01",20.07
"2007-09-01",20.3
"2007-10-01",20.29
"2007-11-01",20.35
"2007-12-01",20.39
"2008-01-01",19.95
"2008-02-01",20.03
"2008-03-01",20.2
"2008-04-01",20.08
"2008-05-01",19.83
"2008-06-01",19.96
"2008-07-01",19.95
"2008-08-01",20.02
"2008-09-01",20.31
"2008-10-01",20.22
"2008-11-01",20.31
"2008-12-01",20.52
"2009-01-01",20.02
"2009-02-01",20.01
"2009-03-01",19.95
"2009-04-01",19.98
"2009-05-01",19.86
"2009-06-01",19.76
"2009-07-01",19.73
"2009-08-01",19.74
"2009-09-01",19.95
"2009-10-01",20.03
"2009-11-01",20.11
"2009-12-01",20.24
"2010-01-01",20.11
"2010-02-01",20.17
"2010-03-01",20.06
"2010-04-01",20.19
"2010-05-01",20.14
"2010-06-01",20.01
"2010-07-01",20.11
"2010-08-01",20.2
"2010-09-01",20.25
"2010-10-01",20.31
"2010-11-01",20.39
"2010-12-01",20.62
"2011-01-01",20.85
"2011-02-01",20.94
"2011-03-01",20.83
"2011-04-01",20.85
"2011-05-01",21.03
"2011-06-01",20.77
"2011-07-01",20.93
"2011-08-01",21.11
"2011-09-01",21.3
"2011-10-01",21.43
"2011-11-01",21.38
"2011-12-01",21.4
"2012-01-01",21.97
"2012-02-01",21.83
"2012-03-01",21.86
"2012-04-01",22.11
"2012-05-01",21.81
"2012-06-01",21.69
"2012-07-01",21.87
"2012-08-01",21.82
"2012-09-01",22.32
"2012-10-01",22.11
"2012-11-01",22.24
"2012-12-01",22.46
"2013-01-01",22.37
"2013-02-01",22.32
"2013-03-01",22.15
"2013-04-01",22.16
"2013-05-01",21.97
"2013-06-01",22.12
"2013-07-01",22.05
"2013-08-01",22.04
"2013-09-01",22.38
"2013-10-01",22.2
"2013-11-01",22.29
"2013-12-01",22.4
"2014-01-01",22.37
"2014-02-01",22.5
"2014-03-01",22.42
"2014-04-01",22.32
"2014-05-01",21.95
"2014-06-01",22.11
"2014-07-01",22.05
"2014-08-01",22.14
"2014-09-01",22.37
"2014-10-01",22.29
"2014-11-01",22.53
"2014-12-01",22.44
"2015-01-01",22.65
"2015-02-01",22.76
"2015-03-01",22.78
"2015-04-01",22.68
"2015-05-01",22.58
"2015-06-01",22.44
"2015-07-01",22.57
"2015-08-01",22.84
"2015-09-01",22.93
"2015-10-01",22.79
"2015-11-01",23
"2015-12-01",22.95
"2016-01-01",23.14
"2016-02-01",23.12
"2016-03-01",23.1
"2016-04-01",23.4
"2016-05-01",23.38
"2016-06-01",23.1
"2016-07-01",23.29
"2016-08-01",23.23
"2016-09-01",23.56
"2016-10-01",23.87
"2016-11-01",23.74
"2016-12-01",23.92
"2017-01-01",24.13
"2017-02-01",23.92
"2017-03-01",23.94
"2017-04-01",24.04
"2017-05-01",23.82
"2017-06-01",23.77
"2017-07-01",24.11
"2017-08-01",23.88
"2017-09-01",24.11
"2017-10-01",24.22
"2017-11-01",24.14
"2017-12-01",24.3
"2018-01-01",24.64
"2018-02-01",24.53
"2018-03-01",24.55
"2018-04-01",24.74
"2018-05-01",24.43
"2018-06-01",24.35
"2018-07-01",24.78
"2018-08-01",24.75
"2018-09-01",25.23
"2018-10-01",25.14
"2018-11-01",25.09
"2018-12-01",25.44
"2019-01-01",25.43
"2019-02-01",25.33
"2019-03-01",25.3
"2019-04-01",25.31
"2019-05-01",25.14
"2019-06-01",25.07
"2019-07-01",25.24
"2019-08-01",25.23
"2019-09-01",25.57
"2019-10-01",25.3
"2019-11-01",25.37
"2019-12-01",25.64
"2020-01-01",25.69
"2020-02-01",25.71
"2020-03-01",25.62
"2020-04-01",26.31
"2020-05-01",25.83
"2020-06-01",25.58
"2020-07-01",25.84
"2020-08-01",26.15
"2020-09-01",26.25
"2020-10-01",26.33
"2020-11-01",26.69
"2020-12-01",26.65
"2021-01-01",26.78
"2021-02-01",26.92
"2021-03-01",26.75
"2021-04-01",27.11
"2021-05-01",27.48
"2021-06-01",27.25
"2021-07-01",27.57
"2021-08-01",27.7
"2021-09-01",27.68
"2021-10-01",27.9
"2021-11-01",28.02
"2021-12-01",28.36
"2022-01-01",28.96
"2022-02-01",29.01
"2022-03-01",28.52
"2022-04-01",28.85
"2022-05-01",28.92
"2022-06-01",28.88
"2022-07-01",28.97
"2022-08-01",29.13
"2022-09-01",29.68
"2022-10-01",30.11
"2022-11-01",29.86
"2022-12-01",30.21
"2023-01-01",30.9
"2023-02-01",30.57
"2023-03-01",30.4
"2023-04-01",30.96
"2023-05-01",30.42
"2023-06-01",30.24
"2023-07-01",30.85
"2023-08-01",30.6
"2023-09-01",31.04
"2023-10-01",31.18
"2023-11-01",31.02
"2023-12-01",31.26
"2024-01-01",31.36
"2024-02-01",31.24
"2024-03-01",31.56
"2024-04-01",31.76
"2024-05-01",31.59
"2024-06-01",31.6
"2024-07-01",31.66
"2024-08-01",31.91
"2024-09-01",32.42
"2024-10-01",32.36
"2024-11-01",32.67
"2024-12-01",32.91
"2025-01-01",33.01
"2025-02-01",33.16
"2025-03-01",33.21
"2025-04-01",33.25
"2025-05-01",32.96
"2025-06-01",33.07
"2025-07-01",33.12
"2025-08-01",33.01
"2025-09-01",33.05
"2025-10-01",33.11
"2025-11-01",33.43
"2025-12-01",33.33
"2026-01-01",33.71
"2026-02-01",33.68
"2026-03-01",33.81
"2026-04-01",33.84
"2026-05-01",33.88
