"date","value"
"2000-01-01",235.31
"2000-04-01",238.75
"2000-07-01",241.31
"2000-10-01",244.13
"2001-01-01",250.51
"2001-04-01",254.49
"2001-07-01",257.83
"2001-10-01",261.15
"2002-01-01",265.15
"2002-04-01",269.84
"2002-07-01",275.35
"2002-10-01",280.11
"2003-01-01",283.3
"2003-04-01",286.97
"2003-07-01",292.98
"2003-10-01",301.5
"2004-01-01",306.86
"2004-04-01",314.87
"2004-07-01",327.91
"2004-10-01",335.17
"2005-01-01",342.14
"2005-04-01",353.85
"2005-07-01",365.48
"2005-10-01",373.1
"2006-01-01",379.76
"2006-04-01",383.95
"2006-07-01",388.23
"2006-10-01",392.92
"2007-01-01",396.31
"2007-04-01",397.96
"2007-07-01",396.13
"2007-10-01",397.82
"2008-01-01",400.72
"2008-04-01",395.72
"2008-07-01",388.9
"2008-10-01",388.37
"2009-01-01",392.29
"2009-04-01",386.5
"2009-07-01",379.29
"2009-10-01",377.9
"2010-01-01",375.43
"2010-04-01",373.5
"2010-07-01",377.92
"2010-10-01",376.98
"2011-01-01",371.13
"2011-04-01",365.96
"2011-07-01",366.52
"2011-10-01",367.91
"2012-01-01",364.88
"2012-04-01",363.14
"2012-07-01",365.11
"2012-10-01",366.12
"2013-01-01",366.38
"2013-04-01",367.5
"2013-07-01",368.98
"2013-10-01",368.17
"2014-01-01",368.11
"2014-04-01",372.77
"2014-07-01",375.43
"2014-10-01",376.16
"2015-01-01",380.19
"2015-04-01",382.68
"2015-07-01",384.46
"2015-10-01",384.83
"2016-01-01",386.54
"2016-04-01",392.36
"2016-07-01",396.68
"2016-10-01",397.6
"2017-01-01",398.37
"2017-04-01",405.62
"2017-07-01",410.47
"2017-10-01",411.64
"2018-01-01",416.19
"2018-04-01",421.83
"2018-07-01",426.1
"2018-10-01",425.91
"2019-01-01",430.82
"2019-04-01",439.07
"2019-07-01",444.86
"2019-10-01",447.77
"2020-01-01",453.62
"2020-04-01",457.74
"2020-07-01",467.23
"2020-10-01",475.36
"2021-01-01",486.91
"2021-04-01",508.54
"2021-07-01",532.91
"2021-10-01",544.32
"2022-01-01",559.38
"2022-04-01",588.09
"2022-07-01",597.73
"2022-10-01",596.47
"2023-01-01",603.07
"2023-04-01",621.21
"2023-07-01",633.4
"2023-10-01",634.82
"2024-01-01",644.22
"2024-04-01",664.6
"2024-07-01",672.7
"2024-10-01",675.31
"2025-01-01",686.25
"2025-04-01",701.89
"2025-07-01",708.82
"2025-10-01",712.94
"2026-01-01",722.56
