"date","value"
"2007-01-01",20.15
"2007-02-01",20.13
"2007-03-01",20.02
"2007-04-01",20.11
"2007-05-01",19.95
"2007-06-01",19.93
"2007-07-01",19.98
"2007-08-01",20
"2007-09-01",20.15
"2007-10-01",20.12
"2007-11-01",20.15
"2007-12-01",20.29
"2008-01-01",20.31
"2008-02-01",20.35
"2008-03-01",20.38
"2008-04-01",20.38
"2008-05-01",20.33
"2008-06-01",20.36
"2008-07-01",20.4
"2008-08-01",20.4
"2008-09-01",20.52
"2008-10-01",20.56
"2008-11-01",20.69
"2008-12-01",20.59
"2009-01-01",20.66
"2009-02-01",20.66
"2009-03-01",20.71
"2009-04-01",20.69
"2009-05-01",20.65
"2009-06-01",20.63
"2009-07-01",20.65
"2009-08-01",20.77
"2009-09-01",20.83
"2009-10-01",20.89
"2009-11-01",20.96
"2009-12-01",20.97
"2010-01-01",21.08
"2010-02-01",21.16
"2010-03-01",21.13
"2010-04-01",21.16
"2010-05-01",21.16
"2010-06-01",21.09
"2010-07-01",21.15
"2010-08-01",21.22
"2010-09-01",21.26
"2010-10-01",21.36
"2010-11-01",21.38
"2010-12-01",21.45
"2011-01-01",21.62
"2011-02-01",21.62
"2011-03-01",21.71
"2011-04-01",21.78
"2011-05-01",21.82
"2011-06-01",21.65
"2011-07-01",21.8
"2011-08-01",21.8
"2011-09-01",21.97
"2011-10-01",22.1
"2011-11-01",22.14
"2011-12-01",22.29
"2012-01-01",22.44
"2012-02-01",22.38
"2012-03-01",22.41
"2012-04-01",22.58
"2012-05-01",22.41
"2012-06-01",22.43
"2012-07-01",22.62
"2012-08-01",22.44
"2012-09-01",22.93
"2012-10-01",22.85
"2012-11-01",22.89
"2012-12-01",23.15
"2013-01-01",23.12
"2013-02-01",23.19
"2013-03-01",23.2
"2013-04-01",23.25
"2013-05-01",23.16
"2013-06-01",23.22
"2013-07-01",23.13
"2013-08-01",23.16
"2013-09-01",23.44
"2013-10-01",23.37
"2013-11-01",23.46
"2013-12-01",23.74
"2014-01-01",23.8
"2014-02-01",24.11
"2014-03-01",23.88
"2014-04-01",23.76
"2014-05-01",23.58
"2014-06-01",23.73
"2014-07-01",23.56
"2014-08-01",23.56
"2014-09-01",23.68
"2014-10-01",23.59
"2014-11-01",23.81
"2014-12-01",23.76
"2015-01-01",23.95
"2015-02-01",24.1
"2015-03-01",24.23
"2015-04-01",24.11
"2015-05-01",24.05
"2015-06-01",24.08
"2015-07-01",24.13
"2015-08-01",24.27
"2015-09-01",24.37
"2015-10-01",24.35
"2015-11-01",24.59
"2015-12-01",24.42
"2016-01-01",24.69
"2016-02-01",24.59
"2016-03-01",24.49
"2016-04-01",24.52
"2016-05-01",24.51
"2016-06-01",24.42
"2016-07-01",24.62
"2016-08-01",24.55
"2016-09-01",24.79
"2016-10-01",25.04
"2016-11-01",24.95
"2016-12-01",25.03
"2017-01-01",25.2
"2017-02-01",25.04
"2017-03-01",25.08
"2017-04-01",25.21
"2017-05-01",24.87
"2017-06-01",24.86
"2017-07-01",24.98
"2017-08-01",24.9
"2017-09-01",25.16
"2017-10-01",25.36
"2017-11-01",25.15
"2017-12-01",25.45
"2018-01-01",25.57
"2018-02-01",25.54
"2018-03-01",25.53
"2018-04-01",25.71
"2018-05-01",25.58
"2018-06-01",25.53
"2018-07-01",25.72
"2018-08-01",25.49
"2018-09-01",25.97
"2018-10-01",25.89
"2018-11-01",26.06
"2018-12-01",26.4
"2019-01-01",26.33
"2019-02-01",26.17
"2019-03-01",25.95
"2019-04-01",26
"2019-05-01",25.93
"2019-06-01",25.94
"2019-07-01",25.97
"2019-08-01",25.96
"2019-09-01",26.35
"2019-10-01",26.25
"2019-11-01",26.38
"2019-12-01",26.74
"2020-01-01",26.76
"2020-02-01",26.98
"2020-03-01",26.88
"2020-04-01",28.04
"2020-05-01",27.66
"2020-06-01",27.23
"2020-07-01",27.1
"2020-08-01",27.37
"2020-09-01",27.23
"2020-10-01",27.2
"2020-11-01",27.56
"2020-12-01",27.95
"2021-01-01",27.89
"2021-02-01",28.03
"2021-03-01",27.86
"2021-04-01",28.18
"2021-05-01",28.35
"2021-06-01",28.14
"2021-07-01",28.21
"2021-08-01",28.52
"2021-09-01",28.62
"2021-10-01",28.85
"2021-11-01",28.79
"2021-12-01",29.3
"2022-01-01",29.8
"2022-02-01",29.13
"2022-03-01",29.32
"2022-04-01",29.41
"2022-05-01",29.75
"2022-06-01",29.49
"2022-07-01",29.87
"2022-08-01",30
"2022-09-01",30.2
"2022-10-01",30.41
"2022-11-01",30.51
"2022-12-01",30.7
"2023-01-01",30.89
"2023-02-01",30.75
"2023-03-01",30.69
"2023-04-01",30.94
"2023-05-01",30.71
"2023-06-01",30.72
"2023-07-01",30.96
"2023-08-01",30.69
"2023-09-01",31.03
"2023-10-01",31.16
"2023-11-01",31.03
"2023-12-01",31.36
"2024-01-01",31.6
"2024-02-01",31.46
"2024-03-01",31.41
"2024-04-01",31.64
"2024-05-01",31.62
"2024-06-01",31.73
"2024-07-01",31.66
"2024-08-01",31.82
"2024-09-01",32.11
"2024-10-01",32.02
"2024-11-01",32.11
"2024-12-01",32.29
"2025-01-01",32.44
"2025-02-01",32.54
"2025-03-01",32.59
"2025-04-01",32.59
"2025-05-01",32.51
"2025-06-01",32.52
"2025-07-01",32.54
"2025-08-01",32.57
"2025-09-01",32.85
"2025-10-01",32.99
"2025-11-01",33.26
"2025-12-01",33.26
"2026-01-01",33.37
"2026-02-01",33.56
"2026-03-01",33.56
"2026-04-01",33.5
"2026-05-01",33.57
