"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2015-01-01",845,1244,901,823,1713,1215,1303,1081,1927,1205,974,1976,856,1373,795,841,864,833,1054,1300,1380,1770,849,1131,836,839,813,868,981,1140,1540,841,2147,953,NA,808,874,1056,1080,1076,955,NA,983,1097,969,NA,1360,1236,986,998,934
"2015-02-01",836,1246,910,828,1723,1229,1304,1085,1938,1211,977,1988,881,1390,803,841,867,840,1056,1302,1381,1711,855,1135,839,842,827,871,987,1147,1546,838,2151,955,NA,812,874,1064,1082,1077,958,NA,986,1100,970,NA,1364,1243,1002,992,932
"2015-03-01",849,1250,914,834,1736,1234,1302,1097,1942,1217,979,2003,861,1379,805,840,870,846,1053,1291,1382,1719,858,1138,838,844,837,876,991,1159,1554,841,2165,959,NA,817,877,1075,1085,1086,961,NA,991,1104,981,NA,1366,1252,1003,999,932
"2015-04-01",839,1246,920,813,1748,1228,1305,1105,1960,1223,985,2005,862,1384,806,840,874,849,1062,1305,1385,1726,861,1141,838,846,845,874,994,1164,1557,843,2175,965,NA,821,879,1083,1088,1091,960,NA,993,1108,983,NA,1366,1256,1000,1003,936
"2015-05-01",842,1246,921,814,1757,1230,1305,1105,1968,1228,988,2013,868,1388,808,845,876,846,1060,1303,1386,1732,863,1147,835,847,848,875,998,1173,1559,847,2178,969,NA,822,881,1092,1096,1099,965,NA,995,1111,986,NA,1366,1259,995,1009,944
"2015-06-01",847,1244,926,817,1766,1239,1302,1099,1971,1234,994,2011,869,1392,808,849,876,846,1065,1328,1389,1738,870,1150,835,848,843,875,1001,1166,1558,847,2183,971,NA,823,881,1098,1092,1101,968,NA,998,1110,986,NA,1367,1265,992,1011,942
"2015-07-01",857,1245,928,817,1777,1245,1308,1094,1968,1240,998,2020,874,1395,807,851,877,846,1067,1333,1391,1743,874,1155,836,851,842,881,1006,1170,1563,848,2192,974,NA,825,884,1109,1095,1097,973,NA,1003,1114,990,NA,1369,1275,995,1012,950
"2015-08-01",860,1240,932,818,1789,1254,1315,1098,1960,1245,1001,2024,876,1398,811,850,879,848,1071,1350,1393,1750,877,1157,843,853,843,884,1009,1176,1565,849,2202,977,NA,829,888,1119,1098,1097,976,NA,1005,1118,991,NA,1371,1284,1000,1015,948
"2015-09-01",856,1238,936,821,1797,1259,1320,1099,1970,1251,1006,2030,882,1402,814,850,881,849,1073,1345,1396,1759,880,1161,842,855,848,885,1015,1179,1573,851,2211,981,NA,833,889,1132,1101,1106,979,NA,1008,1122,996,NA,1374,1293,1002,1019,951
"2015-10-01",866,1237,941,823,1808,1269,1322,1102,1979,1257,1010,2035,885,1406,816,850,883,850,1072,1355,1400,1770,882,1148,848,857,856,882,1020,1181,1580,855,2219,985,NA,837,888,1141,1095,1122,982,NA,1013,1125,1003,NA,1378,1303,1003,1024,946
"2015-11-01",868,1241,946,828,1819,1273,1326,1105,1985,1264,1014,2046,889,1410,819,879,885,856,1073,1361,1405,1778,887,1155,841,860,857,886,1026,1192,1582,856,2225,990,NA,838,890,1148,1096,1131,987,NA,1018,1129,1013,NA,1378,1306,1006,1020,953
"2015-12-01",870,1248,951,829,1829,1280,1328,1116,1989,1269,1018,2055,895,1415,822,878,889,860,1069,1362,1407,1783,889,1158,850,862,858,892,1030,1205,1584,860,2232,986,NA,840,892,1155,1098,1136,982,NA,1022,1132,1021,NA,1380,1308,1005,1015,1002
"2016-01-01",872,1247,956,832,1839,1286,1334,1119,1997,1273,1023,2056,901,1411,823,881,893,864,1077,1366,1413,1784,894,1161,850,865,853,889,1033,1214,1588,860,2210,990,NA,843,894,1161,1099,1139,985,830,1027,1135,1025,NA,1380,1307,1007,1014,1005
"2016-02-01",865,1249,957,832,1847,1290,1335,1120,2009,1277,1028,2054,909,1414,824,879,895,876,1078,1372,1409,1791,889,1161,859,866,856,890,1035,1217,1594,887,2214,992,NA,843,894,1170,1102,1146,987,838,1030,1137,1026,NA,1380,1320,1005,1022,1005
"2016-03-01",875,1241,959,838,1853,1296,1336,1118,2008,1280,1032,2048,912,1416,825,881,894,879,1085,1405,1410,1793,896,1163,858,867,858,891,1037,1215,1596,887,2214,994,NA,846,892,1175,1103,1144,991,834,1033,1138,1028,NA,1381,1324,1000,1024,1012
"2016-04-01",867,1242,961,844,1859,1296,1336,1117,2008,1281,1035,2051,917,1404,827,882,893,885,1066,1422,1410,1799,898,1170,859,869,857,892,1042,1214,1601,885,2217,996,NA,846,892,1177,1107,1145,994,836,1034,1140,1031,NA,1383,1332,1002,1024,1009
"2016-05-01",884,1235,967,850,1864,1303,1340,1117,2005,1284,1031,2051,919,1394,829,864,892,876,1065,1235,1412,1805,896,1175,850,874,856,894,1046,1212,1605,886,2203,997,NA,845,892,1182,1082,1150,996,837,1036,1140,1037,NA,1387,1341,1001,1036,998
"2016-06-01",887,1227,971,850,1871,1307,1330,1121,2008,1285,1035,2057,926,1396,831,885,896,876,1065,1232,1412,1814,901,1182,853,880,858,895,1052,1220,1612,886,2209,1000,NA,849,894,1190,1083,1151,990,835,1039,1142,1043,NA,1372,1351,1014,1040,993
"2016-07-01",884,1218,976,851,1878,1310,1329,1126,2014,1288,1041,2061,932,1401,833,889,898,878,1061,1228,1411,1822,905,1185,855,883,864,898,1055,1234,1618,892,2213,1004,NA,852,892,1194,1085,1164,993,834,1041,1144,1048,NA,1374,1360,1037,1041,985
"2016-08-01",885,1218,981,855,1883,1311,1329,1129,2024,1291,1046,2062,939,1395,835,891,903,883,1060,1245,1413,1830,910,1192,857,885,869,903,1060,1243,1620,894,2217,1008,NA,853,890,1196,1088,1170,998,832,1044,1147,1056,1273,1377,1365,1030,1042,983
"2016-09-01",888,1218,984,856,1888,1314,1332,1126,2031,1295,1050,2060,942,1399,827,895,907,885,1062,1251,1414,1840,912,1195,858,888,872,907,1063,1249,1623,899,2223,1012,NA,848,889,1199,1089,1179,1002,841,1047,1149,1060,1299,1379,1371,1040,1044,982
"2016-10-01",890,1219,987,859,1892,1316,1336,1127,2029,1298,1055,2057,949,1401,829,894,908,887,1068,1257,1416,1847,916,1204,862,892,872,913,1069,1254,1625,900,2230,1017,NA,850,891,1207,1102,1182,1005,847,1051,1151,1065,1347,1382,1378,1044,1046,978
"2016-11-01",891,1218,990,859,1899,1319,1350,1126,2032,1301,1058,2061,950,1413,829,898,913,888,1074,1237,1416,1848,918,1208,865,893,873,911,1073,1258,1634,904,2239,1019,NA,853,889,1213,1095,1190,1007,842,1051,1151,1068,1367,1384,1387,1056,1049,974
"2016-12-01",891,1213,995,863,1906,1322,1351,1124,2036,1304,1063,2057,956,1401,830,900,899,889,1079,1247,1417,1851,923,1192,883,896,873,914,1078,1264,1640,904,2243,1021,837,860,891,1219,1097,1203,1008,838,1054,1149,1071,1383,1387,1393,1078,1029,976
"2017-01-01",894,1213,1001,866,1918,1329,1345,1128,2043,1309,1057,2066,958,1403,832,903,897,894,1081,1251,1421,1859,925,1196,881,896,878,914,1084,1269,1648,909,2248,1024,836,858,891,1225,1101,1209,1013,840,1057,1151,1075,1390,1390,1401,967,1034,975
"2017-02-01",897,1207,1007,870,1930,1337,1347,1130,2054,1315,1062,2076,966,1408,837,904,898,900,1080,1257,1427,1869,930,1203,879,899,881,919,1091,1275,1652,912,2251,1028,842,862,895,1232,1105,1207,1020,849,1064,1156,1082,1393,1394,1410,968,1059,979
"2017-03-01",902,1215,1014,874,1945,1345,1351,1136,2069,1323,1068,2089,974,1415,841,907,902,904,1080,1254,1432,1879,935,1209,884,903,883,923,1099,1282,1657,921,2257,1035,841,867,895,1241,1109,1210,1023,857,1070,1162,1090,1416,1398,1423,965,1033,981
"2017-04-01",906,1216,1019,876,1954,1354,1358,1138,2079,1328,1074,2104,984,1420,845,912,907,906,1081,1249,1434,1887,941,1212,886,906,884,926,1105,1291,1661,922,2261,1040,843,877,897,1246,1112,1215,1027,859,1073,1164,1095,1419,1394,1432,963,1035,983
"2017-05-01",907,1220,1025,876,1963,1361,1366,1144,2077,1332,1081,2100,993,1425,847,913,900,908,1084,1265,1436,1891,945,1215,891,909,885,926,1112,1295,1666,924,2265,1045,834,872,899,1250,1114,1222,1029,857,1076,1168,1101,1442,1398,1441,968,1040,983
