"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2006-01-01",48.1,43.9,48.6,48.9,54.6,50.4,50,49,47.8,56.1,49.9,51.6,42.9,49.3,48.1,44.3,44.6,45.7,50.8,46.4,46.5,51.3,51.8,47.4,53.3,46.4,46.3,42.6,50.3,49.7,49.8,47.8,50.9,47.4,40.6,48.5,46.7,49.7,46.9,47.1,46.8,38.7,47.6,48.5,44.8,51.2,45.6,47.5,47.8,46.2,34.5
"2007-01-01",48.1,42.3,50.1,47.5,53.7,49.2,50.4,51.2,48.4,56.4,49,53.2,42.6,49.9,45.3,42.4,41.7,44.6,50.8,46,49.1,49.8,52.3,46.9,51.1,46.9,41.5,42,50.1,44.2,51.2,47.2,50.3,47.4,40.7,48.8,44.2,48,47,50,45.8,39,45.8,47.5,42.2,49.1,46.3,47.2,45.1,44.4,31.6
"2008-01-01",48.1,42.7,50.2,48.2,54.7,50.1,51.2,51.4,47.5,57.5,49.4,55.4,44.9,49,47.2,43.5,43.7,46.2,51.2,51.6,49.3,49.2,52.9,49.1,52.6,44.9,45.7,40.9,49.6,47.6,50,47.6,50.5,46.3,38,47.9,44.8,50.2,47.3,49.1,47.2,38.9,48,47.7,42.7,52.1,47.3,48,46.8,45.1,38
"2009-01-01",51.6,40.9,51.8,48.5,55.4,52.5,52.6,52.8,49.1,60.3,52.4,57.1,48.4,51,49.4,43.8,45.2,48,51,51.4,52,48.7,55.9,49.9,53.5,47,43.8,42.6,52.2,49.1,52.6,47.4,51.6,50.8,40.2,49.9,46.8,51.7,48.1,50.1,51.3,41.2,51,49.5,48.8,51.3,49.4,50.1,48.6,48,37.3
"2010-01-01",54,47.5,53.2,49.7,57.2,52.2,53.7,55.2,50.7,60.4,54.3,56.2,50.9,52.6,51.4,45.9,45.4,49.5,53.3,49.4,51.6,50.8,55.9,50.4,55.5,50.1,45.7,44.8,53.1,50.7,54.3,48.3,53.2,52.2,40.2,51.9,47.4,54.3,50.7,51.8,53.7,41.7,52.7,50.3,48.8,54.2,50.4,51.2,49.3,49.4,40
"2011-01-01",53.8,44.3,51.9,52.6,57.7,51.6,55.2,52.7,49.3,60.9,54.9,58.9,51.5,53.1,51.9,47.7,46.6,51.1,55.6,53.9,53.6,51.7,55.5,50.4,55.6,49.8,46.6,43.6,52.3,50.3,54.6,53.3,54.4,53.1,42.6,51.7,48.3,55.5,51.4,50.7,54.2,39.7,52.9,49.9,51.2,53.4,50.3,50.7,48.9,48.9,36.6
"2012-01-01",49.8,47.4,51.4,48.9,57.6,51,53,48.6,48.1,58.6,53.1,55.3,49.9,50.7,49.2,44.9,44.5,48.3,52.6,51.8,50.6,49.4,54.3,48.2,54.3,50.9,47.1,42.8,51.2,48.9,54.2,51.4,53.4,49.7,35.3,49.3,47.8,53.7,49.9,50.6,52.6,40.8,51,48.2,49.6,50.7,50.2,50.7,48.1,48.7,43.5
"2013-01-01",50,43.2,49.6,48.3,57.1,51.9,52.9,51.1,49.5,57.8,52.7,55.6,47.7,49.5,49.7,43.1,45.1,46.1,52.3,52.6,51.4,50.2,52.5,47.7,51.1,48.9,47.1,44.5,49.2,47.7,53.8,51.4,53.8,50,42.6,48.3,45.1,53.2,50.3,52.2,51.9,39.7,50.2,47.7,46.9,53.9,49.2,51,47.4,47.2,41.7
"2014-01-01",51.7,51.3,49.6,47.5,56.8,50.9,53.6,49.6,48.6,57.9,52.1,57.5,46.8,50.2,49.6,43.9,45.8,49.4,53.1,50.8,51.7,50.5,52.3,48.3,51.6,48.1,45.9,41.9,49.5,49.4,52.9,51.4,54.7,50.8,39.6,48.1,44.9,55.1,50.9,53.1,51.9,39.3,50.8,48.9,46.6,51.1,50.2,50,46.5,47.4,40.4
"2015-01-01",49.7,47.7,48.8,47.6,55.8,50.5,52.5,48.5,48.4,57,49.9,56.6,47.1,49.2,47.8,43.8,42.5,45.9,54.1,49.2,50.5,51.3,50,46.5,52.7,45.8,45.4,43,49.5,46.4,53.8,50.4,53.6,49.3,39.2,46.7,44.9,51.4,49.1,48.2,49.6,40.8,48.4,47.6,44.4,50.5,49.5,48,47.5,45.9,40.6
