"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2003-12-01",880,680,1080,710,970,1380,1010,990,3130,840,1110,730,1240,1150,950,1510,1140,830,990,1200,1250,1400,1120,1430,810,1060,1270,1430,730,1360,1050,830,1420,780,1840,1210,830,1100,1270,1380,710,1770,800,910,780,1990,1110,980,950,1180,670
"2004-12-01",1090,1730,1520,1010,1340,1790,1550,1350,4350,1150,1440,960,1450,1570,1300,1830,1630,1020,1550,1340,1790,2050,1420,1840,1130,1490,1770,1270,980,2010,1570,1290,1940,990,2020,1570,1270,1490,1780,1790,960,1930,1140,1250,1180,2210,1580,1350,1190,1400,1220
"2005-12-01",1240,1910,1670,1160,1480,1930,1770,1460,4560,1320,1670,1090,1680,1750,1480,2040,1840,1180,1690,1460,1970,2250,1600,2080,1300,1610,1640,1440,1110,2320,1760,1490,2090,1200,2240,1790,1470,1700,1890,1830,1300,2160,1300,1470,1340,2230,1660,1500,1330,1600,1240
"2006-12-01",1490,2250,1930,1460,1780,2290,2210,1920,5900,1580,2060,1360,2020,2200,1830,2400,2160,1450,1970,1880,2380,2740,1920,2450,1680,1970,2170,1650,1260,2680,2210,1760,2640,1530,2620,2210,1750,2050,2410,2160,1800,2340,1560,1740,1680,2840,2030,1810,1710,1900,1570
"2007-12-01",1770,2340,2170,1690,2000,2520,2500,2200,6430,1840,2410,1500,2170,2520,2120,2760,2490,1740,2190,2230,2620,3070,2190,2900,1980,2260,2360,1870,1530,3090,2540,1970,2960,1790,3020,2590,1960,2340,2750,2310,2120,2810,1810,1970,1860,3130,2270,2060,1970,2190,1870
"2008-12-01",2160,2530,2500,1990,2350,3240,2950,2570,7420,2260,2900,1800,2400,2950,2680,3260,3060,2180,2560,3050,3060,3600,2700,3330,2390,2700,2680,3090,1860,3460,2950,2190,3450,2140,3260,3060,2400,2710,3200,2870,2430,3250,2190,2350,2210,3780,2690,2300,2320,2530,2090
"2009-12-01",2470,2850,2890,2260,2650,3630,3250,2900,7920,2590,3330,2020,2840,3310,3030,3570,3320,2500,2910,3360,3520,3900,3120,3730,2820,3110,2950,3290,2080,3730,3300,2440,3820,2480,3600,3490,2700,3090,3600,3200,2820,3450,2460,2680,2500,3850,3070,2540,2580,2870,2270
"2010-12-01",2790,3140,3220,2620,2960,4000,3660,3340,8700,2940,3830,2270,3160,3720,3490,3880,3630,2850,3130,3600,4040,4380,3500,4200,3150,3470,3210,3750,2290,3980,3680,2720,4200,2800,3870,3940,2940,3440,3950,3750,3210,3740,2820,2990,2730,4070,3410,2820,2840,3240,2480
"2011-12-01",2990,3390,3420,2840,3140,4280,3890,3630,9640,3210,4210,2350,3340,4030,3790,4170,3920,3080,3390,3720,4270,4580,3800,4600,3560,3760,3420,3890,2460,4370,3980,3010,4440,3050,4150,4220,3210,3720,4290,3600,3500,3950,3090,3240,3030,4070,3690,3030,2990,3470,2770
"2012-12-01",3370,3680,3890,3190,3510,4720,4170,4090,10670,3630,4770,2690,3920,4400,4070,4490,4380,3500,3750,3970,4730,4860,4240,5020,4130,4180,3750,4200,2850,4630,4330,3360,4770,3420,4670,4640,3580,4160,4600,4060,4020,4290,3480,3610,3390,4400,4030,3380,3290,3860,3090
"2013-12-01",3620,3630,4030,3440,3720,4910,4600,4370,10880,3840,5140,2920,4260,4700,4300,4710,4540,3670,4030,4210,5110,5170,4540,5310,4250,4370,3840,4300,2960,4860,4710,3490,5060,3750,4770,5000,3730,4460,4890,4410,4290,4250,3770,3740,3470,4530,4320,3540,3490,4000,3160
"2014-12-01",3980,3640,4310,3720,3890,5150,4760,4600,11260,4090,5640,3010,4360,4950,4540,4810,4840,3940,4340,4450,5480,5310,4840,5550,4630,4620,4090,4510,3180,5000,4970,3550,5190,4010,4870,5320,3840,4750,5140,4650,4620,4340,4050,4000,3620,4850,4680,3710,3780,4230,3290
"2015-12-01",4180,3610,4470,3830,4010,5300,5060,4880,11780,4220,5870,3150,4560,5100,4700,4900,4950,4170,4500,4760,5670,5630,4940,5730,4880,4760,4080,4710,3430,5260,5200,3620,5330,4280,5040,5510,3940,4980,5350,4780,4870,4710,4190,4180,3870,5130,4850,3860,3800,4370,3290
"2016-12-01",4390,3660,4690,4100,4190,5630,5470,5290,12200,4480,6340,3240,4690,5400,4900,5120,5160,4390,4810,5050,6010,5830,5280,5980,5210,5000,4000,4850,3620,5580,5530,3760,5550,4650,4910,5780,4100,5260,5660,4940,5240,4890,4520,4460,4100,5250,5230,4030,3920,4580,3300
"2017-12-01",4610,3740,4890,4170,4330,5840,5660,5590,12380,4690,6750,3530,4720,5590,5060,5150,5300,4640,5020,5270,6260,5980,5490,6100,5510,5140,4360,5000,3790,5900,5720,3810,5810,4950,5240,5980,4300,5430,5910,4910,5500,5020,4760,4700,4230,5620,5550,4110,4070,4750,3270
"2018-12-01",4920,4030,5170,4330,4530,6180,5890,6040,13320,4940,7250,3780,5050,5800,5300,5300,5480,4870,5360,5340,6740,6140,5800,6280,5870,5270,4670,5080,4170,5860,6090,4070,6090,5240,5510,6220,4540,5760,6210,5390,5870,5170,5050,4970,4350,5480,5820,4270,4020,4850,3610
"2019-12-01",5120,3970,5260,4540,4640,6230,6160,6070,13420,5020,7440,3780,5020,5970,5290,5330,5540,4980,5580,5440,6910,6180,5910,6310,5900,5370,4620,5170,4270,5890,6210,4100,6180,5470,5500,6320,4560,5820,6420,5640,6050,5150,5190,5100,4290,5880,6050,4330,4180,4940,3690
