"date","value"
"2000-01-01",159.01
"2000-04-01",161.66
"2000-07-01",164.1
"2000-10-01",165.98
"2001-01-01",170.7
"2001-04-01",172.93
"2001-07-01",174.23
"2001-10-01",176.18
"2002-01-01",176.69
"2002-04-01",178.19
"2002-07-01",180.97
"2002-10-01",182.87
"2003-01-01",183.73
"2003-04-01",184.91
"2003-07-01",185.51
"2003-10-01",186.64
"2004-01-01",187.52
"2004-04-01",189.43
"2004-07-01",190.97
"2004-10-01",193.16
"2005-01-01",194.18
"2005-04-01",197.34
"2005-07-01",200.5
"2005-10-01",202.86
"2006-01-01",205.19
"2006-04-01",208.51
"2006-07-01",211.58
"2006-10-01",214.49
"2007-01-01",217.22
"2007-04-01",220.89
"2007-07-01",221.66
"2007-10-01",223.35
"2008-01-01",224.54
"2008-04-01",225.16
"2008-07-01",224.47
"2008-10-01",224.84
"2009-01-01",227.48
"2009-04-01",226.02
"2009-07-01",223.8
"2009-10-01",223.18
"2010-01-01",221.83
"2010-04-01",222.01
"2010-07-01",223.39
"2010-10-01",222.35
"2011-01-01",219.1
"2011-04-01",218.03
"2011-07-01",219.88
"2011-10-01",220.08
"2012-01-01",219.93
"2012-04-01",221.48
"2012-07-01",223.43
"2012-10-01",225.07
"2013-01-01",226.68
"2013-04-01",230.82
"2013-07-01",234.56
"2013-10-01",237.37
"2014-01-01",241.29
"2014-04-01",247.41
"2014-07-01",251.89
"2014-10-01",254.91
"2015-01-01",258.64
"2015-04-01",265.09
"2015-07-01",270.67
"2015-10-01",272.98
"2016-01-01",276.9
"2016-04-01",283.97
"2016-07-01",289.8
"2016-10-01",292.68
"2017-01-01",296.56
"2017-04-01",305.32
"2017-07-01",309.74
"2017-10-01",312.46
"2018-01-01",316.75
"2018-04-01",323.61
"2018-07-01",327.85
"2018-10-01",328.8
"2019-01-01",332.8
"2019-04-01",338.63
"2019-07-01",342.6
"2019-10-01",345.16
"2020-01-01",348.89
"2020-04-01",351.55
"2020-07-01",356.94
"2020-10-01",365.01
"2021-01-01",373.73
"2021-04-01",395.52
"2021-07-01",420.62
"2021-10-01",437.82
"2022-01-01",458.15
"2022-04-01",489.31
"2022-07-01",500.46
"2022-10-01",493.89
"2023-01-01",495.68
"2023-04-01",500.84
"2023-07-01",506.34
"2023-10-01",502.79
"2024-01-01",509.68
"2024-04-01",515.71
"2024-07-01",517.64
"2024-10-01",521.04
"2025-01-01",522.82
"2025-04-01",524.87
"2025-07-01",526.03
"2025-10-01",527.1
"2026-01-01",529.31
