"date","value"
"2007-01-01",21.3
"2007-02-01",20.96
"2007-03-01",21.07
"2007-04-01",21.3
"2007-05-01",21.05
"2007-06-01",20.94
"2007-07-01",21.2
"2007-08-01",21.05
"2007-09-01",21.08
"2007-10-01",20.84
"2007-11-01",20.76
"2007-12-01",21.34
"2008-01-01",20.97
"2008-02-01",21.12
"2008-03-01",21.47
"2008-04-01",21.46
"2008-05-01",21.39
"2008-06-01",21.47
"2008-07-01",21.18
"2008-08-01",21.15
"2008-09-01",21.27
"2008-10-01",21.29
"2008-11-01",21.41
"2008-12-01",21.36
"2009-01-01",21.32
"2009-02-01",21.37
"2009-03-01",21.26
"2009-04-01",21.22
"2009-05-01",21.3
"2009-06-01",21.26
"2009-07-01",21.39
"2009-08-01",21.47
"2009-09-01",21.5
"2009-10-01",21.47
"2009-11-01",21.76
"2009-12-01",21.41
"2010-01-01",21.31
"2010-02-01",21.41
"2010-03-01",21.31
"2010-04-01",21.42
"2010-05-01",21.39
"2010-06-01",21.17
"2010-07-01",21.29
"2010-08-01",21.37
"2010-09-01",21.43
"2010-10-01",21.44
"2010-11-01",21.48
"2010-12-01",21.32
"2011-01-01",21.95
"2011-02-01",22
"2011-03-01",21.84
"2011-04-01",21.92
"2011-05-01",22.02
"2011-06-01",21.74
"2011-07-01",21.9
"2011-08-01",21.86
"2011-09-01",21.94
"2011-10-01",22.22
"2011-11-01",22.15
"2011-12-01",22.1
"2012-01-01",22.36
"2012-02-01",22.15
"2012-03-01",21.98
"2012-04-01",22.28
"2012-05-01",21.97
"2012-06-01",21.89
"2012-07-01",22.18
"2012-08-01",21.94
"2012-09-01",22.37
"2012-10-01",22.24
"2012-11-01",22.34
"2012-12-01",22.67
"2013-01-01",22.69
"2013-02-01",22.65
"2013-03-01",22.56
"2013-04-01",22.75
"2013-05-01",22.68
"2013-06-01",22.81
"2013-07-01",22.73
"2013-08-01",22.73
"2013-09-01",23.1
"2013-10-01",23.06
"2013-11-01",23.14
"2013-12-01",23.38
"2014-01-01",23.42
"2014-02-01",23.7
"2014-03-01",23.67
"2014-04-01",23.61
"2014-05-01",23.72
"2014-06-01",23.83
"2014-07-01",23.67
"2014-08-01",23.68
"2014-09-01",23.86
"2014-10-01",24.02
"2014-11-01",24.27
"2014-12-01",24.13
"2015-01-01",24.36
"2015-02-01",24.56
"2015-03-01",24.46
"2015-04-01",24.3
"2015-05-01",24.28
"2015-06-01",24.16
"2015-07-01",24.13
"2015-08-01",24.52
"2015-09-01",24.36
"2015-10-01",24.5
"2015-11-01",24.62
"2015-12-01",24.35
"2016-01-01",24.61
"2016-02-01",24.46
"2016-03-01",24.53
"2016-04-01",24.43
"2016-05-01",24.67
"2016-06-01",24.32
"2016-07-01",24.4
"2016-08-01",24.42
"2016-09-01",24.58
"2016-10-01",25.04
"2016-11-01",24.79
"2016-12-01",24.85
"2017-01-01",25.37
"2017-02-01",25.18
"2017-03-01",25.14
"2017-04-01",25.62
"2017-05-01",25.26
"2017-06-01",25.04
"2017-07-01",25.57
"2017-08-01",25.24
"2017-09-01",25.48
"2017-10-01",25.82
"2017-11-01",25.6
"2017-12-01",25.68
"2018-01-01",25.74
"2018-02-01",25.69
"2018-03-01",25.63
"2018-04-01",25.86
"2018-05-01",25.57
"2018-06-01",25.58
"2018-07-01",26.01
"2018-08-01",25.85
"2018-09-01",26.22
"2018-10-01",26.03
"2018-11-01",26.17
"2018-12-01",26.56
"2019-01-01",26.33
"2019-02-01",26.29
"2019-03-01",26.09
"2019-04-01",26.07
"2019-05-01",26.08
"2019-06-01",26.07
"2019-07-01",25.92
"2019-08-01",25.96
"2019-09-01",26.31
"2019-10-01",26.21
"2019-11-01",26.44
"2019-12-01",26.82
"2020-01-01",26.7
"2020-02-01",26.94
"2020-03-01",26.88
"2020-04-01",27.44
"2020-05-01",26.91
"2020-06-01",26.62
"2020-07-01",26.92
"2020-08-01",27.16
"2020-09-01",26.85
"2020-10-01",27.05
"2020-11-01",27.49
"2020-12-01",27.38
"2021-01-01",27.52
"2021-02-01",28.03
"2021-03-01",27.7
"2021-04-01",27.94
"2021-05-01",28.53
"2021-06-01",28.29
"2021-07-01",28.54
"2021-08-01",29.22
"2021-09-01",28.94
"2021-10-01",29.2
"2021-11-01",29.29
"2021-12-01",29.15
"2022-01-01",30.11
"2022-02-01",29.36
"2022-03-01",29.37
"2022-04-01",29.7
"2022-05-01",30.02
"2022-06-01",29.59
"2022-07-01",29.8
"2022-08-01",30.01
"2022-09-01",29.97
"2022-10-01",30.56
"2022-11-01",30.44
"2022-12-01",30.53
"2023-01-01",31.36
"2023-02-01",31.19
"2023-03-01",31.15
"2023-04-01",31.26
"2023-05-01",31.01
"2023-06-01",31.06
"2023-07-01",31.73
"2023-08-01",31.61
"2023-09-01",31.94
"2023-10-01",32.1
"2023-11-01",31.84
"2023-12-01",32.23
"2024-01-01",32.88
"2024-02-01",32.64
"2024-03-01",32.61
"2024-04-01",32.67
"2024-05-01",32.6
"2024-06-01",32.85
"2024-07-01",32.95
"2024-08-01",33.26
"2024-09-01",33.4
"2024-10-01",33.38
"2024-11-01",33.48
"2024-12-01",34.16
"2025-01-01",34.29
"2025-02-01",34.62
"2025-03-01",34.51
"2025-04-01",34.22
"2025-05-01",34.08
"2025-06-01",34.59
"2025-07-01",34.14
"2025-08-01",34.34
"2025-09-01",34.76
"2025-10-01",34.77
"2025-11-01",35.12
"2025-12-01",35.27
"2026-01-01",35.49
"2026-02-01",35.31
"2026-03-01",35.03
"2026-04-01",35.19
"2026-05-01",35.07
