"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2008-01-01",14,20.8,18.7,17.9,17.8,17,8.9,10.8,8.1,20.9,19,6.7,17.6,12.9,13.8,8.7,12.6,14.1,17.9,10.8,11.2,4.2,11.5,8.6,18,13,18.9,10.8,21.7,11,12.4,21.6,11.9,16.2,9.9,11.9,19.2,16.5,9.6,10.5,17.1,11.4,13.8,24.1,15,8.9,11.9,13.2,15.6,9,14.5
"2009-01-01",13.9,20.5,17.5,16.7,18.1,15.8,8.9,10.4,7.1,20.9,19.1,6.8,16.9,13.4,14,8.8,12.8,14.5,17.3,10.3,11.1,4.3,12.4,9,17.6,13.4,19,11.6,22,10.5,12.6,20.3,11.5,16.1,9.9,12.3,18.7,17.4,9.8,11.3,16.8,13.7,14.3,23.9,14.4,8.7,11.9,13.6,14.2,9.1,15.5
"2010-01-01",14.8,18.1,17,17.5,18.6,15.8,9.1,10,7.8,21.3,19.8,7.7,17.9,14,15,9.3,13.7,15.3,17.8,10.7,11.4,4.4,12.4,9,18.1,13.3,16.9,11.9,22.6,11.2,13.3,20,12,17,10,12.3,19.2,17.2,10.2,12.1,17.7,11.9,14.4,23.9,15.5,7.8,12.9,14.2,14.6,9.6,14.7
"2011-01-01",14.1,20,17.2,17,18.2,15.2,8.6,8.9,7.6,20.9,19.6,7.2,15.7,12.9,14.6,9,12.7,14.5,17.6,11.2,10.3,4.2,11.9,8.7,17.6,13.7,18.8,12,22,10.1,13,20,11.5,16.4,9.9,12.1,18.7,15.6,10.1,11,16.9,11.6,14.9,23.1,15.1,7.3,12.5,14.1,15.4,9.2,15.4
"2012-01-01",13.3,20.3,17.5,16.4,17.9,14.5,9.3,8.5,5.6,20,18.6,6.6,16.1,13,14.5,8.4,12.7,13.7,16.7,10.4,10.2,3.9,11.6,8.3,17.1,13.9,18.3,11.1,22,11.2,12.8,18.8,11,16.5,10.7,11.6,18.4,14.6,9.7,11.4,16.7,10.7,13.9,22.5,14,6.6,12.5,13.8,14.2,9.2,16.1
"2013-01-01",13.7,18.6,17.4,16.2,17.2,13.9,9.4,10.1,6.3,20.1,18.8,7,16.1,12.7,14.1,8.8,12.4,14.5,16.8,11.1,10.2,3.8,11.1,8.3,17,13.1,16.7,10.8,20.6,10.9,13.4,19.2,10.9,15.7,10.4,11,17.8,14.8,9.7,12,15.8,12.5,14,22,13.4,7,12.4,14.1,13.5,9,12.8
"2014-01-01",12,17.5,13.7,11.8,12.5,10.6,7,7.4,5.5,16.6,15.8,4.9,13.4,9.9,12,5.7,10.6,8.8,14.5,9.8,7.9,3.4,8.4,6,14.5,11.6,13.7,9.3,15.3,9.4,11,14.8,8.6,13.2,8.1,8.4,15.2,9.8,8.6,7.1,13.6,10,11.9,19.1,12.4,4.7,10.9,9.2,8.9,7.4,12.4
"2015-01-01",10.2,14.5,11.1,9.4,8.5,8.1,6.1,5.6,3.7,13.4,13.9,3.8,11.3,7.1,9.9,4.9,9.3,6.1,12.1,8.6,6.7,2.8,6,4.5,12.5,9.8,11.6,7.8,12.3,6.9,8.8,10.9,7.1,11.3,8.3,6.5,14.2,7,6.3,5.2,10.8,11.2,10.3,17,10.7,3.9,9.3,6.5,5.5,5.8,10.4
"2016-01-01",9.2,14.5,10,8,7.4,7.7,4.9,5.8,4,12.5,12.9,3.5,10.3,6.5,8.1,4,8.4,5.2,10.2,7.9,6.1,2.5,5.3,4.2,11.8,9,8.4,8.9,11.1,6.4,7.7,9,6.1,10.5,7.8,5.6,13.8,6.2,5.8,4.2,9.9,8.3,9.1,16.6,8.5,3.6,8.8,5.9,4.9,5.2,11
"2017-01-01",9.5,13.9,10,8,7.2,7.5,5.6,5.6,3.6,12.9,13.4,3.8,10.7,6.9,8.4,4.4,8.5,5.5,8.3,7.8,6.1,2.8,5.1,4.5,12.1,9.1,9.1,8.6,11.1,5.7,7.6,9.1,5.7,10.7,7.5,5.8,14,6.8,5.5,4.5,11.1,9.2,9.4,17.4,9,4.2,8.8,6.1,5.8,5.1,12.3
"2018-01-01",10.2,12,10.6,8.3,7.2,7.7,5.3,5.8,3.2,13.2,13.8,3.9,11.1,7.1,8.5,4.9,8.7,5.6,7.9,7.8,6,2.7,5.4,4.3,12.3,9.4,8.1,8.5,11.4,5.2,7.4,9.3,5.3,10.9,7.7,6.5,13.7,7.2,5.6,4,10.5,9.4,10.2,17.7,9,4.1,8.7,6.5,6.2,5.5,10.6
"2019-01-01",9.7,11.5,11.1,9.1,7.8,7.8,5.9,6.6,3.6,13.1,13.4,4.1,10.5,7.3,8.8,4.7,9.2,6.4,8.9,8.1,5.9,3,5.8,4.8,12.9,10.1,8.3,7.9,11.5,6.4,7.9,9.8,5.3,11.4,7.4,6.7,14.9,7.1,5.7,4.3,10.8,9.6,10.2,18.4,9.6,4.4,8,6.6,6.6,5.8,12.3
"2021-01-01",10,10.8,10.6,9.2,7,8,5.1,5.7,3.7,12.1,12.7,3.7,8.5,6.9,7.5,4.9,9.2,5.6,7.5,5.4,6.1,2.5,5.1,4.3,11.9,9.3,8,7,11.4,5,7.2,10,5.2,10.4,7.7,6.5,13.8,6.1,5.4,4.3,10,9.4,10.1,18,9.1,3.3,6.8,6.5,6.2,5.4,11.5
"2022-01-01",8.6,10.7,10.3,8.5,6.5,7,5.2,5.5,2.9,11.2,11.7,3.6,8.2,6.6,6.8,4.1,8.7,5.4,6.8,6.5,6,2.4,4.6,4.3,10.8,8.4,8.1,6.8,11.1,4.5,6.9,8.4,4.9,9.4,6.6,5.8,11.9,6,5.4,4.1,9,8,9.4,16.6,8.1,3.9,6.6,6,5.9,5.4,11.6
"2023-01-01",8.4,10.5,9.8,9.2,6.4,6.7,5.6,6.8,2.7,10.7,11.4,2.8,9,6.1,6.8,5,8.4,5.6,7,6.1,6.3,2.6,4.4,4,10.5,7.5,8.5,6.3,10.7,4.6,7.2,9,4.8,9.2,4.2,6.1,11.4,5.4,5.4,4.5,9,8.6,9.3,16.3,7.7,3.4,6.4,6.3,5.9,4.9,10.5
"2024-01-01",8.2,11.1,10.2,9.3,5.9,7.8,5.7,6.9,4.7,10.9,12,3.3,9,6.8,7.4,5.7,8.6,6.9,7.6,5.6,6.2,2.8,5,5.3,9.7,7.6,8.6,7.6,11.4,4.7,7.7,10.2,4.9,8.6,6,6.7,11.7,5.2,5.9,4.8,9.1,7.9,9.7,16.8,8.3,4.3,6.8,6.5,5.9,5.4,9.7
