"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2007-01-01",19.24,25.28,19.98,15.89,25.03,22.66,25.86,22.05,32.94,20.21,20.07,20.65,15.93,22.63,19.76,18.15,19.56,17.73,18.02,18.81,24,25.91,21.56,23.63,16.47,19.71,18.02,19.91,19.36,21.94,25.9,18.34,25.43,19.25,18.54,20.08,17.4,20.92,20.15,22.14,18.77,16.81,18.99,21.3,21.74,20.01,22.43,24.66,17.22,20.27,19.61
"2007-02-01",19.29,24.51,20.03,15.96,24.76,22.97,26.26,22.24,33.83,20.21,20.13,20.4,15.94,22.92,20.01,18.39,19.81,17.91,17.93,18.83,24.31,26.14,21.49,23.76,16.51,20.04,17.91,19.92,19.59,22.11,25.46,18.64,25.55,19.43,18.32,20.51,17.26,20.7,20.13,22.37,19.12,16.9,19.06,20.96,22.83,20.15,22.45,24.13,16.88,20.44,19.59
"2007-03-01",19.4,24.74,19.93,15.91,24.84,23.05,25.98,22.1,33.38,20.17,20.83,20.64,16.06,22.73,19.82,18.09,19.13,17.68,18.31,18.91,24.14,25.89,21.65,23.25,16.58,19.77,17.89,19.91,19.72,22.05,25.03,18.43,25.35,19.49,18.29,20.24,16.99,20.67,20.02,22.2,18.77,16.56,19.04,21.07,21.89,20.89,22.32,24.1,16.81,20.56,19.69
"2007-04-01",19.53,24.87,20.05,16.19,24.93,23.23,26.37,22.57,34.03,20.05,20.05,20.67,16.05,23.37,19.97,17.84,19.75,17.73,18.77,19.13,24.12,26.46,21.77,23.81,16.62,19.8,18.05,20.31,19.48,22.4,25.14,18.75,25.58,19.39,18.55,20.39,17.18,20.77,20.11,22.19,19.01,17.76,19.15,21.3,22.2,20.43,22.7,24.24,17.03,21,19.95
"2007-05-01",19.42,25.9,19.97,15.94,24.69,22.83,26.78,21.58,33.69,20.35,19.79,20.67,16.1,23.13,19.6,17.61,19.69,17.5,18.56,18.9,23.79,26.11,21.51,23.01,16.37,19.71,17.72,19.96,19.14,22.06,24.63,18.67,25.13,19.08,18.2,19.96,17.44,20.44,19.95,21.97,18.82,16.59,18.79,21.05,21.76,20.22,22.33,23.67,16.91,20.45,19.68
"2007-06-01",19.35,24.37,19.98,15.88,24.66,22.91,26.83,21.38,33.93,20.54,21.03,20.64,16.35,23.03,19.71,17.86,19.57,17.54,18.61,18.64,23.76,25.72,21.32,22.97,16.28,19.58,17.38,20.06,19.59,21.87,24.51,18.58,25.1,19,17.95,19.99,17.16,20.45,19.93,22,18.63,16.24,18.93,20.94,21.72,19.89,22.25,23.73,16.9,20.23,19.92
"2007-07-01",19.35,23.9,19.61,16.4,24.8,23.26,26.8,21.79,33.84,20.82,20.34,20.65,16.36,23.36,19.92,17.98,19.42,17.87,18.66,18.56,23.89,25.96,21.38,22.64,16.46,19.56,17.53,19.78,19.63,21.8,24.47,18.72,25.28,19.08,18.31,20.06,17.49,20.57,19.98,22.29,18.65,15.96,19.1,21.2,20.97,20.16,22.57,24.02,17.06,20.26,20.06
"2007-08-01",19.29,23.6,19.58,16.31,24.48,23.06,26.44,21.7,33.34,20.81,20.96,20.63,16.42,23.04,19.95,17.89,19.33,17.7,19.09,18.45,23.68,25.82,21.25,22.34,16.47,19.52,17.62,19.73,19.83,21.76,24.29,18.32,25.16,18.81,18.14,20.07,17.41,20.28,20,21.92,18.38,16.02,18.9,21.05,21.05,20.12,22.36,23.75,17.04,20.03,20.14
"2007-09-01",19.36,24.71,19.86,16.52,24.72,23.34,26.73,22.21,33.57,20.94,20.58,20.8,17.2,23.36,20.17,18.22,19.49,17.92,19.34,18.74,24.09,26.19,21.66,22.86,16.48,19.97,17.86,19.76,19.89,22.21,24.64,18.69,25.23,19.44,18.17,20.3,17.47,20.59,20.15,22.43,18.77,16.47,19.16,21.08,20.44,20.74,22.49,24.19,17.08,20.63,19.92
"2007-10-01",19.25,25.01,19.61,16.68,24.45,23.22,26.81,21.79,33.26,20.64,20.74,20.68,17.22,22.5,19.86,18.1,19.63,17.82,19.14,18.64,24.18,26.3,21.42,22.9,16.38,19.75,17.83,19.75,19.84,22.09,24.73,18.61,25.09,19.21,18.34,20.29,17.3,20.55,20.12,22.05,18.59,16.12,18.86,20.84,20.27,20.63,22.37,24.42,17.15,20.59,20.32
"2007-11-01",19.34,24.86,19.51,16.62,24.54,23.33,26.79,21.72,33.19,20.74,20.62,20.69,17.26,22.51,20.05,17.97,19.78,17.64,19.08,18.69,24.14,26.16,21.65,23.01,16.41,19.77,18.06,19.64,19.8,22.05,24.68,18.53,25.09,19.29,18.41,20.35,17.42,20.48,20.15,22.08,18.62,16.22,18.92,20.76,20.73,20.9,22.58,24.53,17.46,20.45,20.59
"2007-12-01",19.56,25.11,19.91,16.93,24.48,23.62,27.34,22.64,33.41,21.45,20.08,21.19,17.22,22.81,20.36,18.11,20.48,17.72,19.24,18.63,24.45,26.34,21.92,23.47,16.47,20.29,18.11,20.33,19.85,22.44,24.69,18.5,25.26,19.49,18.9,20.39,17.58,20.87,20.29,22.39,19.03,16.12,19.35,21.34,21.38,20.95,22.65,24.87,17.9,20.62,20.9
"2008-01-01",19.27,24.74,19.83,16.89,24.23,23.68,27.35,21.74,33.21,20.64,20.2,20.43,17.08,22.82,20.05,17.61,20.12,17.75,19.06,18.79,24.56,26.18,21.92,22.89,16.53,19.84,18.2,19.97,19.69,22.42,25.58,18.54,25.34,19.5,18.5,19.95,17.35,20.85,20.31,22.75,19,16.31,19.36,20.97,20.95,20.89,22.29,24.91,17.51,20.65,20.39
"2008-02-01",19.37,24.1,19.98,16.97,24.2,23.91,27.44,23.13,33.24,20.72,20.44,20.53,16.98,22.51,20.29,17.77,20,17.91,19.41,18.86,24.65,26.32,21.89,23.2,16.78,20.38,18.28,20.11,19.72,22.44,25.47,18.58,25.45,19.46,18.59,20.03,17.24,20.86,20.35,22.61,19.04,16.46,19.44,21.12,21.28,21.22,22.56,25,17.63,20.76,20.45
