"date","value"
"2006-03-01",480.96698
"2006-06-01",487.12604
"2006-09-01",510.54846
"2006-12-01",521.38249
"2007-03-01",544.98855
"2007-06-01",549.27083
"2007-09-01",577.38056
"2007-12-01",589.48928
"2008-03-01",619.31588
"2008-06-01",626.6056
"2008-09-01",660.5842
"2008-12-01",675.95258
"2009-03-01",707.22681
"2009-06-01",712.31915
"2009-09-01",746.52252
"2009-12-01",771.69975
"2010-03-01",800.06982
"2010-06-01",811.14877
"2010-09-01",845.80479
"2010-12-01",855.48343
"2011-03-01",896.84843
"2011-06-01",905.15715
"2011-09-01",940.33902
"2011-12-01",959.82395
"2012-03-01",994.27974
"2012-06-01",1011.25992
"2012-09-01",1041.03403
"2012-12-01",1054.5651
"2013-03-01",1092.01385
"2013-06-01",1099.6068
"2013-09-01",1134.18098
"2013-12-01",1145.55075
"2014-03-01",1182.06118
"2014-06-01",1190.48872
"2014-09-01",1226.39405
"2014-12-01",1235.75147
"2015-03-01",1271.84496
"2015-06-01",1278.76493
"2015-09-01",1311.76641
"2015-12-01",1320.24814
"2016-03-01",1358.13743
"2016-06-01",1365.26984
"2016-09-01",1398.5732
"2016-12-01",1405.33216
"2017-03-01",1440.35858
"2017-06-01",1446.68008
"2017-09-01",1479.02956
"2017-12-01",1488.89548
"2018-03-01",1523.34376
"2018-06-01",1530.75656
"2018-09-01",1560.68166
"2018-12-01",1566.90343
"2019-03-01",1597.65409
"2019-06-01",1603.29289
"2019-09-01",1635.13196
"2019-12-01",1637.8807
"2020-03-01",1671.96877
"2020-06-01",1672.50314
"2020-09-01",1696.47462
"2020-12-01",1693.86024
"2021-03-01",1718.70655
"2021-06-01",1719.06751
"2021-09-01",1739.44383
"2021-12-01",1733.41518
"2022-03-01",1747.45551
"2022-06-01",1744.007
"2022-09-01",1761.742
"2022-12-01",1764.06742
"2023-03-01",1774.9099
"2023-06-01",1761.24355
"2023-09-01",1732.57535
"2023-12-01",1729.13914
"2024-03-01",1753.33367
"2024-06-01",1741.13784
"2024-09-01",1772.89141
"2024-12-01",1778.37673
"2025-03-01",1805.4646
"2025-06-01",1802.60702
"2025-09-01",1832.97745
"2025-12-01",1834.6901
"2026-03-01",1862.6976
