"date","value"
"2000-01-01",229.93
"2000-04-01",233.69
"2000-07-01",237.95
"2000-10-01",241.59
"2001-01-01",247.58
"2001-04-01",251.73
"2001-07-01",255.62
"2001-10-01",258.79
"2002-01-01",262.49
"2002-04-01",266.98
"2002-07-01",272.27
"2002-10-01",276.14
"2003-01-01",279.49
"2003-04-01",282.91
"2003-07-01",287.28
"2003-10-01",295.39
"2004-01-01",300.04
"2004-04-01",307.37
"2004-07-01",319.08
"2004-10-01",325.93
"2005-01-01",333.41
"2005-04-01",344.1
"2005-07-01",354.52
"2005-10-01",362.57
"2006-01-01",368.3
"2006-04-01",372.09
"2006-07-01",375.15
"2006-10-01",379
"2007-01-01",380.4
"2007-04-01",380.15
"2007-07-01",375.9
"2007-10-01",374.67
"2008-01-01",371.91
"2008-04-01",362.51
"2008-07-01",351.1
"2008-10-01",347.86
"2009-01-01",350.42
"2009-04-01",341.25
"2009-07-01",332.35
"2009-10-01",329.8
"2010-01-01",325.87
"2010-04-01",322.91
"2010-07-01",326.04
"2010-10-01",323.72
"2011-01-01",314.72
"2011-04-01",309.17
"2011-07-01",311.47
"2011-10-01",312.91
"2012-01-01",309.63
"2012-04-01",308.21
"2012-07-01",312.31
"2012-10-01",314.77
"2013-01-01",316.31
"2013-04-01",321.14
"2013-07-01",325.69
"2013-10-01",328.27
"2014-01-01",330.93
"2014-04-01",337.35
"2014-07-01",342.2
"2014-10-01",344.98
"2015-01-01",348.79
"2015-04-01",354.43
"2015-07-01",359.45
"2015-10-01",362.31
"2016-01-01",365.66
"2016-04-01",372.47
"2016-07-01",379.12
"2016-10-01",382.04
"2017-01-01",384.73
"2017-04-01",393.32
"2017-07-01",399.38
"2017-10-01",402.68
"2018-01-01",408.32
"2018-04-01",415.81
"2018-07-01",420.9
"2018-10-01",422.31
"2019-01-01",427.06
"2019-04-01",434.2
"2019-07-01",439.75
"2019-10-01",443.65
"2020-01-01",448.8
"2020-04-01",453.33
"2020-07-01",461.34
"2020-10-01",471.44
"2021-01-01",482.86
"2021-04-01",509.67
"2021-07-01",538.02
"2021-10-01",556.37
"2022-01-01",576.63
"2022-04-01",613.81
"2022-07-01",623.29
"2022-10-01",616.71
"2023-01-01",620.31
"2023-04-01",638.5
"2023-07-01",649.07
"2023-10-01",649.37
"2024-01-01",658.64
"2024-04-01",674.27
"2024-07-01",681.12
"2024-10-01",684.87
"2025-01-01",689.94
"2025-04-01",700.24
"2025-07-01",704.26
"2025-10-01",708.31
"2026-01-01",713.09
