"date","value"
"2015-01-01",1164
"2015-02-01",1170
"2015-03-01",1176
"2015-04-01",1180
"2015-05-01",1184
"2015-06-01",1188
"2015-07-01",1193
"2015-08-01",1198
"2015-09-01",1203
"2015-10-01",1208
"2015-11-01",1213
"2015-12-01",1218
"2016-01-01",1221
"2016-02-01",1224
"2016-03-01",1226
"2016-04-01",1229
"2016-05-01",1233
"2016-06-01",1238
"2016-07-01",1241
"2016-08-01",1245
"2016-09-01",1249
"2016-10-01",1253
"2016-11-01",1256
"2016-12-01",1259
"2017-01-01",1264
"2017-02-01",1270
"2017-03-01",1276
"2017-04-01",1281
"2017-05-01",1286
"2017-06-01",1290
"2017-07-01",1294
"2017-08-01",1297
"2017-09-01",1302
"2017-10-01",1306
"2017-11-01",1310
"2017-12-01",1315
"2018-01-01",1320
"2018-02-01",1325
"2018-03-01",1329
"2018-04-01",1333
"2018-05-01",1337
"2018-06-01",1341
"2018-07-01",1346
"2018-08-01",1351
"2018-09-01",1355
"2018-10-01",1360
"2018-11-01",1365
"2018-12-01",1371
"2019-01-01",1375
"2019-02-01",1378
"2019-03-01",1382
"2019-04-01",1387
"2019-05-01",1392
"2019-06-01",1397
"2019-07-01",1402
"2019-08-01",1407
"2019-09-01",1412
"2019-10-01",1417
"2019-11-01",1421
"2019-12-01",1425
"2020-01-01",1430
"2020-02-01",1435
"2020-03-01",1440
"2020-04-01",1438
"2020-05-01",1434
"2020-06-01",1431
"2020-07-01",1432
"2020-08-01",1432
"2020-09-01",1433
"2020-10-01",1437
"2020-11-01",1442
"2020-12-01",1450
"2021-01-01",1460
"2021-02-01",1471
"2021-03-01",1483
"2021-04-01",1498
"2021-05-01",1517
"2021-06-01",1540
"2021-07-01",1564
"2021-08-01",1589
"2021-09-01",1615
"2021-10-01",1637
"2021-11-01",1656
"2021-12-01",1672
"2022-01-01",1686
"2022-02-01",1700
"2022-03-01",1711
"2022-04-01",1726
"2022-05-01",1740
"2022-06-01",1753
"2022-07-01",1764
"2022-08-01",1771
"2022-09-01",1776
"2022-10-01",1780
"2022-11-01",1785
"2022-12-01",1790
"2023-01-01",1795
"2023-02-01",1801
"2023-03-01",1808
"2023-04-01",1813
"2023-05-01",1818
"2023-06-01",1819
"2023-07-01",1822
"2023-08-01",1825
"2023-09-01",1829
"2023-10-01",1834
"2023-11-01",1838
"2023-12-01",1843
"2024-01-01",1849
"2024-02-01",1854
"2024-03-01",1858
"2024-04-01",1862
"2024-05-01",1866
"2024-06-01",1872
"2024-07-01",1876
"2024-08-01",1880
"2024-09-01",1884
"2024-10-01",1887
"2024-11-01",1893
"2024-12-01",1897
"2025-01-01",1903
"2025-02-01",1907
"2025-03-01",1911
"2025-04-01",1913
"2025-05-01",1914
"2025-06-01",1918
"2025-07-01",1922
"2025-08-01",1926
"2025-09-01",1930
"2025-10-01",1934
"2025-11-01",1936
"2025-12-01",1938
"2026-01-01",1939
"2026-02-01",1941
"2026-03-01",1943
"2026-04-01",1947
"2026-05-01",1951
